architecture,label,configuration,variant,fine_rank,coarse_rank,c2f_pass_count,comparable_pairs,wins_vs_better_parent,family_triple_wins,median_percent_delta_vs_better_parent
U-Net,unet_c2f_a_fine04_coarse02,U-A F4+C2,A,4,2,9,9,8,fr2_desk;fr3_long_office_household,-13.7796328998769
U-Net,unet_c2f_a_fine05_coarse04,U-A F5+C4,A,5,4,9,9,8,fr1_desk;fr2_desk,-4.216989017957503
U-Net,unet_c2f_a_fine01_coarse02,U-A F1+C2,A,1,2,9,9,8,fr2_desk;fr3_long_office_household,-4.020232478965027
U-Net,unet_c2f_b_fine05_coarse04,U-B F5+C4,B,5,4,9,9,8,fr2_desk;fr3_long_office_household,-3.7060978237448845
U-Net,unet_c2f_a_fine02_coarse04,U-A F2+C4,A,2,4,9,9,8,fr1_desk;fr3_long_office_household,-2.330856697969028
U-Net,unet_c2f_a_fine04_coarse01,U-A F4+C1,A,4,1,9,9,7,fr2_desk,-11.585594263391659
ResNet,resnet_c2f_b_fine03_coarse05,R-B F3+C5,B,3,5,9,9,7,fr1_desk;fr2_desk,-4.731998399471133
U-Net,unet_c2f_b_fine04_coarse01,U-B F4+C1,B,4,1,9,9,7,fr2_desk;fr3_long_office_household,-4.7253350050936405
U-Net,unet_c2f_a_fine01_coarse04,U-A F1+C4,A,1,4,9,9,7,fr2_desk,-3.7320902565275853
U-Net,unet_c2f_a_fine05_coarse02,U-A F5+C2,A,5,2,9,9,7,fr2_desk;fr3_long_office_household,-3.7240941976767643
U-Net,unet_c2f_b_fine01_coarse04,U-B F1+C4,B,1,4,9,9,7,fr2_desk,-1.3062531602899037
ResNet,resnet_c2f_b_fine04_coarse05,R-B F4+C5,B,4,5,9,9,7,fr2_desk,-0.9848001392353637
U-Net,unet_c2f_b_fine02_coarse04,U-B F2+C4,B,2,4,9,9,7,fr2_desk,-0.7450546590317517
U-Net,unet_c2f_a_fine04_coarse04,U-A F4+C4,A,4,4,9,9,6,fr2_desk,-8.541520913220975
U-Net,unet_c2f_b_fine04_coarse02,U-B F4+C2,B,4,2,9,9,6,fr2_desk,-5.38342163001017
U-Net,unet_c2f_a_fine03_coarse02,U-A F3+C2,A,3,2,9,9,6,fr2_desk;fr3_long_office_household,-4.231061565746127
U-Net,unet_c2f_b_fine01_coarse01,U-B F1+C1,B,1,1,9,9,6,,-3.084494834268176
U-Net,unet_c2f_a_fine01_coarse01,U-A F1+C1,A,1,1,9,9,6,,-2.862520366312705
U-Net,unet_c2f_a_fine03_coarse04,U-A F3+C4,A,3,4,9,9,6,fr2_desk;fr3_long_office_household,-2.2640847130404365
U-Net,unet_c2f_b_fine02_coarse01,U-B F2+C1,B,2,1,9,9,6,fr3_long_office_household,-2.140586451953412
U-Net,unet_c2f_a_fine02_coarse02,U-A F2+C2,A,2,2,9,9,6,fr3_long_office_household,-1.6743721104585856
U-Net,unet_c2f_b_fine01_coarse02,U-B F1+C2,B,1,2,9,9,6,,-1.4214281701219103
U-Net,unet_c2f_a_fine03_coarse01,U-A F3+C1,A,3,1,9,9,6,fr2_desk;fr3_long_office_household,-0.8360780339498245
U-Net,unet_c2f_b_fine05_coarse01,U-B F5+C1,B,5,1,9,9,6,fr3_long_office_household,-0.552684610626714
U-Net,unet_c2f_a_fine04_coarse03,U-A F4+C3,A,4,3,9,9,5,fr2_desk,-10.50998020013913
