rank,architecture,label,configuration,variant,fine_rank,coarse_rank,wins_vs_better_parent,family_triple_wins,median_percent_delta_vs_better_parent,components,fr1_desk_clean_ate_mean_cm,fr1_desk_clean_beats_better_parent,fr1_desk_flashlight_ate_mean_cm,fr1_desk_flashlight_beats_better_parent,fr1_desk_lightswitch_ate_mean_cm,fr1_desk_lightswitch_beats_better_parent,fr2_desk_clean_ate_mean_cm,fr2_desk_clean_beats_better_parent,fr2_desk_flashlight_ate_mean_cm,fr2_desk_flashlight_beats_better_parent,fr2_desk_lightswitch_ate_mean_cm,fr2_desk_lightswitch_beats_better_parent,fr3_long_office_household_clean_ate_mean_cm,fr3_long_office_household_clean_beats_better_parent,fr3_long_office_household_flashlight_ate_mean_cm,fr3_long_office_household_flashlight_beats_better_parent,fr3_long_office_household_lightswitch_ate_mean_cm,fr3_long_office_household_lightswitch_beats_better_parent
1,U-Net,unet_c2f_a_fine04_coarse02,U-A F4+C2,A,4,2,8,fr2_desk;fr3_long_office_household,-13.7796328998769,"Enc0 [2,4,6] + Enc1 [0,5,6,17,18,30]",8.0357,True,7.604900000000001,True,7.0455000000000005,False,3.1973000000000003,True,3.2224000000000004,True,3.9895,True,9.733500000000001,True,8.6521,True,10.668099999999999,True
2,U-Net,unet_c2f_a_fine05_coarse04,U-A F5+C4,A,5,4,8,fr1_desk;fr2_desk,-4.216989017957503,"Enc0 [2,3,7,12,13] + Enc1 [0,5,6,18,30]",7.236199999999999,True,8.0831,True,6.1874,True,3.3151,True,3.3230000000000004,True,3.9342,True,9.6901,True,10.0308,False,10.2286,True
3,U-Net,unet_c2f_a_fine01_coarse02,U-A F1+C2,A,1,2,8,fr2_desk;fr3_long_office_household,-4.020232478965027,"Enc0 [2,3,7,12,13,14] + Enc1 [0,5,6,17,18,30]",8.194700000000001,True,8.1456,True,7.711600000000001,False,3.3678,True,3.4299999999999997,True,4.437399999999999,True,9.8672,True,9.7661,True,9.0954,True
4,U-Net,unet_c2f_b_fine05_coarse04,U-B F5+C4,B,5,4,8,fr2_desk;fr3_long_office_household,-3.7060978237448845,"Enc0 [2,3,7,12,13] + Enc1 [0,5,6,18,30]",8.0275,False,8.2289,True,6.461799999999999,True,3.3666,True,3.4493000000000005,True,4.7356,True,10.0122,True,9.3849,True,10.7314,True
5,U-Net,unet_c2f_a_fine02_coarse04,U-A F2+C4,A,2,4,8,fr1_desk;fr3_long_office_household,-2.330856697969028,"Enc0 [3,7,12] + Enc1 [0,5,6,18,30]",6.858599999999999,True,7.9201999999999995,True,5.8765,True,3.0273000000000003,True,3.0919,False,3.8587999999999996,True,10.1614,True,10.337,True,9.6332,True
6,ResNet,resnet_c2f_b_fine03_coarse05,R-B F3+C5,B,3,5,7,fr1_desk;fr2_desk,-4.731998399471133,"Conv1 [15,20,26,34,45,53] + Layer2 [108,121]",6.0162,True,6.3412999999999995,True,9.8569,True,4.6686,True,4.8672,True,5.4761,True,13.8048,False,13.9437,False,21.087400000000002,True
7,U-Net,unet_c2f_b_fine04_coarse01,U-B F4+C1,B,4,1,7,fr2_desk;fr3_long_office_household,-4.7253350050936405,"Enc0 [2,4,6] + Enc1 [5,6,17,18,28,30]",9.7803,True,9.7285,False,10.1612,False,3.6473999999999998,True,3.6087000000000002,True,5.469,True,10.1573,True,8.372,True,14.368400000000001,True
8,U-Net,unet_c2f_a_fine05_coarse02,U-A F5+C2,A,5,2,7,fr2_desk;fr3_long_office_household,-3.7240941976767643,"Enc0 [2,3,7,12,13] + Enc1 [0,5,6,17,18,30]",11.9916,False,7.8173,True,8.7757,False,3.2846,True,3.3401,True,3.9565,True,9.6387,True,9.6059,True,9.9186,True
9,U-Net,unet_c2f_a_fine04_coarse01,U-A F4+C1,A,4,1,7,fr2_desk,-11.585594263391659,"Enc0 [2,4,6] + Enc1 [5,6,17,18,28,30]",9.5264,True,8.8122,True,8.2706,False,3.1822000000000004,True,3.3044,True,4.3409,True,10.1597,True,9.5442,False,10.4577,True
10,U-Net,unet_c2f_a_fine01_coarse04,U-A F1+C4,A,1,4,7,fr2_desk,-3.7320902565275853,"Enc0 [2,3,7,12,13,14] + Enc1 [0,5,6,18,30]",6.499199999999999,True,8.0548,True,6.532399999999999,False,3.3661999999999996,True,3.4537,True,4.3113,True,10.0249,True,10.0469,False,9.1046,True
