sample_id,frame_index,timestamp,selection_source,phase,event_rank,clean_path,lightswitch_path,feature_file,feature_keys,storage_dtype
1,0,1305031453.359684,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031453.359684.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031453.359684.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
2,17,1305031453.927723,turn_on,before,3,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031453.927723.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031453.927723.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
3,21,1305031454.059654,turn_on,peak,3,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031454.059654.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031454.059654.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_03_1305031454.059654.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
4,25,1305031454.191658,turn_on,after,3,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031454.191658.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031454.191658.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_04_1305031454.191658.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
5,52,1305031455.091700,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031455.091700.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031455.091700.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_05_1305031455.091700.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
6,76,1305031455.891657,turn_off,before,2,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031455.891657.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031455.891657.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_06_1305031455.891657.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
7,80,1305031456.027770,turn_off,peak,2,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031456.027770.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031456.027770.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_07_1305031456.027770.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
8,84,1305031456.159731,turn_off,after,2,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031456.159731.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031456.159731.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_08_1305031456.159731.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
9,104,1305031457.091655,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031457.091655.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031457.091655.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_09_1305031457.091655.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
10,156,1305031459.027665,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031459.027665.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031459.027665.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_10_1305031459.027665.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
11,184,1305031460.127690,turn_off,before,1,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031460.127690.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031460.127690.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_11_1305031460.127690.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
12,188,1305031460.291689,turn_off,peak,1,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031460.291689.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031460.291689.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_12_1305031460.291689.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
13,192,1305031460.459620,turn_off,after,1,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031460.459620.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031460.459620.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_13_1305031460.459620.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
14,208,1305031461.027620,uniform,,,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031461.027620.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031461.027620.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_14_1305031461.027620.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
15,246,1305031462.327540,turn_on,before,2,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.327540.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.327540.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_15_1305031462.327540.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
16,250,1305031462.459897,turn_on,peak,2,/home/melody/data/tum/rgbd_dataset_freiburg1_desk/rgb/1305031462.459897.png,/home/melody/data/tum/rgbd_dataset_freiburg1_desk_lightswitch/rgb/1305031462.459897.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_16_1305031462.459897.npz,"conv1_clean,conv1_light,layer1_clean,layer1_light,layer2_clean,layer2_light",float32
