sample_id,timestamp,selection_source,phase,event_rank,layer,condition,png_path,source_npz
1,1305031453.359684,uniform,,,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_01_1305031453.359684_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz
1,1305031453.359684,uniform,,,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_01_1305031453.359684_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz
1,1305031453.359684,uniform,,,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_01_1305031453.359684_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz
1,1305031453.359684,uniform,,,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_01_1305031453.359684_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz
1,1305031453.359684,uniform,,,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_01_1305031453.359684_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz
1,1305031453.359684,uniform,,,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_01_1305031453.359684_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_01_1305031453.359684.npz
2,1305031453.927723,turn_on,before,3,conv1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_02_1305031453.927723_conv1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz
2,1305031453.927723,turn_on,before,3,conv1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_02_1305031453.927723_conv1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz
2,1305031453.927723,turn_on,before,3,layer1,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_02_1305031453.927723_layer1_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz
2,1305031453.927723,turn_on,before,3,layer1,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_02_1305031453.927723_layer1_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz
2,1305031453.927723,turn_on,before,3,layer2,clean,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_02_1305031453.927723_layer2_clean.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz
2,1305031453.927723,turn_on,before,3,layer2,light,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu_png/sample_02_1305031453.927723_layer2_light.png,/home/melody/code/individual_project/channel_selection_results/step_0_data_preparation/features_post_relu/frames/sample_02_1305031453.927723.npz
