channel,activation_variance_clean,activation_variance_clean_iqr,activation_variance_light,activation_variance_light_iqr,active_ratio_clean,active_ratio_clean_iqr,active_ratio_light,active_ratio_light_iqr,gradient_energy_clean,gradient_energy_clean_iqr,gradient_energy_light,gradient_energy_light_iqr,orientation_coherence_clean,orientation_coherence_clean_iqr,orientation_coherence_light,orientation_coherence_light_iqr,dominant_angle_clean,dominant_angle_clean_iqr,dominant_angle_light,dominant_angle_light_iqr,spectral_centroid_clean,spectral_centroid_clean_iqr,spectral_centroid_light,spectral_centroid_light_iqr,cross_light_ncc,cross_light_ncc_iqr,relative_mad,relative_mad_iqr,mean_shift_absolute,mean_shift_absolute_iqr,mean_shift_relative,mean_shift_relative_iqr,gradient_retention,gradient_retention_iqr,gradient_energy,orientation_coherence,spectral_centroid,weight_corr_rg,weight_corr_rb,weight_corr_gb,weight_corr_mean,weight_corr_min,weight_energy_r,weight_energy_g,weight_energy_b,weight_pca_pc1_r,weight_pca_pc1_g,weight_pca_pc1_b,weight_pca_explained_ratio,weight_orientation_coherence,weight_dominant_angle,weight_spectral_centroid,weight_dc_power_ratio,density_label,structure_label,illumination_label,colour_label,frequency_label,soft_label,dead_variance_max_condition,dead_gradient_max_condition,dead_base_rule,dead_bootstrap_stability,confirmed_dead_candidate,manual_review_status
0,0.016270051045949696,0.007166096479984549,0.014459000823027774,0.0047393370566099925,0.9779752604166667,0.014661458333333321,0.9814192708333334,0.014192708333333304,0.011932138124930542,0.0055878839679035786,0.011375368803590472,0.005322158211116833,0.59606947913311,0.22674307057963444,0.5101564242212937,0.35933474685109806,89.03635462422837,2.949844440938463,88.44128075312155,3.9024415957269696,0.35741494335946167,0.06221597589884903,0.3734466210103726,0.10183772762797932,0.9140654200756051,0.3411453398050721,0.1453676865579862,0.2048602271183383,0.0,0.05705537261015458,0.0,0.22704630000579307,0.9999999998810284,0.1575009113495518,0.011653753464260508,0.5531129516772019,0.36543078218491715,0.993719931226514,0.9461856729760799,0.9152147336925225,0.9517067792983722,0.9152147336925225,0.30964982235732197,0.544444053473518,0.1459061241690157,0.5615538148954857,0.7425402022952916,0.36509089409569434,0.9798702012628774,0.5658107957097266,106.22987462102341,0.5328533502393653,3.2751952123619643e-06,Dense-global,Oriented-edge,Sensitive,Achromatic,High-frequency,Achromatic + Oriented-edge + High-frequency + Sensitive,0.01703806225361188,0.012632207639781227,False,0.0,False,not_required
1,0.047068823222852704,0.013076547530708055,0.03726842790901767,0.022833205679803886,0.9222265625,0.022014973958333295,0.9331705729166666,0.03985026041666673,0.023398270920290138,0.010206026805925732,0.016418304197350127,0.015384201640291657,0.5445883569850457,0.09803213399044608,0.5346441757148979,0.11669114407487058,105.89384906111161,14.539172683862517,106.81645140080124,13.60658232152457,0.17833600973998914,0.045668939685256815,0.19239255784485426,0.04332893478639782,0.9563454941377902,0.1863698459269696,0.2599036603928814,0.4170400553353498,0.0,0.15407974432433869,0.0,0.6275299635617357,0.9021217363394978,0.39859840513830713,0.019908287558820133,0.5396162663499717,0.1853642837924217,0.9613917116842599,0.9475361957700259,0.9818519180717634,0.9635932751753497,0.9475361957700259,0.13900255855210156,0.5428129757856028,0.3181844656617561,0.36506060767487836,0.7402884129025588,0.5645385889788753,0.9833248290142315,0.7962915282237916,101.36993479727035,0.27838577107128054,0.00012259027886662584,Dense-global,Texture/high-frequency,Intermediate,Achromatic,Mid-frequency,Achromatic + Texture/high-frequency + Mid-frequency + Intermediate,0.047860629888704855,0.023398270920290138,False,0.0,False,not_required
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20619533230531126,0.10619516911122778,0.2553307804058932,0.7355558361765618,0.5874506068485916,0.3374305800899216,0.3980615721778189,0.203874496341947,92.00224013436662,0.21200366495173648,0.019633987519051502,Ultra-sparse,Mixed/isotropic,Sensitive,Mixed-colour,Mid-frequency,Mixed-colour + Mixed/isotropic + Mid-frequency + Sensitive,0.0,0.0,True,1.0,True,pending
3,0.00666346626101621,0.002297698388464816,0.005837554979997321,0.010489032144468691,0.20991536458333332,0.09638997395833332,0.20534505208333334,0.2656608072916667,0.0008662619572474954,0.00044645953816896205,0.0007969862372644269,0.0011423349828495735,0.28093914848742485,0.13025888709549352,0.24232705470072022,0.2523624044347893,82.89495818952963,16.53335669028033,82.50763815751245,15.013024894796189,0.05290793467078446,0.017404190987684212,0.053648827750331106,0.04131633222254004,0.8903759998253606,0.2563602584519995,0.8973312772905611,0.7157935465255568,0.0,0.0377196275097123,0.0,1.489520855983437,0.9999999987445392,1.3611402668630357,0.0008316240972559611,0.26163310159407255,0.05327838121055778,0.9069186078820575,0.6482243275452877,0.7088248851845482,0.7546559402039644,0.6482243275452877,0.3125324310274627,0.4582409095727522,0.22922665939636636,0.4934880297924788,0.7476379368554118,0.44441768622110384,0.8630659020518479,0.19796475806696753,5.881962978009317,0.28625225954863087,0.0050621323290056825,Moderate-region,Mixed/isotropic,Sensitive,Achromatic,Mid-frequency,Achromatic + Mixed/isotropic + Mid-frequency + Sensitive,0.008170514393218666,0.0010121354598217535,False,0.0,False,not_required
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014466745103987745,0.0016389625936238331,0.002479724547059162,-0.07225416637930136,0.31815091992430267,0.9452826707351363,0.0022590445554087537,0.0005382790426703591,104.25785255690809,0.1488860427582121,0.02161680699079548,Ultra-sparse,Mixed/isotropic,Sensitive,Mixed-colour,Mid-frequency,Mixed-colour + Mixed/isotropic + Mid-frequency + Sensitive,0.0,0.0,True,1.0,True,pending
5,0.018732811536341452,0.010915506056310519,0.017053554798268682,0.01465051229120259,0.9298242187500001,0.038450520833333446,0.9254947916666667,0.05120768229166672,0.014969843991474333,0.007983453563421287,0.014069865021491,0.01147094479601463,0.5114480272348082,0.11148819701411328,0.48796028869172214,0.09502139543265742,153.01826694297853,8.01856185052273,156.93455552218938,7.082624883022618,0.26998590419199686,0.017967777745536706,0.27366236139879996,0.04189098372591127,0.8735437982618848,0.2715653004978733,0.2075055106977789,0.17206336401442676,0.0,0.008514794435198071,0.0,0.04908333422750253,0.9999999999122412,0.43406182083619993,0.014519854506482667,0.49970415796326517,0.2718241327953984,-0.8344439652609683,-0.9900220277822251,0.8545789054501204,-0.3232956958643577,-0.9900220277822251,0.5742127098528425,0.013556539518027115,0.4122307506288188,0.7596424648986488,-0.09915431104005956,-0.6427376977623735,0.9913734626332437,0.6711911944467155,166.2039233997105,0.227594445227717,9.502663595561733e-07,Dense-global,Texture/high-frequency,Sensitive,Opponent,Mid-frequency,Opponent + Texture/high-frequency + Mid-frequency + Sensitive,0.01978945530863897,0.015805647795053737,False,0.0,False,not_required
6,0.04626647260314651,0.020642146272246982,0.03887077075884303,0.02221108283037984,0.9983984375,0.0012858072916666075,0.9985286458333333,0.0019108072916667052,0.00810211996429729,0.00421792523565579,0.009557266969540169,0.008236992391642923,0.2593145273129582,0.16633943261556075,0.23418077033319407,0.1327229324398893,79.78380246609544,21.08140459146918,75.02529779044141,16.599173717831974,0.0739494869911301,0.02228309226098972,0.07926647776869736,0.029878717154848994,0.9009330691842534,0.3506444254196871,0.09912710084877477,0.09050565346615731,0.0,0.03224784197792249,0.0,0.04924292648896282,0.9999999999119055,0.860585506310155,0.008829693466918729,0.24674764882307612,0.07660798237991373,-0.9253576084823754,0.7822173827120213,-0.946420804752481,-0.3631870101742784,-0.946420804752481,0.14216187005571135,0.6302275175859975,0.22761061235804447,-0.3860562247135557,0.8143613641049875,-0.43333146667762346,0.9572769260830133,0.04996957830870366,154.24597401848922,0.18640825847292836,0.009933233758015948,Dense-global,Mixed/isotropic,Sensitive,Opponent,Mid-frequency,Opponent + Mixed/isotropic + Mid-frequency + Sensitive,0.046562619087664917,0.010774976479263773,False,0.0,False,not_required
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06271443152308079,0.023067575729528007,0.02055244267152468,0.49602459630312545,0.6912936152505499,0.5254262435167717,0.049541158399867,0.005207865534734343,61.14518496387482,0.18604625121919177,0.0256298281570196,Ultra-sparse,Mixed/isotropic,Sensitive,Mixed-colour,Mid-frequency,Mixed-colour + Mixed/isotropic + Mid-frequency + Sensitive,0.0,0.0,True,1.0,True,pending
8,0.00971006668010111,0.004713863979357679,0.009092098066893376,0.0063476089729025435,0.98986328125,0.008450520833333308,0.9900065104166667,0.009511718750000009,0.008390754319400302,0.003203524317935489,0.00850013416980792,0.005496206986959474,0.5729681043906747,0.2707261185046422,0.43431400064123926,0.32505749495205405,176.10302027999268,4.357655896765664,175.2707442351716,7.986369250533613,0.38384564820470746,0.0909256890228341,0.4019020455610784,0.06973306224384085,0.8667206710679245,0.3976360288192339,0.10183213846269773,0.11210088764842807,0.0,0.049607511490236095,0.0,0.16707248240620437,0.9999999999013804,0.28877641635331963,0.008445444244604111,0.5036410525159569,0.39287384688289295,0.979280517540086,0.9925457644429824,0.9594901475439549,0.9771054765090078,0.9594901475439549,0.2824238583044009,0.539330122522476,0.17824601917295502,0.5326876550076157,0.7357359273409834,0.41825411823697756,0.9851673565125052,0.5197066991975144,4.315952709530827,0.5240516791182355,9.518172927340067e-07,Dense-global,Texture/high-frequency,Sensitive,Achromatic,High-frequency,Achromatic + Texture/high-frequency + High-frequency + Sensitive,0.009969619620653637,0.008900402497725298,False,0.0,False,not_required
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136444737738145,0.7690586564079271,0.9071654061992571,0.8632895121269996,0.7690586564079271,0.20698113823156203,0.17455459597092693,0.5968550892578802,0.6287671030834084,0.5912575267106823,0.5050410549530256,0.8276642855984673,0.19063013981555538,87.90077651944085,0.15411744684543732,0.0373486817238327,Ultra-sparse,Mixed/isotropic,Sensitive,Achromatic,Mid-frequency,Achromatic + Mixed/isotropic + Mid-frequency + Sensitive,0.0,0.0,True,1.0,True,pending
