channel,activation_variance_clean,activation_variance_clean_iqr,activation_variance_light,activation_variance_light_iqr,active_ratio_clean,active_ratio_clean_iqr,active_ratio_light,active_ratio_light_iqr,gradient_energy_clean,gradient_energy_clean_iqr,gradient_energy_light,gradient_energy_light_iqr,orientation_coherence_clean,orientation_coherence_clean_iqr,orientation_coherence_light,orientation_coherence_light_iqr,dominant_angle_clean,dominant_angle_clean_iqr,dominant_angle_light,dominant_angle_light_iqr,spectral_centroid_clean,spectral_centroid_clean_iqr,spectral_centroid_light,spectral_centroid_light_iqr,cross_light_ncc,cross_light_ncc_iqr,relative_mad,relative_mad_iqr,mean_shift_absolute,mean_shift_absolute_iqr,mean_shift_relative,mean_shift_relative_iqr,gradient_retention,gradient_retention_iqr,spatial_entropy_clean,spatial_entropy_clean_iqr,component_count_clean,component_count_clean_iqr,component_scale_clean,component_scale_clean_iqr,spatial_entropy_light,spatial_entropy_light_iqr,component_count_light,component_count_light_iqr,component_scale_light,component_scale_light_iqr,gradient_energy,orientation_coherence,spectral_centroid,density_label,structure_label,illumination_label,colour_label,frequency_label,soft_label,dead_variance_max_condition,dead_gradient_max_condition,dead_base_rule,dead_bootstrap_stability,confirmed_dead_candidate,manual_review_status
0,0.0387557317633796,0.012846867430874015,0.03868204956746518,0.014237174801087348,0.405,0.06630208333333332,0.371875,0.1921875,0.04326449669921237,0.012765136720871144,0.040675937848142746,0.015513553805952075,0.07030725991674944,0.06566695118864571,0.06375540578470676,0.05895738294373368,131.84778595007543,92.69986796357905,101.75929891876471,82.57954073664422,0.40833545878862465,0.01858988635127895,0.39947574306838346,0.024287168627346922,0.8114561674777482,0.4160658383636058,0.6504822636286486,0.6288248664593401,0.0,0.03305729752594441,0.0,0.30836240669435755,0.9756040267008053,0.173762047465845,0.8497678929353255,0.022818617093512072,56.5,13.5,0.0007149926194310252,6.999336570376953e-05,0.8381908240836689,0.06122661353933645,47.5,23.25,0.0006967171717171717,0.000234375,0.04197021727367756,0.0670313328507281,0.403905600928504,Moderate-region,Texture/high-frequency,Sensitive,N/A,High-frequency,Moderate-region + Texture/high-frequency + High-frequency + Sensitive,0.039605484171908484,0.043444266314443335,False,0.0,False,not_required
1,0.05082919261778955,0.02029848120803955,0.04448925994267801,0.023870158681688562,0.6670833333333334,0.04807291666666669,0.686875,0.06630208333333332,0.04993193856985928,0.019536215638125874,0.044914918627840424,0.02431415709020421,0.07134429240403463,0.06029135974851281,0.058392033535582075,0.045920815738770326,137.88901175185134,41.42525582827287,140.71606884368128,37.587723659286496,0.3569246625694087,0.012840021709625116,0.35532464027805966,0.014495512966165247,0.8964926540085144,0.2894666314986387,0.35513969644057397,0.5118116413902954,-0.0002708311562332616,0.030640018949085114,-0.001790124216956602,0.18785750949704738,0.9791426989185974,0.22294035037913762,0.9148008928977234,0.009627017537048976,82.0,7.0,0.0009334305766954169,0.0001028351623816562,0.9173317536079222,0.014548347345889168,82.0,11.25,0.0009695936779270112,0.00017424527679945647,0.04742342859884985,0.06486816296980835,0.3561246514237342,Dense-global,Mixed/isotropic,Intermediate,N/A,Mid-frequency,Dense-global + Mixed/isotropic + Mid-frequency + Intermediate,0.05082919261778955,0.049940540535389905,False,0.0,False,not_required
2,0.09136327080784393,0.032522017238678605,0.08963135068589154,0.049237691261665446,0.400625,0.02953125000000001,0.40760416666666666,0.07187499999999997,0.0925248810575469,0.03417745838474931,0.08901069189777236,0.05061618018506983,0.1833494679897953,0.05085420351691011,0.1862201343937832,0.040384295276979315,24.338013307264834,6.3479343696356985,27.17614909042802,9.188987218215892,0.3741618857863863,0.01487284190710958,0.3741618857863863,0.017283921561003557,0.9446060199448076,0.23715357478273225,0.34605916986765345,0.5429050548439842,-0.000980972626389312,0.03402791307128003,-0.006878640591653969,0.26010309892753486,0.9810892268156477,0.21762746849231474,0.838407332397598,0.007192137764749917,58.0,8.75,0.0007637737621573829,0.00011307658896308993,0.8323297242791419,0.02475489522462382,60.0,8.75,0.0007582885304659498,0.0001486132914704344,0.09076778647765962,0.18478480119178925,0.3741618857863863,Moderate-region,Texture/high-frequency,Intermediate,N/A,High-frequency,Moderate-region + Texture/high-frequency + High-frequency + Intermediate,0.09325831714351751,0.09527243963762067,False,0.0,False,not_required
3,0.0637617327051814,0.02144076071138743,0.06189348954475299,0.02172317950804134,0.23364583333333333,0.02901041666666665,0.24177083333333332,0.05791666666666667,0.0661793164460915,0.02528347023523552,0.06259366746827247,0.024599033388921533,0.0711356761574758,0.06635171426341487,0.06475703615402106,0.07400150206129152,131.03051669236262,50.23724634724957,126.4190370419422,56.30305578793197,0.42365343046313886,0.016682453049711332,0.42311177837395886,0.020927022349102153,0.8888542856672286,0.21988572785829685,0.5100885455405774,0.6178413048077547,0.0,0.01874290809343923,0.0,0.21156824117832895,0.999999999984772,0.23227972444027012,0.7742703339825837,0.0182983853714499,34.0,5.0,0.0005919228830645162,4.900705253527832e-05,0.7710864081152424,0.030907455924452987,34.5,10.5,0.0005913628472222223,7.502480158730156e-05,0.06438649195718199,0.06794635615574843,0.42338260441854886,Moderate-region,Texture/high-frequency,Sensitive,N/A,High-frequency,Moderate-region + Texture/high-frequency + High-frequency + Sensitive,0.07006154770016373,0.06973709531635235,False,0.0,False,not_required
4,0.06280097894408125,0.0154824701050566,0.052469251880336215,0.01339463117615395,0.615625,0.10593750000000002,0.6245833333333333,0.15875000000000017,0.06738491166779298,0.01770839237039875,0.054295984666249755,0.01499314585489326,0.24385553602364246,0.09482677067727574,0.2080302378126633,0.08332323319425511,131.3191197609493,3.821605026706237,129.9766221105125,5.6581885568897405,0.40699576921629355,0.016011908166599698,0.3966932770056517,0.02268347205364407,0.899269832565404,0.30950234534038557,0.355931459881642,0.5100706843074139,-0.009687991606063706,0.027845113540057767,-0.06163307026995299,0.12178280258722038,0.9113716613541657,0.2777449264588464,0.9034060227139885,0.020977999239336298,84.0,11.75,0.0007881870409855484,8.580678507498138e-05,0.9043798966632244,0.03426212155189656,79.0,19.25,0.0008722089314194577,0.00018058405887230505,0.06084044816702137,0.2259428869181529,0.40184452311097263,Dense-global,Texture/high-frequency,Intermediate,N/A,High-frequency,Dense-global + Texture/high-frequency + High-frequency + Intermediate,0.06280097894408125,0.06738491166779298,False,0.0,False,not_required
5,0.07467989054656837,0.024187169602010783,0.06633518494388596,0.028592100455863412,0.21968749999999998,0.032083333333333325,0.2021875,0.036562500000000026,0.07668360263937107,0.02177426118306322,0.06399009085987499,0.029730317380313197,0.3926213002349312,0.06422019401662377,0.38659167066993666,0.06347810102303736,35.06826844405969,10.06452024527798,33.696804953530815,11.312981850251816,0.3657623033659989,0.029100200047933344,0.3663073971378561,0.03672787425646973,0.9342781555775195,0.25171911413051695,0.3705134328276196,0.5439135290545528,-0.0008050330216692186,0.013342643954805458,-0.009929814140128383,0.13682024047711938,0.9885761678903187,0.2230094848597104,0.7710943465945213,0.021236769636144293,30.0,7.25,0.0008068249701314217,0.00016138477186864277,0.7628375794390643,0.025489473317979017,30.0,7.75,0.0008116319444444445,0.00014387335526315796,0.07033684674962304,0.3896064854524339,0.3660348502519275,Moderate-region,Texture/high-frequency,Intermediate,N/A,High-frequency,Moderate-region + Texture/high-frequency + High-frequency + Intermediate,0.07467989054656837,0.07668360263937107,False,0.0,False,not_required
6,0.05597165764475867,0.013001315081361306,0.04399138274114984,0.02185557860417439,0.285,0.040364583333333315,0.24812499999999998,0.06718750000000001,0.05751255156546861,0.012320120122909534,0.04656397454393932,0.021395646171151493,0.0866303626120465,0.0419656533877282,0.09395066915080952,0.07060707472296662,77.75075677164295,20.625483409761117,80.71568215879489,25.457226809507517,0.4185430249037452,0.008148118689024986,0.4179812638413106,0.014622176239066698,0.8780394669984466,0.36695341207749343,0.48439331945786046,0.6298990754472689,-0.009366662435436407,0.03096427373219284,-0.08529910121714267,0.3124551039635821,0.8854012672726925,0.35746292372899957,0.8034296704842547,0.013760690736908554,45.5,8.5,0.0006038074712643678,5.440076671694321e-05,0.7867951382895024,0.03430628883707976,39.5,16.0,0.0005913628472222223,6.960907036511867e-05,0.052038263054703965,0.090290515881428,0.4182621443725279,Moderate-region,Texture/high-frequency,Sensitive,N/A,High-frequency,Moderate-region + Texture/high-frequency + High-frequency + Sensitive,0.05597165764475867,0.05751255156546861,False,0.0,False,not_required
7,0.0780379915680435,0.008745303859959072,0.06782392768705789,0.019916170319243094,0.7153125,0.06005208333333345,0.740625,0.07624999999999993,0.05639067678045456,0.00860792946690328,0.049262070491223026,0.012659718256170002,0.15910164476356825,0.044368717373338334,0.14148821104528014,0.055452372258402355,112.10107216632841,16.386906814806522,110.74165252165534,19.34826189336853,0.25245636708059416,0.03719934968255745,0.26936837054739327,0.027098452016177443,0.9223022190462795,0.2920684508776854,0.2564851490398413,0.42256404061333785,0.0,0.03176566159068251,0.0,0.11035858182681584,0.9051140464179003,0.23039525941498373,0.9328314646374642,0.012475516828291733,60.5,11.75,0.0018460648148148147,0.0004123465801404236,0.937999000078998,0.019183807863284663,59.5,17.75,0.001704985119047619,0.0004840508400378474,0.052826373635838794,0.1502949279044242,0.2609123688139937,Dense-global,Region-blob,Intermediate,N/A,Low-frequency,Dense-global + Region-blob + Low-frequency + Intermediate,0.0780379915680435,0.05639067678045456,False,0.0,False,not_required
8,0.08358666319557177,0.016942417966979678,0.0774646289040713,0.028658594406481525,0.32677083333333334,0.03781249999999997,0.3403125,0.06515624999999997,0.08379052093623764,0.020002457166348478,0.07856909417994712,0.029757985955121552,0.1343304115950889,0.0476241711844748,0.1334232618336739,0.06393467828432907,90.5499570678608,25.773684866971394,80.99554564299308,23.323076435907296,0.38055143537503155,0.025832664820370055,0.3796134148178845,0.03410381775040844,0.9372674129884646,0.21273118447316341,0.3459258869644136,0.5396703803099456,-0.004706332595912965,0.0120654629564972,-0.034099006542001126,0.09095543397722305,0.9542549613297351,0.15617241377606517,0.8168496983424622,0.007820414161780698,51.0,9.0,0.0007322038350407145,0.00017013893842766318,0.8167130168397638,0.012318066337389855,52.0,10.5,0.000742063492063492,0.0002541890807633379,0.08117980755809237,0.1338768367143814,0.38008242509645807,Moderate-region,Texture/high-frequency,Intermediate,N/A,High-frequency,Moderate-region + Texture/high-frequency + High-frequency + Intermediate,0.0860898049876122,0.0858519095563297,False,0.0,False,not_required
9,0.0391386313636899,0.01712041545232116,0.05253047083202872,0.02132625334858041,0.7390625,0.06791666666666663,0.7876041666666667,0.07802083333333332,0.02951006426968102,0.01605654797110826,0.031915097177606266,0.01613458744895975,0.1047468692263292,0.07976870669050765,0.12053170827721324,0.07284107125274143,83.67511205380492,39.826819513589925,82.21100049310081,44.20136427719903,0.26713535300099434,0.023699747020616863,0.26155028932686497,0.03800440644855543,0.8846964880667271,0.33734926148566624,0.341517679753095,0.647113461081067,0.0,0.036856143207038394,0.0,0.27500843601543595,0.9999999999791335,0.2501122065702198,0.9345004778550192,0.012101571007242184,68.0,13.75,0.001518288474810214,0.00047576336949747074,0.9407016157043047,0.012719711796597144,65.5,20.75,0.0017713466995221028,0.0008956298598163891,0.03071258072364364,0.11263928875177122,0.26434282116392965,Dense-global,Region-blob,Sensitive,N/A,Low-frequency,Dense-global + Region-blob + Low-frequency + Sensitive,0.05256363058381233,0.03538017946431731,False,0.0,False,not_required
