distance_threshold,correlation_threshold,cluster_count,silhouette,singleton_proportion,compression_ratio
0.05,0.95,128,,1.0,0.0
0.1,0.9,128,,1.0,0.0
0.15,0.85,128,,1.0,0.0
0.2,0.8,128,,1.0,0.0
0.25,0.75,128,,1.0,0.0
0.3,0.7,128,,1.0,0.0
0.35,0.65,128,,1.0,0.0
0.4,0.6,128,,1.0,0.0
0.45,0.55,128,,1.0,0.0
0.5,0.5,125,0.006322524429623126,0.953125,0.0234375
0.55,0.44999999999999996,124,0.008614062395381865,0.9453125,0.03125
0.6,0.4,120,0.015494915044433512,0.8828125,0.0625
0.65,0.35,107,0.032796627307197804,0.6953125,0.1640625
0.7,0.30000000000000004,91,0.05277334534682457,0.484375,0.2890625
