channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63,ch_64,ch_65,ch_66,ch_67,ch_68,ch_69,ch_70,ch_71,ch_72,ch_73,ch_74,ch_75,ch_76,ch_77,ch_78,ch_79,ch_80,ch_81,ch_82,ch_83,ch_84,ch_85,ch_86,ch_87,ch_88,ch_89,ch_90,ch_91,ch_92,ch_93,ch_94,ch_95,ch_96,ch_97,ch_98,ch_99,ch_100,ch_101,ch_102,ch_103,ch_104,ch_105,ch_106,ch_107,ch_108,ch_109,ch_110,ch_111,ch_112,ch_113,ch_114,ch_115,ch_116,ch_117,ch_118,ch_119,ch_120,ch_121,ch_122,ch_123,ch_124,ch_125,ch_126,ch_127
0,1.00000000,0.14198709,0.10838169,0.04517200,0.06885090,0.09888855,0.03210383,0.05963677,0.09549339,0.05393897,0.12901580,0.09429576,0.35920870,0.04682713,0.12628017,0.21433313,0.15307245,0.12551975,0.21951170,0.03600132,0.04959583,0.03303470,0.18071970,0.06289234,0.15100993,0.04967111,0.17210835,0.20563741,0.17861602,0.08986048,0.06406812,0.08905569,0.22911879,0.13034594,0.10911924,0.11382176,0.02977210,0.05956753,0.12167524,0.06149066,0.05544804,0.05454254,0.30436182,0.08474787,0.21232624,0.14255214,0.08693920,0.07083970,0.03546742,0.09980522,0.06627594,0.07644133,0.02579262,0.07779069,0.12629080,0.31579521,0.10523711,0.24795806,0.07434945,0.15760702,0.08918688,0.07791407,0.06569228,0.12731707,0.06490172,0.04071890,0.03258075,0.04757455,0.07939240,0.03199988,0.03033629,0.04935955,0.09440964,0.09017256,0.05019244,0.01796212,0.06660704,0.03732850,0.02882428,0.09834650,0.12835437,0.04490432,0.07664323,0.14252108,0.05858359,0.19718900,0.06247167,0.03608679,0.04662752,0.28991988,0.10403375,0.09014910,0.08204225,0.08149579,0.31998700,0.07421802,0.02431517,0.03827883,0.08424002,0.05669279,0.12104051,0.18914589,0.07246763,0.08070443,0.51382339,0.04194045,0.03064971,0.04230165,0.02546816,0.03092745,0.05720960,0.03066863,0.15716258,0.03102119,0.05692898,0.19163449,0.08217277,0.04938200,0.04039451,0.06463448,0.04805387,0.29745537,0.13195577,0.04920790,0.11910773,0.02512159,0.08396399,0.12041083
1,0.14198709,1.00000000,0.11419275,0.10751355,0.14351216,0.02936109,0.03238954,0.04305426,0.02844283,0.06016401,0.18547148,0.06237184,0.09675927,0.28004378,0.14636734,0.03330118,0.12282851,0.03300146,0.06291395,0.09002072,0.08526315,0.16076598,0.17028654,0.03930296,0.04564414,0.23410946,0.12928152,0.14988911,0.09326842,0.02633716,0.02520834,0.02438968,0.13159724,0.18218026,0.14602962,0.03790613,0.04556732,0.06863960,0.04588487,0.06417830,0.09846504,0.18264313,0.11828406,0.12556429,0.10997088,0.15841739,0.02633364,0.04826958,0.02797114,0.02923228,0.16052359,0.01454260,0.04098428,0.05587195,0.06139029,0.04577976,0.09233594,0.12002349,0.02641188,0.10089289,0.05437992,0.08019161,0.12217575,0.19413601,0.02757246,0.20358896,0.05766827,0.04876874,0.10162150,0.02347334,0.04483193,0.24059412,0.02129798,0.15464368,0.18158162,0.07479041,0.01904997,0.03203447,0.13411188,0.02688293,0.16718154,0.04914718,0.15719277,0.17099331,0.04323302,0.16699602,0.15229511,0.03864652,0.17226309,0.12966934,0.13556299,0.26774201,0.17971221,0.07512493,0.20450634,0.03354081,0.03931323,0.06431579,0.04527058,0.02438975,0.06650710,0.05769917,0.18305288,0.08551541,0.18733791,0.03991940,0.09767431,0.10165735,0.05390263,0.08079945,0.06029857,0.04249528,0.15660134,0.04751037,0.02472871,0.07725082,0.08871734,0.03933427,0.10479602,0.03139067,0.03573729,0.15052783,0.14759988,0.20809768,0.14410263,0.03095798,0.15340260,0.03277609
2,0.10838169,0.11419275,1.00000000,0.12269679,0.05994517,0.29730392,0.03711864,0.06148834,0.12536162,0.03922608,0.13238028,0.04264123,0.02709508,0.08586596,0.06186456,0.19313458,0.05110611,0.03014740,0.28101379,0.07696196,0.01139162,0.05773852,0.14778024,0.05888493,0.10686058,0.16707614,0.16679007,0.08810222,0.10697290,0.08101134,0.07641444,0.23181763,0.04269127,0.03331183,0.06464767,0.11407073,0.17782474,0.07534316,0.08575563,0.02699846,0.06713940,0.18221545,0.14198475,0.12811641,0.11910906,0.06300696,0.07558222,0.08870292,0.13193907,0.06283812,0.02986737,0.07238245,0.13835710,0.12481201,0.18429163,0.11498521,0.06578325,0.04279102,0.20868643,0.02838557,0.13489296,0.02215723,0.24177477,0.27956593,0.07373439,0.09368315,0.05067789,0.02552573,0.14695811,0.07698061,0.10333590,0.06836056,0.14269057,0.02544399,0.14059216,0.05292726,0.23567283,0.08462621,0.09797113,0.18914104,0.03867453,0.03479739,0.19573578,0.08130771,0.07061288,0.12787037,0.02557391,0.03804676,0.02226341,0.02130056,0.09215613,0.01997617,0.01592505,0.11777084,0.03846558,0.08525987,0.02427974,0.14347847,0.12923045,0.27643311,0.02422744,0.23540746,0.05428566,0.03909976,0.04513215,0.13913415,0.13546675,0.06580442,0.11139732,0.11926395,0.13657343,0.13600641,0.18887800,0.24317649,0.06470743,0.05993089,0.12709115,0.06420824,0.04988044,0.07075281,0.09905697,0.22963086,0.17394598,0.03906559,0.08942475,0.04469623,0.01790538,0.18284537
3,0.04517200,0.10751355,0.12269679,1.00000000,0.05111532,0.12789339,0.02304251,0.16279677,0.06472740,0.07371526,0.39718074,0.04544458,0.06437251,0.06646660,0.20315096,0.25060242,0.03363535,0.03569026,0.28002143,0.09946283,0.10517602,0.15835100,0.09275541,0.09989370,0.05676481,0.02959765,0.04153312,0.16346769,0.04109346,0.10140549,0.03390916,0.03205169,0.13968894,0.12367783,0.16903478,0.19327378,0.09033592,0.11603770,0.03539775,0.05150222,0.13008463,0.14867231,0.24781567,0.08360332,0.20304093,0.08906861,0.10430332,0.15097636,0.09592855,0.06159847,0.36890113,0.12196855,0.03199923,0.07096867,0.04381239,0.11742208,0.07894009,0.35504556,0.08603430,0.17921841,0.09940098,0.11443755,0.04271473,0.12296723,0.02791218,0.07188042,0.07917683,0.12665091,0.12133476,0.03124996,0.12225956,0.27375275,0.11414772,0.04758745,0.16144261,0.01592415,0.05172474,0.04612007,0.11744175,0.13855654,0.17490521,0.06468344,0.02793269,0.28455234,0.12036477,0.21969345,0.09363055,0.04103823,0.14986196,0.03737349,0.14017659,0.16523460,0.32992303,0.03281924,0.29091650,0.02525573,0.18806508,0.06224635,0.10288268,0.13781020,0.03268467,0.19239935,0.14594540,0.06323841,0.14192751,0.14694619,0.09226593,0.03739972,0.02634374,0.09194498,0.05427186,0.11113079,0.15990454,0.05887049,0.04093437,0.05087500,0.07504511,0.03023874,0.05103749,0.15919638,0.03072463,0.43104118,0.20328382,0.08547041,0.32006431,0.22391841,0.06555149,0.15842301
4,0.06885090,0.14351216,0.05994517,0.05111532,1.00000000,0.04717956,0.06045123,0.04234286,0.03673800,0.13076086,0.21720764,0.05211754,0.04100104,0.15613994,0.11716628,0.11154506,0.11847430,0.06515075,0.11621746,0.06793121,0.07817040,0.02190875,0.02542900,0.01466944,0.11351123,0.03579292,0.06263518,0.17698640,0.03657119,0.13055813,0.02382126,0.04546801,0.04027212,0.03422916,0.02385128,0.08444521,0.02835370,0.09015086,0.07342216,0.03675326,0.08938347,0.04343484,0.06704245,0.16906485,0.08671160,0.06205396,0.03680781,0.05713643,0.03417367,0.03145120,0.02716162,0.10632718,0.02313348,0.03230511,0.05797393,0.08835693,0.07660644,0.04585353,0.03395858,0.10084037,0.04972207,0.01727294,0.02540561,0.06186791,0.07009870,0.18333308,0.03012193,0.04073753,0.03992213,0.05290669,0.02987142,0.09300162,0.02804820,0.04312274,0.05023481,0.03433526,0.02342485,0.03894045,0.06601012,0.07979074,0.03221370,0.03870128,0.06156455,0.06529963,0.04978391,0.18488249,0.08598071,0.04108886,0.10602592,0.08454774,0.02285143,0.03072128,0.04474024,0.05477005,0.06839719,0.05078598,0.12287766,0.10355514,0.04424493,0.11324793,0.07553381,0.07653181,0.05193074,0.03212122,0.03830499,0.07811557,0.01867459,0.03400357,0.03177738,0.13710254,0.05148018,0.14962122,0.02627861,0.03878208,0.03343838,0.12467285,0.03169950,0.01869980,0.03429056,0.04974064,0.09403912,0.05261479,0.12991752,0.06414850,0.13408175,0.03284289,0.13962469,0.05022473
5,0.09888855,0.02936109,0.29730392,0.12789339,0.04717956,1.00000000,0.02182556,0.07583129,0.12633401,0.07634394,0.08954733,0.04654661,0.04917854,0.10501634,0.09984039,0.28006417,0.10639623,0.04718089,0.25246370,0.12797281,0.01986035,0.02604533,0.10021771,0.08294331,0.11745458,0.05316079,0.06387598,0.02323326,0.06307336,0.12601736,0.11186392,0.21868543,0.05337470,0.03850876,0.01486577,0.03298610,0.20991310,0.07479371,0.02703103,0.08044548,0.04394264,0.22335702,0.08813637,0.09048682,0.12966773,0.04352991,0.04999889,0.19813588,0.08868514,0.12433001,0.03506113,0.05164041,0.03658491,0.14578374,0.03672894,0.09328534,0.03428907,0.03244533,0.12297704,0.04123704,0.09410761,0.02632809,0.02950674,0.13046789,0.13724136,0.10728130,0.07840657,0.08834615,0.16817996,0.02093086,0.16914530,0.03538939,0.05858225,0.04682562,0.09783731,0.07377341,0.14039829,0.04724199,0.04045093,0.06347899,0.02840969,0.06996267,0.03450373,0.11553429,0.14384806,0.18562351,0.07076386,0.05079497,0.10426127,0.03293493,0.06485396,0.05029501,0.02310297,0.13422650,0.02748691,0.21668470,0.08991526,0.13003376,0.18105540,0.23803452,0.02342389,0.19251311,0.03267144,0.03792503,0.04186465,0.15462157,0.22433960,0.11346813,0.02160619,0.15922996,0.02276788,0.12697762,0.21593623,0.30654225,0.04390131,0.07113756,0.02661641,0.11191525,0.10243469,0.04192398,0.06323003,0.18052514,0.06751319,0.08082640,0.03361128,0.02236340,0.03312456,0.05183448
6,0.03210383,0.03238954,0.03711864,0.02304251,0.06045123,0.02182556,1.00000000,0.06869127,0.04444402,0.04464038,0.07552638,0.14727166,0.05302896,0.04711212,0.20392689,0.02717781,0.02891304,0.06075559,0.12019625,0.04188713,0.01406384,0.04597437,0.06422570,0.14492719,0.15797862,0.03191784,0.02948865,0.05405295,0.16820794,0.19888209,0.09260447,0.06044522,0.18172553,0.10754132,0.08141272,0.03218755,0.02951225,0.11021549,0.06950469,0.03963824,0.03053230,0.07024846,0.02009821,0.16850942,0.03443513,0.05629457,0.15234628,0.02428255,0.08075158,0.04507479,0.06125648,0.03716563,0.11578307,0.14156091,0.02860561,0.09339967,0.12804742,0.03976030,0.05237466,0.12548044,0.12255394,0.08378864,0.02278903,0.04657211,0.01843314,0.06916512,0.05599869,0.02525268,0.09289036,0.14880536,0.11219002,0.04293733,0.05717923,0.09479112,0.04221367,0.02901091,0.01963274,0.17762718,0.12008294,0.02899629,0.03169404,0.02701901,0.06057397,0.15006240,0.15609258,0.09678926,0.03628198,0.04507848,0.02265009,0.07434285,0.04170117,0.07387422,0.02811042,0.19840461,0.05485486,0.07467330,0.02573298,0.05447006,0.05584826,0.09705648,0.20624027,0.03884026,0.01633427,0.07553691,0.03650404,0.10659895,0.06354682,0.11272622,0.26144171,0.01964048,0.07628828,0.09427424,0.05521072,0.05959123,0.07380684,0.08235615,0.03349379,0.05629089,0.03871863,0.04837323,0.05016667,0.05117102,0.01718631,0.02960566,0.07150932,0.02616413,0.06839465,0.03149369
7,0.05963677,0.04305426,0.06148834,0.16279677,0.04234286,0.07583129,0.06869127,1.00000000,0.17278248,0.08720307,0.14161670,0.04521494,0.07238398,0.04529062,0.22084361,0.13890657,0.03170768,0.09944664,0.16063082,0.08108504,0.02005247,0.06635354,0.06140638,0.04493813,0.07999658,0.09815875,0.23217237,0.06026558,0.03619100,0.14960822,0.07962973,0.02319447,0.09346834,0.04671043,0.02480751,0.02534723,0.11649846,0.03044948,0.03061648,0.05318015,0.17343530,0.25877744,0.09214158,0.05561878,0.04565850,0.36728328,0.05224299,0.10552710,0.08473638,0.02927053,0.03881506,0.08209696,0.11189410,0.03798482,0.02270237,0.04436939,0.04126133,0.05199250,0.05037374,0.06197920,0.19565061,0.04389551,0.08491728,0.15936863,0.06045483,0.08082666,0.08444978,0.17941710,0.02661669,0.04657255,0.05986199,0.02768239,0.06610972,0.07378943,0.08861322,0.07000969,0.05979891,0.09357625,0.04201878,0.10321375,0.04263610,0.06600350,0.16025600,0.19720536,0.14672029,0.05826721,0.09641811,0.11560702,0.13249466,0.05028445,0.02176407,0.02307303,0.03989349,0.15110016,0.03786799,0.03416869,0.05025324,0.03912064,0.13148992,0.08947287,0.14216527,0.02466497,0.15895577,0.21098402,0.02821132,0.11707519,0.03587357,0.04520901,0.10975061,0.13216574,0.03725043,0.10229449,0.03797514,0.07378103,0.01792302,0.04185731,0.05431835,0.04708556,0.04795600,0.08670641,0.05584292,0.17491129,0.03976312,0.05975812,0.07926525,0.02401389,0.05054877,0.09279463
8,0.09549339,0.02844283,0.12536162,0.06472740,0.03673800,0.12633401,0.04444402,0.17278248,1.00000000,0.06054197,0.06179504,0.04522866,0.24485192,0.05575985,0.05769207,0.35388067,0.03851342,0.03318654,0.28738201,0.09375088,0.01672522,0.07215932,0.13397926,0.18924868,0.17462087,0.16039246,0.30529362,0.13502401,0.03342528,0.11957337,0.06895768,0.03110692,0.09252432,0.13255715,0.09499359,0.02180896,0.09162369,0.05368231,0.04719963,0.03241082,0.24734430,0.17067787,0.28626403,0.05881992,0.10630357,0.21169892,0.13710842,0.02269184,0.08381838,0.01670273,0.02453342,0.11294792,0.05324987,0.05152044,0.02980169,0.23183754,0.13395894,0.03233763,0.03816423,0.10812382,0.19270255,0.22155987,0.12673250,0.07561773,0.02876381,0.07167042,0.03566800,0.13996860,0.06327455,0.03267764,0.02442244,0.14046188,0.13080615,0.01980027,0.10134949,0.01568733,0.13601388,0.06141067,0.08791868,0.09902059,0.06421400,0.13087875,0.20346904,0.03243004,0.11420593,0.15853253,0.11810346,0.10154788,0.12779970,0.07843202,0.04646055,0.07157056,0.06516968,0.02024964,0.09076524,0.04107285,0.13847482,0.22243109,0.10981497,0.04750804,0.06855302,0.07068233,0.13928656,0.04343780,0.03188418,0.22120321,0.04458112,0.09892000,0.05405691,0.09689640,0.06805669,0.07464823,0.12610231,0.06634498,0.21397074,0.05781256,0.11500108,0.02885949,0.09987551,0.14735933,0.06229945,0.28884804,0.16718581,0.07073469,0.06415246,0.05492387,0.07052913,0.02749164
9,0.05393897,0.06016401,0.03922608,0.07371526,0.13076086,0.07634394,0.04464038,0.08720307,0.06054197,1.00000000,0.04477363,0.05004589,0.06480362,0.14140612,0.03892619,0.17179090,0.03708319,0.04513659,0.07654408,0.02933142,0.01328617,0.04917075,0.07087977,0.07245663,0.37410319,0.07663000,0.16130167,0.05320897,0.04887961,0.07455588,0.07816602,0.07587737,0.04748273,0.04012041,0.03973220,0.09476373,0.07493907,0.21080333,0.11082693,0.05958231,0.09554961,0.07985531,0.07044686,0.06462827,0.05383898,0.06002499,0.03083978,0.03587227,0.03764660,0.03890827,0.03250082,0.04511436,0.05603639,0.11754772,0.05814525,0.12897786,0.04183538,0.08624675,0.02263055,0.04810039,0.08230849,0.08982731,0.06729840,0.07434669,0.05545674,0.07621445,0.04665094,0.03491373,0.06024342,0.04921164,0.03693420,0.04398865,0.06776752,0.03669800,0.09362042,0.05804987,0.06433535,0.05239268,0.02966030,0.06982438,0.04409335,0.07890290,0.05919735,0.06689582,0.12769599,0.08777373,0.06505783,0.10812133,0.09157619,0.06668869,0.10835662,0.02748177,0.04999487,0.06322058,0.05943408,0.08332408,0.01842274,0.09353885,0.13299704,0.09068479,0.06021007,0.05960602,0.10342726,0.09309522,0.05136206,0.04646067,0.03856637,0.16401571,0.04991074,0.06063769,0.07063124,0.14573668,0.07610174,0.06385082,0.03253815,0.05906366,0.05482887,0.03738407,0.03227740,0.06340820,0.07278569,0.11181113,0.04041449,0.04831388,0.16248770,0.03590829,0.07301505,0.05954098
