channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63,ch_64,ch_65,ch_66,ch_67,ch_68,ch_69,ch_70,ch_71,ch_72,ch_73,ch_74,ch_75,ch_76,ch_77,ch_78,ch_79,ch_80,ch_81,ch_82,ch_83,ch_84,ch_85,ch_86,ch_87,ch_88,ch_89,ch_90,ch_91,ch_92,ch_93,ch_94,ch_95,ch_96,ch_97,ch_98,ch_99,ch_100,ch_101,ch_102,ch_103,ch_104,ch_105,ch_106,ch_107,ch_108,ch_109,ch_110,ch_111,ch_112,ch_113,ch_114,ch_115,ch_116,ch_117,ch_118,ch_119,ch_120,ch_121,ch_122,ch_123,ch_124,ch_125,ch_126,ch_127
0,1.00000000,0.12922063,0.10136786,0.02255159,0.06714629,0.08700638,0.03210383,0.02857383,0.05549332,0.03089411,0.10256100,0.06654394,0.33311847,0.04280630,0.03346946,0.20867722,0.15298951,0.11359856,0.21951170,0.03110445,0.04959583,0.02768379,0.16849890,0.06289234,0.13585499,0.01677034,0.14200482,0.20563741,0.12525845,0.05789474,0.04612197,0.08905569,0.19955175,0.11645870,0.10567020,0.11276183,0.02356954,0.05956753,0.10655116,0.05602331,0.02542161,0.05454254,0.30436182,0.08122803,0.19496652,0.11806379,0.05491563,0.05112902,0.03546742,0.07540488,0.05985771,0.07586962,0.02579262,0.04094611,0.09903184,0.31579521,0.09939232,0.24795806,0.07434945,0.13749045,0.07379197,0.06408060,0.05563697,0.09858388,0.04873737,0.02363839,0.03258075,0.04757455,0.06627654,0.03199988,0.02632706,0.04935955,0.08980772,0.08237202,0.04846348,0.01705538,0.05550221,0.02445557,0.02882428,0.08799015,0.12835437,0.04147090,0.07443084,0.14252108,0.03300579,0.14723259,0.04510310,0.03608679,0.04517116,0.26802230,0.09416537,0.08328693,0.07222123,0.06252699,0.30740994,0.05041084,0.01569846,0.03561453,0.05065900,0.05669279,0.10829273,0.18914589,0.06294918,0.06084483,0.50179940,0.04194045,0.02376784,0.01759485,0.02036506,0.03092745,0.04760870,0.02408598,0.15433666,0.02040930,0.05692898,0.19163449,0.06279974,0.03471208,0.02847602,0.06463448,0.04805387,0.27926511,0.12992811,0.04516736,0.11692324,0.00996288,0.06225806,0.10338216
1,0.12922063,1.00000000,0.10533345,0.08942483,0.13208911,0.01951653,0.03238954,0.04305426,0.02844283,0.06016401,0.16033340,0.03505890,0.07149841,0.27061987,0.14573044,0.01557836,0.12282851,0.02225392,0.05599412,0.09002072,0.07669978,0.14828888,0.14086400,0.03055178,0.03691310,0.22818077,0.10117697,0.14725056,0.09326842,0.02633716,0.02520834,0.02438968,0.11145359,0.15478738,0.12157570,0.03200388,0.04556732,0.06464310,0.03987544,0.06378908,0.06219444,0.15126085,0.11090675,0.10285866,0.09199341,0.13356256,0.02452009,0.03732601,0.02797114,0.02036602,0.14191541,0.01454260,0.02357061,0.04093102,0.03448515,0.02821945,0.07506624,0.10986744,0.02590658,0.06429668,0.04737952,0.05609139,0.11035688,0.18540753,0.02757246,0.20358896,0.04675231,0.03732390,0.10162150,0.01815220,0.04483193,0.24059412,0.02070783,0.13194656,0.15164581,0.07479041,0.01904997,0.02279373,0.10880651,0.02688293,0.14493971,0.04914718,0.15719277,0.15900749,0.04323302,0.16699602,0.15229511,0.02928021,0.11813919,0.10176072,0.12413099,0.26606351,0.14064346,0.05768881,0.18288265,0.03128558,0.03484557,0.03656531,0.02107919,0.01749511,0.05026674,0.02952814,0.17727101,0.06602094,0.15961874,0.01762020,0.09625805,0.09844466,0.04117997,0.06161271,0.05218778,0.04249528,0.13958734,0.03082904,0.01496701,0.07627350,0.07398306,0.02812044,0.10479602,0.03139067,0.02309916,0.11047416,0.14344352,0.20809768,0.13463269,0.03095798,0.14297238,0.03277609
2,0.10136786,0.10533345,1.00000000,0.11688256,0.05945167,0.28369594,0.03711864,0.04131843,0.12407357,0.03922608,0.11831240,0.03946587,0.01627862,0.08586596,0.05793017,0.19060299,0.03948147,0.02611724,0.28101379,0.07282072,0.01139162,0.03866582,0.13633336,0.05888493,0.09461807,0.15303028,0.15918915,0.07898746,0.07703707,0.08101134,0.07641444,0.23181763,0.04269127,0.02623425,0.06300689,0.11407073,0.17167246,0.05582726,0.07062368,0.02699846,0.03204813,0.18221545,0.13198288,0.11728520,0.11905332,0.03799676,0.06856820,0.08870292,0.12775144,0.05016328,0.02631993,0.07220676,0.13061321,0.12481201,0.18429163,0.11498521,0.06578325,0.04279102,0.20868643,0.02684823,0.12192981,0.02046189,0.23941028,0.26249874,0.07373439,0.07699195,0.05067789,0.02199765,0.12963644,0.07698061,0.10100870,0.06836056,0.12976319,0.01608676,0.10677306,0.05124339,0.23567283,0.08462621,0.09172948,0.18758482,0.03867453,0.03479739,0.19573578,0.07680966,0.06807593,0.12712760,0.02557391,0.03392071,0.01784546,0.01837624,0.09215613,0.01934837,0.01592505,0.11629742,0.02261890,0.07248448,0.02216212,0.12636077,0.09736985,0.27643311,0.01826952,0.23278959,0.04319351,0.03509884,0.02211535,0.13913415,0.13041657,0.05315496,0.11139732,0.11926395,0.13657343,0.13600641,0.18679059,0.24317649,0.05661352,0.04021188,0.11814777,0.05239280,0.03926319,0.05889601,0.08086356,0.22720081,0.16285516,0.02159870,0.08691841,0.02734960,0.01790538,0.17324838
3,0.02255159,0.08942483,0.11688256,1.00000000,0.04850073,0.11277540,0.02304251,0.15192741,0.05310795,0.07371526,0.39718074,0.03573626,0.05567029,0.06646660,0.20315096,0.25060242,0.02259042,0.02487914,0.28002143,0.09123574,0.10391006,0.14987895,0.07350767,0.07853977,0.02833965,0.02431469,0.03801931,0.16076232,0.03555703,0.10140549,0.02525406,0.02702040,0.13968894,0.09919345,0.15533555,0.16719469,0.06982961,0.11178954,0.02244093,0.05116370,0.12144589,0.14867231,0.20959088,0.08360332,0.17945033,0.08906861,0.09592675,0.13636160,0.09592855,0.05796564,0.35900629,0.12171127,0.02940221,0.03921905,0.04381239,0.11742208,0.07894009,0.32759356,0.08603430,0.14986217,0.08304746,0.09045844,0.03529478,0.10891148,0.02791218,0.06836227,0.07917683,0.12491101,0.10391439,0.02214281,0.12016819,0.24749026,0.10700023,0.04126620,0.13432515,0.01278756,0.05172474,0.04612007,0.08512856,0.11638481,0.17427887,0.06468344,0.01567617,0.28041896,0.12036477,0.20961714,0.08515006,0.03159446,0.14574927,0.03737349,0.11255342,0.13500348,0.30245075,0.03281924,0.29082149,0.02298415,0.17840552,0.03847119,0.08761324,0.13781020,0.02732592,0.18137857,0.14594540,0.06323841,0.14192751,0.14694619,0.08329152,0.02899835,0.02634374,0.09194498,0.05427186,0.11113079,0.12546286,0.05887049,0.01495422,0.04802590,0.07075775,0.02104192,0.05014610,0.15793878,0.03072463,0.42807508,0.16759047,0.08547041,0.30834800,0.22391841,0.06512399,0.15734503
4,0.06714629,0.13208911,0.05945167,0.04850073,1.00000000,0.04572013,0.06045123,0.04234286,0.03413004,0.13076086,0.21720764,0.04021379,0.03120526,0.15023236,0.11716628,0.11154506,0.10710897,0.06515075,0.11621746,0.06793121,0.07373919,0.02190875,0.02299293,0.01466944,0.10523105,0.03579292,0.04354614,0.15452567,0.03657119,0.13055813,0.02382126,0.04546801,0.04027212,0.03422916,0.02178994,0.08227898,0.02681350,0.09015086,0.06212597,0.03061983,0.06799203,0.02829917,0.06704245,0.12498339,0.08671160,0.03713580,0.02414604,0.05575101,0.03417367,0.03145120,0.02716162,0.10486349,0.02313348,0.02548907,0.04617538,0.08835693,0.06358328,0.04585353,0.02888046,0.08500342,0.03976901,0.01549560,0.02540561,0.06186791,0.07009870,0.18333308,0.03012193,0.02061318,0.03966087,0.02928679,0.02669043,0.09300162,0.02793823,0.04312274,0.05023481,0.02172710,0.02342485,0.03894045,0.06100732,0.07617946,0.03221370,0.03870128,0.04516978,0.06529963,0.04978391,0.18488249,0.08598071,0.04108886,0.08009574,0.05293027,0.02086749,0.03008376,0.02661188,0.05477005,0.04721683,0.05078598,0.10471183,0.07893173,0.04393229,0.11124604,0.05797651,0.05753916,0.02876515,0.03212122,0.02641482,0.07811557,0.01556993,0.03068627,0.03177738,0.11939000,0.05148018,0.14962122,0.02337402,0.02636905,0.02696382,0.11162627,0.03169950,0.01869980,0.03429056,0.04974064,0.07625798,0.04116964,0.12991752,0.06414850,0.13408175,0.03284289,0.11412588,0.05022473
5,0.08700638,0.01951653,0.28369594,0.11277540,0.04572013,1.00000000,0.01513350,0.06676275,0.12633401,0.07634394,0.08954733,0.03302124,0.03851313,0.10108050,0.09984039,0.26235911,0.10639623,0.04718089,0.24615595,0.12469813,0.01814131,0.02034811,0.10021771,0.07686715,0.10695792,0.04497135,0.06387598,0.02323326,0.04470448,0.12601736,0.11186392,0.21868543,0.05337470,0.03148031,0.01190375,0.03157724,0.20838431,0.05472488,0.02421943,0.07420395,0.03787740,0.22335702,0.08642456,0.09048682,0.11989991,0.04287370,0.04412711,0.19196343,0.07556461,0.12433001,0.01962030,0.03667979,0.03089160,0.14239949,0.03565367,0.09328534,0.03410779,0.02991909,0.10782428,0.04123704,0.07583572,0.02632809,0.02716386,0.12309122,0.13724136,0.08002958,0.07840657,0.08392269,0.15744790,0.02093086,0.13023508,0.02812454,0.03957953,0.04682562,0.05708691,0.05195973,0.11527221,0.02827537,0.03861780,0.04374396,0.02413663,0.06996267,0.03450373,0.11037310,0.14384806,0.18143836,0.06637345,0.04199129,0.10426127,0.03293493,0.05866618,0.05029501,0.02067810,0.13422650,0.02748691,0.21507797,0.08663020,0.12099655,0.15381423,0.23480041,0.02342389,0.18527269,0.02732885,0.03792503,0.01594039,0.15462157,0.22433960,0.11316317,0.01821582,0.15922996,0.02276788,0.12697762,0.20700714,0.30654225,0.03659296,0.06084428,0.01664876,0.08720152,0.08786294,0.02793509,0.04418287,0.17439958,0.05267327,0.03946675,0.03127143,0.02130834,0.02657857,0.03816975
6,0.03210383,0.03238954,0.03711864,0.02304251,0.06045123,0.01513350,1.00000000,0.06869127,0.03297856,0.04464038,0.07552638,0.14314172,0.03253904,0.04711212,0.20392689,0.02717781,0.02891304,0.04164006,0.12019625,0.03576314,0.01207384,0.04461981,0.04950650,0.14114231,0.15797862,0.03191784,0.02948865,0.05405295,0.16820794,0.19239032,0.04896961,0.06044522,0.15250242,0.10605839,0.07844032,0.03218755,0.02212265,0.11021549,0.05893014,0.03774273,0.03029833,0.07024846,0.01254920,0.14717504,0.03443513,0.03589190,0.15234628,0.02428255,0.08075158,0.04091303,0.05809545,0.03330122,0.11578307,0.14156091,0.02860561,0.04972291,0.11379284,0.03976030,0.04175820,0.09874715,0.10166249,0.08378864,0.02181181,0.04657211,0.01843314,0.06594113,0.04557920,0.01823687,0.07352769,0.14880536,0.10682684,0.03412016,0.05717923,0.08920322,0.03158166,0.02443435,0.01527384,0.14953242,0.11864291,0.02899629,0.02296834,0.02685626,0.06057397,0.15006240,0.12674356,0.09678926,0.03146341,0.04507848,0.02147010,0.07059257,0.04170117,0.07250494,0.02811042,0.19840461,0.05485486,0.06900647,0.02573298,0.03959013,0.03975873,0.09705648,0.19938046,0.02533374,0.01517910,0.07352887,0.02778515,0.08363314,0.06129032,0.07572624,0.26050681,0.01706271,0.07628828,0.08996449,0.04961925,0.05928190,0.04863843,0.08231430,0.02355712,0.04450110,0.01915963,0.04568511,0.05016667,0.05117102,0.01718631,0.02960566,0.07150932,0.02616413,0.06839465,0.03149369
7,0.02857383,0.04305426,0.04131843,0.15192741,0.04234286,0.06676275,0.06869127,1.00000000,0.17278248,0.06185039,0.14161670,0.03668001,0.07238398,0.04529062,0.22084361,0.12761003,0.03170768,0.09944664,0.13049698,0.06004943,0.01363786,0.05001215,0.05683232,0.03101803,0.07999658,0.08017679,0.23217237,0.06026558,0.02697398,0.11934800,0.07233508,0.02138723,0.08878595,0.03435878,0.01761585,0.01465278,0.11410221,0.03044948,0.03061648,0.05318015,0.17343530,0.25877744,0.08409075,0.04859808,0.04066665,0.36728328,0.03269606,0.10552710,0.08473638,0.02927053,0.03877508,0.06725828,0.10466722,0.03233885,0.02270237,0.04293624,0.03163855,0.05199250,0.04672214,0.06197920,0.14854833,0.02843996,0.08261342,0.15936863,0.06045483,0.05092306,0.06649653,0.15516694,0.02661669,0.02674751,0.05986199,0.02279340,0.05824213,0.07161005,0.05039688,0.06729542,0.05672286,0.09357625,0.04201878,0.09317189,0.04263610,0.03871316,0.14017835,0.18242575,0.14672029,0.05151481,0.08994566,0.08220650,0.13116768,0.04765622,0.01007476,0.02307303,0.03543313,0.14421982,0.03786799,0.03416869,0.03344315,0.03471620,0.12848781,0.08790690,0.14216527,0.02099019,0.15895577,0.21098402,0.01939437,0.11707519,0.02925386,0.03878817,0.10354152,0.12146910,0.01430894,0.10229449,0.02452195,0.07378103,0.01792302,0.04185731,0.03841580,0.04708556,0.02774536,0.06710345,0.02643149,0.17491129,0.03976312,0.03119860,0.06854466,0.02205084,0.05054877,0.09279463
8,0.05549332,0.02844283,0.12407357,0.05310795,0.03413004,0.12633401,0.03297856,0.17278248,1.00000000,0.06018729,0.06179504,0.04139773,0.22582245,0.05575985,0.05608398,0.35388067,0.03489605,0.01914927,0.27505887,0.09375088,0.01672522,0.05831755,0.11355421,0.17540002,0.17053828,0.14412645,0.30529362,0.09601563,0.02046515,0.11957337,0.04055724,0.03110692,0.09252432,0.12807608,0.07941721,0.01580529,0.09162369,0.05368231,0.04174981,0.02775459,0.22533929,0.17067787,0.28626403,0.05881992,0.10630357,0.21169892,0.13710842,0.02269184,0.08381838,0.01460572,0.01898306,0.11197218,0.05288880,0.03509394,0.02980169,0.23150524,0.13259275,0.01797401,0.03649700,0.08278830,0.17326075,0.20586605,0.12347375,0.05840618,0.02876381,0.05984475,0.03566800,0.13996860,0.05196849,0.01587676,0.02442244,0.12726444,0.12444776,0.01980027,0.06292519,0.01568733,0.13488548,0.05292888,0.08407910,0.09592558,0.05467700,0.12250368,0.20346904,0.03014456,0.11420593,0.15571873,0.08655667,0.09483963,0.12779970,0.07843202,0.03960682,0.07157056,0.04629591,0.01953668,0.06626080,0.04107285,0.12276639,0.22243109,0.09536961,0.04039504,0.06855302,0.06303966,0.13928656,0.04343780,0.02737436,0.22120321,0.04458112,0.07398013,0.05405691,0.09689640,0.06398562,0.06750442,0.11574633,0.05935049,0.21397074,0.05781256,0.09699391,0.02805789,0.07885899,0.14735933,0.02784863,0.27824455,0.16718581,0.04706205,0.04396795,0.04959077,0.02299012,0.01841984
9,0.03089411,0.06016401,0.03922608,0.07371526,0.13076086,0.07634394,0.04464038,0.06185039,0.06018729,1.00000000,0.04477363,0.05004589,0.06480362,0.12674388,0.03892619,0.17179090,0.03129215,0.04478668,0.07654408,0.02933142,0.01328617,0.04278268,0.07087977,0.05639530,0.37410319,0.06504925,0.16130167,0.05320897,0.04887961,0.06456048,0.06585126,0.07587737,0.02936275,0.04012041,0.02993812,0.09158134,0.06108458,0.21080333,0.09956563,0.04798911,0.09554961,0.07985531,0.03981118,0.06265815,0.05383898,0.04906113,0.02476010,0.03587227,0.03764660,0.03890827,0.03250082,0.04511436,0.04320741,0.11754772,0.05814525,0.12897786,0.03077488,0.07810000,0.02263055,0.03575405,0.07192748,0.07064082,0.04462601,0.06051541,0.05520292,0.05365023,0.03960267,0.03491373,0.06024342,0.03044378,0.03693420,0.03340728,0.06003533,0.03669800,0.05300770,0.05600823,0.06433535,0.05239268,0.02966030,0.06982438,0.04409335,0.06982252,0.05919735,0.05475990,0.12618038,0.08354032,0.06505783,0.07907179,0.09147163,0.06182560,0.08102530,0.01905253,0.03884447,0.06322058,0.05943408,0.08332408,0.01460741,0.09252746,0.13299704,0.06549229,0.06021007,0.05960602,0.10342726,0.05421364,0.03100410,0.04646067,0.03856637,0.11277719,0.04669025,0.05524036,0.06096052,0.14573668,0.07610174,0.06385082,0.02595261,0.05906366,0.05482887,0.03738407,0.02275453,0.06340820,0.05272341,0.09296516,0.04041449,0.02678946,0.13970889,0.03437680,0.04525952,0.05954098
