channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,0.00000000,0.96649736,0.91980338,0.94688523,0.70410842,0.96205896,0.80418766,0.84686160,0.95788753,0.95988721,0.86325282,0.95060062,0.95680428,0.76749766,0.93603468,0.85301757,0.94799805,0.86421925,0.90213406,0.92614567,0.95302194,0.95890808,0.97236001,0.83673048,0.83315682,0.84871179,0.95417005,0.95855641,0.86936784,0.94291502,0.87146425,0.94476581,0.95267802,0.96995533,0.89224267,0.91164196,0.83046710,0.95651877,0.97051823,0.92997307,0.91653317,0.86390102,0.76157087,0.92676115,0.91480243,0.94169801,0.95039630,0.95350420,0.92975926,0.94269061,0.97597289,0.90003419,0.97114754,0.88146180,0.92425942,0.86692840,0.93388468,0.93707734,0.97352636,0.96967858,0.86622965,0.86330599,0.94620734,0.89526975
1,0.96649736,0.00000000,0.92165834,0.98906910,0.95754522,0.99005741,0.74200159,0.90683979,0.92378581,0.88198811,0.93932211,0.93163717,0.98639739,0.94677371,0.95224589,0.84109437,0.71392375,0.96094078,0.92808110,0.77304363,0.94736350,0.94176704,0.91283935,0.95882571,0.94134814,0.95896614,0.95596302,0.97817802,0.93419790,0.87081742,0.96361303,0.83136320,0.95135671,0.77414221,0.85676169,0.97604150,0.97519821,0.87248802,0.98690343,0.94553781,0.96562123,0.96194339,0.95632046,0.96726453,0.95539397,0.97391731,0.95556039,0.89686430,0.89121598,0.91713732,0.97790229,0.94228923,0.88908100,0.96915382,0.91345310,0.92019737,0.98135275,0.89233840,0.97375047,0.97209704,0.96417230,0.91043192,0.95434266,0.97824508
2,0.91980338,0.92165834,0.00000000,0.88034177,0.83885002,0.91555709,0.81024528,0.86406696,0.86008799,0.92192101,0.75616586,0.97578454,0.92178977,0.94560409,0.87839806,0.75367177,0.92779875,0.95989788,0.91508776,0.69275367,0.83420885,0.89495915,0.91417587,0.77088267,0.87504703,0.78504062,0.84883004,0.95625859,0.97258419,0.82152164,0.92183661,0.95819193,0.97658169,0.90278053,0.73253262,0.88516319,0.86932433,0.94383222,0.86995256,0.85224777,0.60368150,0.88503760,0.86214852,0.94884402,0.94056016,0.96640313,0.70312935,0.91070151,0.96181804,0.90377426,0.89903682,0.90093857,0.92203069,0.90432620,0.97734213,0.87104404,0.79692817,0.85087514,0.90077084,0.85670447,0.84102976,0.90008211,0.82901889,0.97732902
3,0.94688523,0.98906910,0.88034177,0.00000000,0.92557895,0.88180912,0.90987676,0.92251885,0.90316993,0.92369211,0.95312858,0.91360831,0.89658153,0.92419273,0.63381749,0.95420641,0.89804673,0.97363669,0.85977089,0.75904977,0.76613295,0.96652567,0.64836001,0.84456217,0.83802366,0.67372453,0.97447896,0.97336119,0.82362294,0.96225995,0.95993847,0.94275260,0.96682096,0.97423702,0.92173946,0.72478479,0.89899701,0.94116312,0.95790493,0.89448375,0.98543495,0.92464304,0.92175508,0.88218993,0.96194786,0.96397001,0.85847074,0.95361912,0.90609181,0.97010058,0.96094978,0.97916818,0.97632539,0.96768063,0.76117426,0.97313690,0.73485738,0.89726156,0.62651742,0.88897109,0.89633089,0.82524037,0.89273220,0.96519279
4,0.70410842,0.95754522,0.83885002,0.92557895,0.00000000,0.81993699,0.72076333,0.72299719,0.90491474,0.89717519,0.83060205,0.85742068,0.95395696,0.63125062,0.82561266,0.53616357,0.96196753,0.82356572,0.63780093,0.84200472,0.84328121,0.85645783,0.87463611,0.59115112,0.89015162,0.76664889,0.72728139,0.91436201,0.80745667,0.85001129,0.96709371,0.97067642,0.93902451,0.80672753,0.80281305,0.88273352,0.64924794,0.96702683,0.94541746,0.93085080,0.97383648,0.82690203,0.86152148,0.89348936,0.88167369,0.89495897,0.84898847,0.89579105,0.95488167,0.96042460,0.95819145,0.87240189,0.88678592,0.87569213,0.95140624,0.69217604,0.69283265,0.90210730,0.80937493,0.97014260,0.73008668,0.68484634,0.86159039,0.80570459
5,0.96205896,0.99005741,0.91555709,0.88180912,0.81993699,0.00000000,0.77980012,0.92850137,0.93898273,0.88362592,0.97183853,0.92340237,0.88182485,0.92104065,0.96468395,0.94408727,0.90282083,0.94658166,0.96110082,0.87653023,0.92538321,0.84140629,0.93513608,0.95230573,0.84175265,0.83940887,0.98533154,0.65365112,0.89704818,0.91979760,0.96693802,0.87934405,0.90094233,0.98072994,0.51849651,0.82403862,0.89412946,0.78601265,0.98284292,0.91349572,0.98392892,0.95004743,0.95099401,0.98266274,0.91403687,0.98085797,0.96262586,0.96726644,0.97945458,0.90822911,0.88710344,0.87044114,0.96382022,0.93183720,0.97304022,0.95236129,0.97645283,0.93789279,0.96911889,0.97382545,0.95640981,0.87120944,0.95858848,0.94664931
6,0.80418766,0.74200159,0.81024528,0.90987676,0.72076333,0.77980012,0.00000000,0.83728027,0.96938348,0.95008647,0.91666275,0.97391200,0.90420008,0.86397028,0.85060024,0.74710011,0.92962706,0.93582577,0.85515016,0.68074673,0.87231362,0.88421792,0.86440808,0.84129679,0.84451759,0.89375705,0.95167136,0.65392774,0.86113429,0.92577153,0.96903074,0.94452524,0.72242278,0.72792411,0.83419591,0.90427434,0.83820939,0.65457612,0.97690994,0.97924292,0.95306027,0.91066146,0.94188797,0.96980500,0.94238454,0.96200860,0.89646268,0.90499258,0.92271680,0.97164345,0.97100925,0.93312573,0.56465739,0.96105427,0.89936876,0.92060435,0.92749041,0.69448972,0.97207975,0.94275367,0.79898465,0.93945360,0.97662634,0.92230868
7,0.84686160,0.90683979,0.86406696,0.92251885,0.72299719,0.92850137,0.83728027,0.00000000,0.92635369,0.96215934,0.82656127,0.88302767,0.86749780,0.74867904,0.85534328,0.85666955,0.95735544,0.94962126,0.93718189,0.60284358,0.93380171,0.80479860,0.98137450,0.81604087,0.93090147,0.97738326,0.86287701,0.91590202,0.93065590,0.89103949,0.83379269,0.96259731,0.94233972,0.91660547,0.91041428,0.95674795,0.98504376,0.88572967,0.95209062,0.95631546,0.91910923,0.86343586,0.93337470,0.95939904,0.85847390,0.97477472,0.96518272,0.95310575,0.81924558,0.85832620,0.86211205,0.87275970,0.97509450,0.90311885,0.96677279,0.84677684,0.94549650,0.89696246,0.88153934,0.89036107,0.95197964,0.97320068,0.98117459,0.97051460
8,0.95788753,0.92378581,0.86008799,0.90316993,0.90491474,0.93898273,0.96938348,0.92635369,0.00000000,0.96798259,0.92199218,0.97395247,0.93911886,0.90363979,0.96965754,0.96890479,0.97305512,0.85092068,0.92250645,0.87151897,0.95488721,0.90880883,0.84837455,0.97468746,0.91263890,0.97472745,0.96042311,0.98365259,0.93877310,0.94701672,0.96523434,0.97333646,0.96798664,0.96751106,0.94228095,0.96585017,0.86598921,0.95837063,0.96576679,0.91843188,0.94863689,0.97338259,0.91571569,0.84676725,0.93660098,0.92637378,0.74314106,0.95471579,0.93535823,0.96744210,0.96480238,0.96997434,0.97397643,0.96357107,0.92092860,0.96655530,0.90591174,0.97947049,0.96449834,0.82728970,0.97939098,0.92485905,0.96512777,0.92368686
9,0.95988721,0.88198811,0.92192101,0.92369211,0.89717519,0.88362592,0.95008647,0.96215934,0.96798259,0.00000000,0.98017043,0.96727383,0.96879756,0.97508198,0.94133252,0.88777125,0.97352970,0.97902906,0.91739315,0.97799015,0.97841036,0.95850033,0.97082198,0.84994912,0.92367208,0.88721442,0.98288643,0.97590649,0.92238706,0.95832133,0.94118285,0.96841002,0.97582763,0.96567136,0.95699215,0.94539642,0.94857883,0.94831765,0.98799270,0.92900866,0.96636474,0.94129062,0.97807604,0.95892984,0.87188506,0.94864762,0.97938395,0.96401036,0.93697023,0.98458660,0.98562026,0.97131217,0.93445122,0.96665734,0.97461158,0.96795535,0.87630534,0.95261055,0.97664756,0.95914561,0.98264891,0.96777707,0.93425155,0.95379156
