cluster_id,cluster_size,representative_role,channel,trigger,cross_light_ncc,robust_gradient_energy
1,1,medoid,5,structural_centrality,0.8735437972467277,0.026420414447225392
2,1,medoid,40,structural_centrality,0.888911044829658,0.015800770130329985
3,1,medoid,0,structural_centrality,0.9140654177323942,0.031688345501493326
4,1,medoid,24,structural_centrality,0.8734362905616457,0.030641007823161523
5,1,medoid,26,structural_centrality,0.9595259744738135,0.026810276549321832
6,1,medoid,56,structural_centrality,0.9517023725101293,0.021291916804716322
7,1,medoid,59,structural_centrality,0.9237916058535743,0.01618279527694992
8,1,medoid,14,structural_centrality,0.9521190640861539,0.016512767548222014
9,1,medoid,25,structural_centrality,0.9591950011157873,0.021437592073112167
10,1,medoid,50,structural_centrality,0.9157499772008161,0.022525618517855547
11,2,medoid,6,structural_centrality,0.9009330693659849,0.01336954503187818
11,2,second,52,robust_gradient_ratio,0.8966857619859122,0.006071947467035827
12,3,medoid,27,structural_centrality,0.6428125862045971,0.002648037807845522
12,3,second,32,cross_light_ncc_spread;robust_gradient_ratio,0.9146768066085242,0.0027138434621236975
13,1,medoid,8,structural_centrality,0.8667206710350965,0.017834698760103976
14,1,medoid,15,structural_centrality,0.9029858375098387,0.0579523314553419
15,1,medoid,63,structural_centrality,0.9544411428218295,0.04496988138293055
16,1,medoid,30,structural_centrality,0.9520554924926379,0.0400207918121402
17,2,medoid,43,structural_centrality,0.9679877674064192,0.03239927625750029
18,1,medoid,39,structural_centrality,0.9183739274347649,0.017209689708598305
19,1,medoid,33,structural_centrality,0.8680636636185133,0.00635509617704015
20,1,medoid,18,structural_centrality,0.42505334300671055,0.001998253086059418
21,2,medoid,17,structural_centrality,0.533286266145816,0.0003966997703117042
21,2,second,34,cross_light_ncc_spread;robust_gradient_ratio,0.9219725273926898,0.0034061695093924845
22,1,medoid,23,structural_centrality,0.925069802884378,0.042137926437841144
23,2,medoid,1,structural_centrality,0.956345492219907,0.026462508944981995
23,2,second,10,robust_gradient_ratio,0.96502869463355,0.05537544271667964
24,3,medoid,11,structural_centrality,0.9687355160951198,0.030590683661397118
25,6,medoid,62,structural_centrality,0.9117432511282945,0.002143601907561585
25,6,second,29,robust_gradient_ratio,0.924221335390293,0.0130324330564493
26,1,medoid,41,structural_centrality,0.9682343075397846,0.016184050753848524
27,2,medoid,20,structural_centrality,0.9663959295906638,0.025103977735909347
28,1,medoid,31,structural_centrality,0.9589737990991153,0.014917699360210746
29,1,medoid,35,structural_centrality,0.8958307897270421,0.003220612481852484
30,13,medoid,61,structural_centrality,0.9849280278230883,0.003525954345821782
30,13,second,60,robust_gradient_ratio,0.9716505994296963,0.04197906662339533
