cluster_id,cluster_size,representative_role,channel,trigger,cross_light_ncc,robust_gradient_energy
1,1,medoid,9,structural_centrality,0.7947387897395024,0.0536598476021137
2,1,medoid,1,structural_centrality,0.8296857995941131,0.1360935825884974
3,1,medoid,16,structural_centrality,0.9078688095395802,0.10165076124649794
4,1,medoid,31,structural_centrality,0.8818752597509516,0.11307285924438562
5,1,medoid,63,structural_centrality,0.9153938866028367,0.5979393498032792
6,1,medoid,53,structural_centrality,0.8733900456975048,0.02607469165322815
7,1,medoid,60,structural_centrality,0.9672611235572528,0.08528414725847726
8,1,medoid,43,structural_centrality,0.927777772774345,0.2864539803945141
9,1,medoid,51,structural_centrality,0.948558958751645,0.1090084551000344
10,1,medoid,39,structural_centrality,0.8938910282714121,0.2253782282676611
11,1,medoid,47,structural_centrality,0.909924395520493,0.07385538273000336
12,1,medoid,37,structural_centrality,0.8293389124132344,0.10091029060892936
13,1,medoid,6,structural_centrality,0.8770642638075539,0.2009351531062833
14,1,medoid,33,structural_centrality,0.7915765551711058,0.03775526091596455
15,1,medoid,52,structural_centrality,0.8383180475303487,0.2699140659014798
16,1,medoid,32,structural_centrality,0.8590560965675602,0.1600412440472945
17,1,medoid,27,structural_centrality,0.8718809542096815,0.06886026585241058
18,1,medoid,28,structural_centrality,0.8161195605854482,0.29603665822054853
19,1,medoid,45,structural_centrality,0.803342901976948,0.048552021529649526
20,1,medoid,12,structural_centrality,0.8911622789343507,0.36230951461008487
21,1,medoid,36,structural_centrality,0.9111581951939909,0.41483646493464843
22,1,medoid,17,structural_centrality,0.913389139894573,0.46321147110592353
23,1,medoid,49,structural_centrality,0.9277719548425372,0.7045581233451836
24,1,medoid,7,structural_centrality,0.9461842258058858,0.23090070523857875
25,1,medoid,19,structural_centrality,0.9663639807864726,0.19876338605743551
26,1,medoid,29,structural_centrality,0.9555753744352319,0.3119950838144834
27,1,medoid,48,structural_centrality,0.9317634958590394,0.3673956198615438
28,1,medoid,54,structural_centrality,0.9143309283043822,0.33975231388598837
29,1,medoid,26,structural_centrality,0.9525823858472948,0.16225698426354926
30,1,medoid,57,structural_centrality,0.9575221890260639,0.18303352467716433
31,1,medoid,42,structural_centrality,0.927848660838173,0.13983289425210185
32,1,medoid,41,structural_centrality,0.8950769426843147,0.0469127785253244
33,1,medoid,44,structural_centrality,0.9178541703607239,0.08811352357576421
34,1,medoid,10,structural_centrality,0.9222882293287452,0.10460351698165883
35,1,medoid,13,structural_centrality,0.9207987453397456,0.058204589458499115
36,1,medoid,21,structural_centrality,0.9194721465982207,0.10735417951534292
37,1,medoid,55,structural_centrality,0.884506604188307,0.04295028243472508
38,1,medoid,5,structural_centrality,0.8796631883372383,0.21156747465584852
39,1,medoid,34,structural_centrality,0.8789907586834018,0.06586180470271172
40,1,medoid,18,structural_centrality,0.6636081448004298,0.10185824933627978
41,1,medoid,35,structural_centrality,0.8290809517492757,0.03388324057098373
42,1,medoid,61,structural_centrality,0.9765579236181543,0.04566744252400261
43,1,medoid,0,structural_centrality,0.8822334800469469,0.043320789109522084
44,1,medoid,24,structural_centrality,0.8334344051385977,0.021970942291260627
45,1,medoid,23,structural_centrality,0.842457767959259,0.12900118698713336
46,1,medoid,4,structural_centrality,0.8749149403340157,0.049370147555557534
47,1,medoid,15,structural_centrality,0.8623934417649988,0.1814548198164732
48,1,medoid,38,structural_centrality,0.9144432937336042,0.4954231744698353
49,1,medoid,2,structural_centrality,0.9023068939784478,0.067711119306064
50,1,medoid,40,structural_centrality,0.8696253214438789,0.32357810799167064
51,1,medoid,8,structural_centrality,0.9215407289506305,0.3067920139921683
52,1,medoid,46,structural_centrality,0.9288729670944949,0.39625956254163985
53,1,medoid,11,structural_centrality,0.9040001169339871,0.6801556842307663
54,1,medoid,30,structural_centrality,0.9197228487783098,0.286950270712297
55,1,medoid,62,structural_centrality,0.9050177532493031,0.15043478287634326
56,1,medoid,59,structural_centrality,0.9122134481521318,0.1904386646738911
57,1,medoid,50,structural_centrality,0.9134922043705009,0.5231633086383839
58,1,medoid,22,structural_centrality,0.9259241986967559,0.3446635831793291
59,1,medoid,14,structural_centrality,0.9523941422402151,0.16793723317077786
60,1,medoid,20,structural_centrality,0.9552102768415731,0.39973852386033887
61,1,medoid,3,structural_centrality,0.9477134715603086,0.36406370875594596
62,1,medoid,25,structural_centrality,0.9460059205889377,0.06693506489138283
63,1,medoid,56,structural_centrality,0.951556105697642,0.2883066612171219
64,1,medoid,58,structural_centrality,0.924986487519737,0.359901553487825
