channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,1.00000000,0.14965418,,0.27510655,,0.06549417,0.22998893,,0.15121597,,0.10045181,0.25305748,0.12269013,,0.02656535,0.06642985,0.41092244,0.23913617,0.17442617,0.29566652,0.34040359,0.32445931,0.33898455,0.12890628,0.39598459,0.25287491,0.05076735,0.23345236,0.03164973,0.44496506,0.06567478,0.38226163,0.23676269,0.29755926,0.28545469,0.32918647,,0.36925623,,0.10944650,0.04810483,0.34575576,0.21541277,0.31581038,0.35149646,0.36074430,0.35112384,0.18420163,,0.09929316,0.17634614,0.28967059,0.11323606,0.32505918,0.29926014,0.34013200,0.28684688,0.31791610,0.20447683,0.01014900,0.12032434,0.39906591,0.34938413,0.07245205
1,0.14965418,1.00000000,,0.39008978,,0.18146920,0.07251188,,0.26355171,,0.75304639,0.46528661,0.57283473,,0.20271149,0.41400033,0.57425576,0.44102746,0.43008351,0.73729753,0.52169871,0.74196017,0.47967288,0.58266163,0.02921572,0.48538920,0.29695892,0.15526083,0.06066635,0.35859168,0.06596738,0.49592483,0.30770326,0.60814154,0.58040881,0.53250146,,0.62056363,,0.56164014,0.07539888,0.38895631,0.56426203,0.40252107,0.51721358,0.65914160,0.70858693,0.66748965,,0.43951935,0.49775416,0.77056909,0.13647670,0.70869339,0.36632743,0.59943819,0.09772161,0.10331136,0.58604777,0.04684639,0.74810010,0.64563799,0.44276083,0.34323931
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.27510655,0.39008978,,1.00000000,,0.01780630,0.20598456,,0.24311531,,0.55613804,0.57580137,0.83732808,,0.12646887,0.34939873,0.71420026,0.23925284,0.25756356,0.54592335,0.52626240,0.67232239,0.60860467,0.51851434,0.11573780,0.41523689,0.01722295,0.16464764,0.14766851,0.74219573,0.25940585,0.54890138,0.29995072,0.46753347,0.34101668,0.69603050,,0.65326405,,0.44386631,0.03653450,0.56745160,0.60161561,0.53998679,0.58058798,0.74379426,0.64063168,0.61936796,,0.44257739,0.19477445,0.63787007,0.07656882,0.63136166,0.89543200,0.62562132,0.29750520,0.51569700,0.88714325,0.07792889,0.60050607,0.68193662,0.88534713,0.34706843
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.06549417,0.18146920,,0.01780630,,1.00000000,0.15997538,,0.27649373,,0.08856121,0.20146874,0.02355294,,0.04921934,0.33987060,0.03101259,0.04814039,0.05712906,0.05355289,0.16308777,0.06445262,0.12074396,0.16986094,0.05331053,0.02021081,0.02572134,0.01511448,0.11609145,0.03822860,0.06404485,0.17399329,0.03080813,0.12009318,0.09297395,0.01776967,,0.06454733,,0.08559639,0.18210709,0.02062107,0.07930168,0.04631492,0.14157231,0.04845802,0.02106322,0.05156551,,0.30427545,0.05693557,0.13683707,0.10563667,0.11329207,0.02406615,0.05095449,0.13118818,0.03517975,0.04070199,0.07215083,0.05506215,0.05231024,0.03351767,0.02584582
6,0.22998893,0.07251188,,0.20598456,,0.15997538,1.00000000,,0.08546673,,0.13828462,0.23292620,0.25432566,,0.05121133,0.16263655,0.43675199,0.06837022,0.07450387,0.15215790,0.19364330,0.25313833,0.24853018,0.20616078,0.02071357,0.19849104,0.12966922,0.54586810,0.34178400,0.35480416,0.20504715,0.27928263,0.75846326,0.13397379,0.08851878,0.50945503,,0.45940989,,0.08132780,0.21828395,0.27620533,0.25677913,0.32189816,0.22835737,0.19138566,0.24201655,0.23078398,,0.11626099,0.05375563,0.23412305,0.85714447,0.26496994,0.25669718,0.28811407,0.29480863,0.35411516,0.15103295,0.10840042,0.17470431,0.30536950,0.28951684,0.10668854
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.15121597,0.26355171,,0.24311531,,0.27649373,0.08546673,,1.00000000,,0.28945762,0.46371728,0.26300600,,0.06534100,0.27349982,0.35742927,0.23287436,0.25899231,0.35778669,0.51030457,0.36615014,0.49841937,0.17323488,0.03686041,0.15560086,0.04897482,0.22064099,0.12740335,0.37761259,0.07891382,0.29406130,0.28114060,0.31484622,0.31986582,0.39856523,,0.39777204,,0.32253587,0.15759562,0.40685070,0.32141882,0.14855161,0.53784353,0.37139639,0.37185830,0.44093168,,0.46237344,0.21493089,0.43045077,0.04761265,0.38213599,0.26152867,0.43015832,0.05571511,0.22489895,0.27499664,0.11341769,0.40004882,0.40302655,0.27185148,0.05589622
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
