channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63,ch_64,ch_65,ch_66,ch_67,ch_68,ch_69,ch_70,ch_71,ch_72,ch_73,ch_74,ch_75,ch_76,ch_77,ch_78,ch_79,ch_80,ch_81,ch_82,ch_83,ch_84,ch_85,ch_86,ch_87,ch_88,ch_89,ch_90,ch_91,ch_92,ch_93,ch_94,ch_95,ch_96,ch_97,ch_98,ch_99,ch_100,ch_101,ch_102,ch_103,ch_104,ch_105,ch_106,ch_107,ch_108,ch_109,ch_110,ch_111,ch_112,ch_113,ch_114,ch_115,ch_116,ch_117,ch_118,ch_119,ch_120,ch_121,ch_122,ch_123,ch_124,ch_125,ch_126,ch_127
0,0.00000000,0.87077940,0.89863217,0.97744840,0.93285370,0.91299361,0.96789616,0.97142619,0.94450670,0.96910590,0.89743900,0.93345606,0.66688156,0.95719373,0.96653056,0.79132277,0.84701049,0.88640141,0.78048831,0.96889555,0.95040417,0.97231621,0.83150113,0.93710768,0.86414504,0.98322964,0.85799515,0.79436260,0.87474155,0.94210523,0.95387805,0.91094434,0.80044824,0.88354129,0.89432979,0.88723814,0.97643048,0.94043249,0.89344883,0.94397670,0.97457838,0.94545746,0.69563818,0.91877198,0.80503345,0.88193619,0.94508439,0.94887096,0.96453261,0.92459512,0.94014227,0.92413038,0.97420740,0.95905387,0.90096819,0.68420482,0.90060771,0.75204194,0.92565054,0.86250955,0.92620802,0.93591940,0.94436300,0.90141612,0.95126265,0.97636163,0.96741927,0.95242548,0.93372345,0.96800011,0.97367293,0.95064044,0.91019225,0.91762799,0.95153654,0.98294461,0.94449776,0.97554445,0.97117573,0.91200984,0.87164563,0.95852911,0.92556918,0.85747892,0.96699423,0.85276741,0.95489693,0.96391320,0.95482886,0.73197770,0.90583462,0.91671306,0.92777878,0.93747300,0.69259006,0.94958913,0.98430151,0.96438545,0.94934100,0.94330722,0.89170730,0.81085408,0.93705082,0.93915516,0.49820060,0.95805955,0.97623217,0.98240513,0.97963494,0.96907258,0.95239127,0.97591400,0.84566331,0.97959071,0.94307101,0.80836552,0.93720025,0.96528792,0.97152400,0.93536550,0.95194614,0.72073489,0.87007189,0.95483261,0.88307679,0.99003714,0.93774194,0.89661783
1,0.87077940,0.00000000,0.89466655,0.91057515,0.86791086,0.98048347,0.96761048,0.95694572,0.97155714,0.93983597,0.83966660,0.96494108,0.92850161,0.72938013,0.85426956,0.98442161,0.87717152,0.97774607,0.94400585,0.90997928,0.92330021,0.85171115,0.85913599,0.96944821,0.96308690,0.77181923,0.89882302,0.85274947,0.90673161,0.97366285,0.97479165,0.97561032,0.88854641,0.84521264,0.87842429,0.96799612,0.95443267,0.93535691,0.96012455,0.93621093,0.93780553,0.84873915,0.88909328,0.89714134,0.90800661,0.86643744,0.97547990,0.96267402,0.97202885,0.97963399,0.85808456,0.98545742,0.97642940,0.95906895,0.96551484,0.97178054,0.92493379,0.89013255,0.97409344,0.93570334,0.95262051,0.94390863,0.88964313,0.81459248,0.97242755,0.79641104,0.95324767,0.96267611,0.89837849,0.98184782,0.95516807,0.75940585,0.97929215,0.86805344,0.84835422,0.92520958,0.98095000,0.97720629,0.89119351,0.97311705,0.85506028,0.95085281,0.84280723,0.84099251,0.95676696,0.83300400,0.84770489,0.97071981,0.88186079,0.89823925,0.87586904,0.73393649,0.85935652,0.94231117,0.81711733,0.96871442,0.96515441,0.96343470,0.97892082,0.98250490,0.94973326,0.97047186,0.82272899,0.93397903,0.84038126,0.98237979,0.90374196,0.90155536,0.95882004,0.93838727,0.94781220,0.95750475,0.86041266,0.96917093,0.98503298,0.92372650,0.92601693,0.97187954,0.89520395,0.96860933,0.97690082,0.88952583,0.85655648,0.79190230,0.86536729,0.96904200,0.85702765,0.96722388
2,0.89863217,0.89466655,0.00000000,0.88311744,0.94054836,0.71630406,0.96288133,0.95868158,0.87592643,0.96077394,0.88168758,0.96053410,0.98372138,0.91413403,0.94206983,0.80939698,0.96051854,0.97388273,0.71898621,0.92717928,0.98860836,0.96133417,0.86366665,0.94111508,0.90538192,0.84696972,0.84081084,0.92101252,0.92296290,0.91898865,0.92358553,0.76818240,0.95730871,0.97376573,0.93699312,0.88592929,0.82832754,0.94417274,0.92937630,0.97300154,0.96795189,0.81778455,0.86801714,0.88271481,0.88094670,0.96200323,0.93143177,0.91129708,0.87224853,0.94983673,0.97368008,0.92779326,0.86938679,0.87518799,0.81570840,0.88501477,0.93421674,0.95720899,0.79131359,0.97315174,0.87807018,0.97953808,0.76058972,0.73750126,0.92626560,0.92300808,0.94932210,0.97800237,0.87036359,0.92301941,0.89899129,0.93163943,0.87023681,0.98391324,0.89322692,0.94875658,0.76432717,0.91537380,0.90827054,0.81241518,0.96132547,0.96520263,0.80426419,0.92319036,0.93192410,0.87287241,0.97442609,0.96607929,0.98215455,0.98162377,0.90784389,0.98065162,0.98407495,0.88370258,0.97738111,0.92751551,0.97783786,0.87363923,0.90263015,0.72356689,0.98173046,0.76721042,0.95680648,0.96490115,0.97788465,0.86086583,0.86958343,0.94684505,0.88860267,0.88073605,0.86342657,0.86399359,0.81320941,0.75682354,0.94338650,0.95978814,0.88185221,0.94760722,0.96073681,0.94110399,0.91913646,0.77279919,0.83714485,0.97840130,0.91308159,0.97265041,0.98209465,0.82675159
3,0.97744840,0.91057515,0.88311744,0.00000000,0.95149928,0.88722461,0.97695750,0.84807259,0.94689202,0.92628473,0.60281926,0.96426374,0.94432974,0.93353343,0.79684901,0.74939758,0.97740960,0.97512084,0.71997857,0.90876424,0.89608991,0.85012102,0.92649233,0.92146021,0.97166038,0.97568530,0.96198070,0.83923769,0.96444297,0.89859450,0.97474593,0.97297961,0.86031103,0.90080655,0.84466445,0.83280528,0.93017042,0.88821048,0.97755909,0.94883633,0.87855411,0.85132766,0.79040909,0.91639668,0.82054967,0.91093141,0.90407324,0.86363840,0.90407145,0.94203436,0.64099371,0.87828875,0.97059780,0.96078098,0.95618761,0.88257790,0.92105991,0.67240644,0.91396570,0.85013783,0.91695255,0.90954155,0.96470523,0.89108855,0.97208780,0.93163776,0.92082316,0.87508899,0.89608562,0.97785717,0.87983179,0.75250971,0.89299977,0.95873380,0.86567485,0.98721242,0.94827527,0.95387995,0.91487145,0.88361520,0.82572114,0.93531656,0.98432386,0.71958101,0.87963521,0.79038286,0.91484994,0.96840554,0.85425073,0.96262652,0.88744658,0.86499655,0.69754922,0.96718079,0.70917851,0.97701585,0.82159448,0.96152878,0.91238678,0.86218977,0.97267407,0.81862140,0.85405457,0.93676162,0.85807252,0.85305381,0.91670847,0.97100163,0.97365624,0.90805501,0.94572812,0.88886923,0.87453711,0.94112951,0.98504579,0.95197409,0.92924225,0.97895807,0.94985390,0.84206122,0.96927536,0.57192492,0.83240950,0.91452956,0.69165200,0.77608156,0.93487602,0.84265494
4,0.93285370,0.86791086,0.94054836,0.95149928,0.00000000,0.95427984,0.93954879,0.95765716,0.96586996,0.86923915,0.78279233,0.95978624,0.96879476,0.84976763,0.88283372,0.88845491,0.89289105,0.93484926,0.88378257,0.93206877,0.92626083,0.97809124,0.97700709,0.98533058,0.89476895,0.96420705,0.95645386,0.84547436,0.96342880,0.86944187,0.97617877,0.95453197,0.95972788,0.96577084,0.97821003,0.91772103,0.97318649,0.90984917,0.93787402,0.96938014,0.93200797,0.97170085,0.93295753,0.87501663,0.91328841,0.96286422,0.97585398,0.94424897,0.96582633,0.96854877,0.97283840,0.89513654,0.97686654,0.97451091,0.95382464,0.91164309,0.93641675,0.95414650,0.97111952,0.91499656,0.96023101,0.98450440,0.97459441,0.93813211,0.92990130,0.81666690,0.96987808,0.97938681,0.96033913,0.97071320,0.97330958,0.90699840,0.97206175,0.95687723,0.94976521,0.97827291,0.97657514,0.96105957,0.93899268,0.92382056,0.96778631,0.96129870,0.95483023,0.93470037,0.95021611,0.81511748,0.91401929,0.95891112,0.91990423,0.94706970,0.97913253,0.96991622,0.97338814,0.94522995,0.95278317,0.94921404,0.89528817,0.92106825,0.95606768,0.88875395,0.94202352,0.94246083,0.97123486,0.96787876,0.97358519,0.92188442,0.98443007,0.96931374,0.96822262,0.88060999,0.94851983,0.85037875,0.97662598,0.97363096,0.97303617,0.88837373,0.96830052,0.98130018,0.96570945,0.95025933,0.92374200,0.95883036,0.87008250,0.93585151,0.86591828,0.96715713,0.88587415,0.94977528
5,0.91299361,0.98048347,0.71630406,0.88722461,0.95427984,0.00000000,0.98486650,0.93323725,0.87366599,0.92365605,0.91045266,0.96697879,0.96148688,0.89891952,0.90015960,0.73764086,0.89360380,0.95281911,0.75384402,0.87530184,0.98185867,0.97965187,0.89978230,0.92313284,0.89304209,0.95502865,0.93612403,0.97676677,0.95529550,0.87398267,0.88813609,0.78131455,0.94662529,0.96851969,0.98809624,0.96842277,0.79161572,0.94527513,0.97578055,0.92579603,0.96212262,0.77664298,0.91357541,0.90951318,0.88010007,0.95712632,0.95587289,0.80803657,0.92443538,0.87566996,0.98037970,0.96332020,0.96910840,0.85760051,0.96434635,0.90671468,0.96589220,0.97008091,0.89217573,0.95876294,0.92416430,0.97367191,0.97283614,0.87690878,0.86275864,0.91997039,0.92159343,0.91607732,0.84255207,0.97906911,0.86976492,0.97187549,0.96042049,0.95317435,0.94291306,0.94804025,0.88472778,0.97172463,0.96138221,0.95625603,0.97586334,0.93003732,0.96549630,0.88962692,0.85615194,0.81856167,0.93362653,0.95800871,0.89573872,0.96706510,0.94133383,0.94970500,0.97932190,0.86577350,0.97251308,0.78492200,0.91336977,0.87900347,0.84618580,0.76519960,0.97657609,0.81472731,0.97267115,0.96207500,0.98405963,0.84537840,0.77566040,0.88683683,0.98178416,0.84077001,0.97723210,0.87302238,0.79299283,0.69345772,0.96340704,0.93915570,0.98335123,0.91279846,0.91213703,0.97206491,0.95581710,0.82560039,0.94732672,0.96053326,0.96872854,0.97869164,0.97342145,0.96183026
6,0.96789616,0.96761048,0.96288133,0.97695750,0.93954879,0.98486650,0.00000000,0.93130875,0.96702147,0.95535964,0.92447364,0.85685825,0.96746099,0.95288789,0.79607308,0.97282219,0.97108698,0.95835996,0.87980378,0.96423686,0.98792619,0.95538020,0.95049351,0.85885769,0.84202135,0.96808219,0.97051138,0.94594705,0.83179206,0.80760968,0.95103037,0.93955481,0.84749758,0.89394164,0.92155969,0.96781242,0.97787738,0.88978451,0.94106984,0.96225727,0.96970165,0.92975152,0.98745078,0.85282493,0.96556485,0.96410811,0.84765375,0.97571743,0.91924840,0.95908695,0.94190454,0.96669877,0.88421690,0.85843909,0.97139442,0.95027709,0.88620716,0.96023971,0.95824182,0.90125287,0.89833748,0.91621137,0.97818822,0.95342791,0.98156685,0.93405890,0.95442080,0.98176312,0.92647231,0.85119462,0.89317316,0.96587986,0.94282079,0.91079676,0.96841836,0.97556567,0.98472613,0.85046756,0.88135707,0.97100371,0.97703165,0.97314376,0.93942606,0.84993762,0.87325644,0.90321076,0.96853662,0.95492154,0.97852993,0.92940742,0.95829880,0.92749506,0.97188956,0.80159539,0.94514513,0.93099356,0.97426701,0.96040988,0.96024126,0.90294349,0.80061954,0.97466624,0.98482090,0.92647111,0.97221482,0.91636688,0.93870968,0.92427373,0.73949319,0.98293728,0.92371172,0.91003549,0.95038074,0.94071811,0.95136154,0.91768569,0.97644287,0.95549893,0.98084038,0.95431489,0.94983333,0.94882900,0.98281372,0.97039437,0.92849070,0.97383589,0.93160534,0.96850634
7,0.97142619,0.95694572,0.95868158,0.84807259,0.95765716,0.93323725,0.93130875,0.00000000,0.82721752,0.93814963,0.85838330,0.96332002,0.92761600,0.95470941,0.77915639,0.87238997,0.96829230,0.90055335,0.86950302,0.93995059,0.98636216,0.94998783,0.94316769,0.96898198,0.92000341,0.91982323,0.76782763,0.93973440,0.97302604,0.88065201,0.92766494,0.97861278,0.91121405,0.96564120,0.98238415,0.98534721,0.88589776,0.96955049,0.96938354,0.94681984,0.82656467,0.74122256,0.91590923,0.95140195,0.95933336,0.63271672,0.96730393,0.89447290,0.91526359,0.97072947,0.96122491,0.93274170,0.89533281,0.96766114,0.97729760,0.95706379,0.96836144,0.94800752,0.95327789,0.93802083,0.85145164,0.97156006,0.91738659,0.84063137,0.93954515,0.94907695,0.93350345,0.84483308,0.97338331,0.97325248,0.94013798,0.97720659,0.94175786,0.92838997,0.94960314,0.93270457,0.94327712,0.90642375,0.95798123,0.90682811,0.95736390,0.96128684,0.85982168,0.81757426,0.85327971,0.94848520,0.91005433,0.91779351,0.86883235,0.95234376,0.98992527,0.97692698,0.96456689,0.85578018,0.96213198,0.96583128,0.96655685,0.96528381,0.87151217,0.91209310,0.85783470,0.97900981,0.84104425,0.78901601,0.98060560,0.88292480,0.97074616,0.96121180,0.89645851,0.87853092,0.98569107,0.89770550,0.97547805,0.92621899,0.98207700,0.95814270,0.96158421,0.95291442,0.97225463,0.93289655,0.97356850,0.82508874,0.96023691,0.96880138,0.93145531,0.97794914,0.94945121,0.90720534
8,0.94450670,0.97155714,0.87592643,0.94689202,0.96586996,0.87366599,0.96702147,0.82721752,0.00000000,0.93981272,0.93820494,0.95860225,0.77417755,0.94424015,0.94391602,0.64611936,0.96510398,0.98085070,0.72494113,0.90624911,0.98327476,0.94168246,0.88644576,0.82459998,0.82946169,0.85587358,0.69470638,0.90398437,0.97953486,0.88042665,0.95944273,0.96889305,0.90747571,0.87192392,0.92058277,0.98419470,0.90837634,0.94631767,0.95825016,0.97224540,0.77466071,0.82932210,0.71373594,0.94118005,0.89369643,0.78830111,0.86289155,0.97730815,0.91618162,0.98539430,0.98101693,0.88802785,0.94711119,0.96490604,0.97019833,0.76849473,0.86740726,0.98202598,0.96350300,0.91721171,0.82673925,0.79413396,0.87652624,0.94159383,0.97123617,0.94015527,0.96433198,0.86003137,0.94803149,0.98412323,0.97557759,0.87273556,0.87555224,0.98019975,0.93707478,0.98431265,0.86511451,0.94707114,0.91592091,0.90407443,0.94532299,0.87749630,0.79653096,0.96985543,0.88579404,0.84428126,0.91344333,0.90516037,0.87220031,0.92156798,0.96039319,0.92842942,0.95370412,0.98046333,0.93373919,0.95892715,0.87723362,0.77756894,0.90463042,0.95960498,0.93144697,0.93696034,0.86071342,0.95656222,0.97262561,0.77879679,0.95541888,0.92601985,0.94594312,0.90310359,0.93601441,0.93249559,0.88425368,0.94064951,0.78602928,0.94218743,0.90300608,0.97194213,0.92114103,0.85264069,0.97215134,0.72175545,0.83281422,0.95293796,0.95603204,0.95040923,0.97700989,0.98158014
9,0.96910590,0.93983597,0.96077394,0.92628473,0.86923915,0.92365605,0.95535964,0.93814963,0.93981272,0.00000000,0.95522636,0.94995409,0.93519640,0.87325609,0.96107382,0.82820910,0.96870786,0.95521331,0.92345589,0.97066855,0.98671383,0.95721734,0.92912024,0.94360471,0.62589681,0.93495077,0.83869833,0.94679105,0.95112038,0.93543953,0.93414873,0.92412263,0.97063726,0.95987958,0.97006190,0.90841866,0.93891543,0.78919667,0.90043437,0.95201087,0.90445042,0.92014468,0.96018881,0.93734187,0.94616103,0.95093888,0.97523987,0.96412772,0.96235341,0.96109176,0.96749920,0.95488566,0.95679259,0.88245225,0.94185472,0.87102211,0.96922511,0.92190003,0.97736943,0.96424598,0.92807251,0.92935920,0.95537400,0.93948460,0.94479710,0.94634974,0.96039730,0.96508628,0.93975657,0.96955621,0.96306580,0.96659273,0.93996465,0.96330202,0.94699228,0.94399178,0.93566465,0.94760734,0.97033972,0.93017560,0.95590663,0.93017745,0.94080263,0.94524008,0.87381959,0.91645968,0.93494219,0.92092824,0.90852839,0.93817437,0.91897470,0.98094749,0.96115553,0.93677944,0.94056594,0.91667593,0.98539257,0.90747255,0.86700296,0.93450773,0.93978995,0.94039398,0.89657271,0.94578636,0.96899593,0.95353931,0.96143365,0.88722283,0.95330977,0.94475967,0.93903947,0.85426331,0.92389828,0.93614918,0.97404736,0.94093633,0.94517112,0.96261591,0.97724545,0.93659180,0.94727659,0.90703487,0.95958549,0.97321051,0.86029112,0.96562320,0.95474046,0.94045901
10,0.89743900,0.83966660,0.88168758,0.60281926,0.78279233,0.91045266,0.92447364,0.85838330,0.93820494,0.95522636,0.00000000,0.96135211,0.94477451,0.79387492,0.68276536,0.86181271,0.83419222,0.97577477,0.72226977,0.94281834,0.95402229,0.90886766,0.81348753,0.92652965,0.96289718,0.96485662,0.96683735,0.75424683,0.96825987,0.81247157,0.96548414,0.95061982,0.89544106,0.93894792,0.86311233,0.82764977,0.96960944,0.96383357,0.89903396,0.94733274,0.95877451,0.86082435,0.86867881,0.82267141,0.86938560,0.80675244,0.97572613,0.86179757,0.91547114,0.92254472,0.65909493,0.89163661,0.97918749,0.96193057,0.95577496,0.93060446,0.96529746,0.84905535,0.95037055,0.88266933,0.90767688,0.94834405,0.97342438,0.87322205,0.94223440,0.92791426,0.96006191,0.87871224,0.96897531,0.94606555,0.96360224,0.87086332,0.94593990,0.88584411,0.92526120,0.97428632,0.94689804,0.95106888,0.92669171,0.92355895,0.87940013,0.96472895,0.97074109,0.77965206,0.88808608,0.57754636,0.95593703,0.95793086,0.86775792,0.93686485,0.83663929,0.95665860,0.83710456,0.97945577,0.81980455,0.95769793,0.94466066,0.93503726,0.92728055,0.91253871,0.85582221,0.81158096,0.78254056,0.95351785,0.86407220,0.91961497,0.97170162,0.95548880,0.92495608,0.92528921,0.96276891,0.96224266,0.86203641,0.92778796,0.89665616,0.87351304,0.91958654,0.96649688,0.92472744,0.91874391,0.93896246,0.69238997,0.88163060,0.89682621,0.77633870,0.86245430,0.87137431,0.89805692
11,0.93345606,0.96494108,0.96053410,0.96426374,0.95978624,0.96697879,0.85685825,0.96332002,0.95860225,0.94995409,0.96135211,0.00000000,0.93163848,0.89628118,0.88269001,0.92586201,0.96398318,0.98107642,0.96580571,0.91336632,0.92777604,0.93516666,0.93281519,0.98024762,0.81019962,0.97856873,0.94810647,0.97537822,0.79304475,0.85413277,0.96589220,0.98141909,0.71884495,0.88382196,0.91602182,0.96379584,0.80107915,0.88465166,0.97237223,0.96416175,0.95144802,0.94759893,0.95373577,0.85945630,0.97192979,0.86974883,0.97734761,0.81181508,0.97026062,0.85827971,0.87641537,0.97163284,0.96109301,0.91107965,0.97608793,0.94083297,0.92881310,0.96128303,0.96186942,0.90545118,0.95800030,0.97120076,0.97930247,0.95089865,0.96347129,0.89058632,0.96329653,0.90963531,0.93353271,0.98125225,0.93878359,0.98372132,0.95366597,0.74892819,0.90696728,0.84196365,0.93550789,0.96911722,0.90212744,0.93167531,0.98443949,0.96331811,0.98726457,0.96530139,0.81778049,0.97078216,0.90291125,0.97632784,0.95896792,0.90052211,0.98794669,0.93689996,0.97630394,0.97544867,0.95140338,0.97355312,0.92338985,0.88176823,0.92339867,0.90542996,0.84540367,0.96989232,0.97274721,0.96118271,0.91547394,0.81461298,0.97308874,0.94567358,0.91903645,0.92090142,0.97470492,0.89398390,0.96471363,0.96623152,0.95850033,0.94140637,0.90875030,0.94575518,0.98414475,0.94396007,0.89877927,0.96451944,0.95023745,0.96278912,0.97513413,0.92215538,0.90626895,0.96606123
