channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63,ch_64,ch_65,ch_66,ch_67,ch_68,ch_69,ch_70,ch_71,ch_72,ch_73,ch_74,ch_75,ch_76,ch_77,ch_78,ch_79,ch_80,ch_81,ch_82,ch_83,ch_84,ch_85,ch_86,ch_87,ch_88,ch_89,ch_90,ch_91,ch_92,ch_93,ch_94,ch_95,ch_96,ch_97,ch_98,ch_99,ch_100,ch_101,ch_102,ch_103,ch_104,ch_105,ch_106,ch_107,ch_108,ch_109,ch_110,ch_111,ch_112,ch_113,ch_114,ch_115,ch_116,ch_117,ch_118,ch_119,ch_120,ch_121,ch_122,ch_123,ch_124,ch_125,ch_126,ch_127
0,1.00000000,0.12922063,0.10136786,0.02255159,0.06714629,0.08700638,0.04919261,0.02857383,0.05549332,0.03089411,0.10256100,0.06654394,0.33311847,0.04280630,0.03346946,0.20867722,0.15298951,0.11359856,0.23206460,0.03110445,0.05431995,0.02768379,0.16849890,0.07215720,0.13585499,0.01677034,0.14200482,0.20747498,0.12525845,0.05789474,0.04612197,0.09207217,0.19955175,0.11645870,0.10567020,0.11276183,0.02356954,0.10832527,0.10655116,0.05602331,0.02542161,0.06202532,0.31493187,0.08122803,0.19496652,0.11806379,0.05491563,0.05112902,0.03686306,0.07540488,0.05985771,0.07586962,0.03745311,0.04094611,0.09903184,0.32087070,0.09939232,0.25510916,0.08198355,0.13749045,0.07379197,0.06408060,0.05563697,0.09858388,0.04873737,0.02363839,0.04894482,0.06165448,0.06627654,0.03365674,0.02632706,0.05038150,0.08980772,0.08237202,0.04846348,0.01705538,0.05550221,0.02445557,0.03134903,0.08799015,0.13546345,0.04147090,0.07443084,0.14931335,0.03300579,0.14723259,0.04510310,0.03647246,0.04517116,0.26802230,0.09416537,0.08328693,0.07222123,0.06252699,0.30740994,0.05041084,0.01569846,0.03561453,0.05065900,0.07256333,0.10829273,0.19108672,0.06294918,0.06084483,0.50179940,0.08241817,0.02376784,0.01759485,0.02036506,0.05451485,0.04760870,0.02408598,0.15433666,0.02040930,0.05916834,0.24114324,0.06279974,0.03471208,0.02847602,0.06874493,0.06041183,0.27926511,0.12992811,0.04516736,0.11692324,0.00996288,0.06225806,0.10338216
1,0.12922063,1.00000000,0.10533345,0.08942483,0.13208911,0.01951653,0.03827357,0.05326454,0.03434641,0.06803868,0.16033340,0.03505890,0.07149841,0.27061987,0.14573044,0.01557836,0.13671426,0.02225392,0.05599412,0.09642351,0.07669978,0.14828888,0.14086400,0.03055178,0.03691310,0.22818077,0.10117697,0.14725056,0.09757745,0.02791373,0.03305276,0.03343455,0.11145359,0.15478738,0.12157570,0.03200388,0.04814374,0.06464310,0.03987544,0.06378908,0.06219444,0.15126085,0.11090675,0.10285866,0.09199341,0.13356256,0.02452009,0.03732601,0.02975035,0.02036602,0.14191541,0.01515551,0.02357061,0.04093102,0.03448515,0.02821945,0.07506624,0.10986744,0.02590658,0.06429668,0.04737952,0.05609139,0.11035688,0.18540753,0.03234175,0.21986596,0.04675231,0.03732390,0.10955979,0.01815220,0.04594048,0.24823344,0.02070783,0.13194656,0.15164581,0.07719188,0.02014106,0.02279373,0.10880651,0.02980404,0.14493971,0.04999078,0.16381519,0.15900749,0.05071594,0.20886490,0.16840717,0.02928021,0.11813919,0.10176072,0.12413099,0.26606351,0.14064346,0.05768881,0.18288265,0.03128558,0.03484557,0.03656531,0.02107919,0.01749511,0.05026674,0.02952814,0.17727101,0.06602094,0.15961874,0.01762020,0.09625805,0.09844466,0.04117997,0.06161271,0.05218778,0.04593827,0.13958734,0.03082904,0.01496701,0.07627350,0.07398306,0.02812044,0.10954241,0.07086289,0.02309916,0.11047416,0.14344352,0.23344862,0.13463269,0.03261530,0.14297238,0.03674002
2,0.10136786,0.10533345,1.00000000,0.11688256,0.05945167,0.28369594,0.04756135,0.04131843,0.12407357,0.05536434,0.11831240,0.03946587,0.01627862,0.09278978,0.05793017,0.19060299,0.03948147,0.02611724,0.29398033,0.07282072,0.01166551,0.03866582,0.13633336,0.06136850,0.09461807,0.15303028,0.15918915,0.07898746,0.07703707,0.08960627,0.10536611,0.24448784,0.04518347,0.02623425,0.06300689,0.11408603,0.17167246,0.05582726,0.07062368,0.02980377,0.03204813,0.19040829,0.13198288,0.11728520,0.11905332,0.03799676,0.06856820,0.08881655,0.12775144,0.05016328,0.02631993,0.07220676,0.13061321,0.13239631,0.19349033,0.12084462,0.07292400,0.05856214,0.20953527,0.02684823,0.12192981,0.02046189,0.23941028,0.26249874,0.08257011,0.07699195,0.05340019,0.02199765,0.12963644,0.07843928,0.10100870,0.07099451,0.12976319,0.01608676,0.10677306,0.05124339,0.24618547,0.10827367,0.09172948,0.18758482,0.03979903,0.04470401,0.21144302,0.07680966,0.06807593,0.12712760,0.02827762,0.03392071,0.01784546,0.01837624,0.09699798,0.01934837,0.01793528,0.11629742,0.02261890,0.07248448,0.02216212,0.12636077,0.09736985,0.28301108,0.01826952,0.23278959,0.04319351,0.03509884,0.02211535,0.15253726,0.13041657,0.05315496,0.11674808,0.13329467,0.14919724,0.14660735,0.18679059,0.24976712,0.05661352,0.04021188,0.11814777,0.05239280,0.03926319,0.05889601,0.08086356,0.22720081,0.16285516,0.02159870,0.08691841,0.02734960,0.02454447,0.17324838
3,0.02255159,0.08942483,0.11688256,1.00000000,0.04850073,0.11277540,0.02428569,0.15192741,0.05310795,0.08046602,0.40315711,0.03573626,0.05567029,0.07863910,0.20394500,0.25254542,0.02259042,0.02487914,0.29058558,0.09123574,0.10391006,0.14987895,0.07350767,0.07853977,0.02833965,0.02431469,0.03801931,0.16076232,0.03555703,0.12836902,0.02525406,0.02702040,0.14342549,0.09919345,0.15533555,0.16719469,0.06982961,0.11178954,0.02244093,0.05116370,0.12144589,0.16344097,0.20959088,0.08901758,0.17945033,0.09304357,0.09592675,0.13636160,0.09704189,0.05796564,0.35900629,0.12171127,0.02940221,0.03921905,0.05378216,0.12032330,0.09827910,0.32759356,0.08815303,0.14986217,0.08304746,0.09045844,0.03529478,0.10891148,0.04594678,0.06836227,0.08036824,0.12491101,0.10391439,0.02214281,0.12016819,0.24749026,0.10700023,0.04126620,0.13432515,0.01278756,0.05442990,0.05001079,0.08512856,0.11638481,0.17427887,0.06993216,0.01567617,0.28041896,0.13739300,0.20961714,0.08515006,0.03159446,0.14574927,0.04225812,0.11255342,0.13500348,0.30245075,0.03377120,0.29082149,0.02298415,0.17840552,0.03847119,0.08761324,0.14310709,0.02732592,0.18137857,0.18449923,0.10158709,0.14377728,0.16185221,0.08329152,0.02899835,0.03417451,0.10399044,0.05884401,0.11915804,0.12546286,0.05887049,0.01495422,0.04802590,0.07075775,0.02104192,0.05014610,0.15793878,0.03616698,0.42807508,0.16759047,0.09484408,0.30834800,0.23563609,0.06512399,0.15734503
4,0.06714629,0.13208911,0.05945167,0.04850073,1.00000000,0.04572013,0.07171647,0.04997441,0.03413004,0.14769366,0.22286943,0.04021379,0.03120526,0.15023236,0.12344046,0.11250665,0.10710897,0.07516056,0.12280019,0.07804301,0.07373919,0.03471968,0.02299293,0.01624183,0.10523105,0.03579292,0.04354614,0.15452567,0.04916173,0.14605311,0.02388278,0.04994825,0.05618026,0.04091302,0.02178994,0.08227898,0.02681350,0.09786236,0.06212597,0.03061983,0.06799203,0.02829917,0.08556791,0.12498339,0.09480840,0.03713580,0.02414604,0.05575101,0.04761387,0.04484209,0.02717669,0.10486349,0.03612571,0.02548907,0.04617538,0.09186576,0.06358328,0.05485593,0.02888046,0.08500342,0.03976901,0.01549560,0.03123650,0.06295633,0.07567531,0.21242672,0.03611416,0.02061318,0.03966087,0.02928679,0.02669043,0.13081154,0.02793823,0.04983416,0.06110761,0.02172710,0.02918552,0.04929551,0.06100732,0.07617946,0.05512913,0.04376465,0.04516978,0.07694174,0.06445827,0.21879250,0.09354959,0.04248723,0.08009574,0.05293027,0.02086749,0.03008376,0.02661188,0.05792645,0.04721683,0.06265198,0.10471183,0.07893173,0.04393229,0.11124604,0.05797651,0.05753916,0.02876515,0.04076205,0.02641482,0.08856553,0.01556993,0.03068627,0.03255919,0.11939000,0.05199564,0.16044560,0.02337402,0.02636905,0.02696382,0.11162627,0.04449387,0.02787562,0.04913925,0.05928620,0.07625798,0.04116964,0.14812014,0.08292429,0.13547571,0.04035433,0.11412588,0.05630611
5,0.08700638,0.01951653,0.28369594,0.11277540,0.04572013,1.00000000,0.01513350,0.06676275,0.12748462,0.07865014,0.08981211,0.03302124,0.03851313,0.10108050,0.10220233,0.26235911,0.11547379,0.04854545,0.24615595,0.12469813,0.01814131,0.02034811,0.10426320,0.07686715,0.10695792,0.04497135,0.06475981,0.02372501,0.04470448,0.13695699,0.13552292,0.22514322,0.05811144,0.03148031,0.01190375,0.03157724,0.20838431,0.05472488,0.02421943,0.07420395,0.03787740,0.23927015,0.08642456,0.09217691,0.11989991,0.04287370,0.04412711,0.19196343,0.07556461,0.13491800,0.01962030,0.03667979,0.03089160,0.14239949,0.03565367,0.10218330,0.03410779,0.02991909,0.10782428,0.04201857,0.07583572,0.02792994,0.02716386,0.12309122,0.14958468,0.08002958,0.09911321,0.08392269,0.15744790,0.02876465,0.13023508,0.02812454,0.03957953,0.05044578,0.05708691,0.05195973,0.11527221,0.02827537,0.03861780,0.04374396,0.02413663,0.08510165,0.04791088,0.11037310,0.14810696,0.18143836,0.06637345,0.04199129,0.11085330,0.03821126,0.05866618,0.05124192,0.02067810,0.13834310,0.03137137,0.21507797,0.08663020,0.12099655,0.15381423,0.23480041,0.02823906,0.18527269,0.02732885,0.04487115,0.01594039,0.16631696,0.22866528,0.11316317,0.01821582,0.18613988,0.02592124,0.13814658,0.20700714,0.31043226,0.03659296,0.06084428,0.01664876,0.08720152,0.08786294,0.02793509,0.04418287,0.17439958,0.05267327,0.03946675,0.03127143,0.02130834,0.02657857,0.03816975
6,0.04919261,0.03827357,0.04756135,0.02428569,0.07171647,0.01513350,1.00000000,0.09650511,0.03297856,0.04733662,0.08482154,0.14314172,0.03253904,0.05351056,0.20798093,0.03665705,0.03682371,0.04164006,0.13251814,0.03576314,0.01207384,0.04461981,0.04950650,0.14114231,0.16230275,0.04769547,0.04013452,0.06790675,0.17043167,0.19239032,0.04896961,0.06053524,0.15250242,0.10605839,0.07844032,0.04369055,0.02212265,0.15953213,0.05893014,0.03774273,0.03029833,0.10174325,0.01254920,0.14717504,0.03558777,0.03589190,0.15955558,0.02758087,0.09423505,0.04091303,0.05809545,0.03330122,0.12544464,0.18400641,0.03032082,0.04972291,0.11379284,0.04230738,0.04175820,0.09874715,0.10166249,0.09995278,0.02181181,0.06883024,0.02111826,0.06594113,0.04557920,0.01823687,0.07352769,0.15974331,0.10682684,0.03412016,0.07079874,0.08920322,0.03158166,0.02443435,0.01527384,0.14953242,0.11864291,0.03277473,0.02296834,0.02685626,0.06193300,0.15120029,0.12674356,0.12372059,0.03146341,0.04556725,0.02147010,0.07059257,0.05018971,0.07250494,0.03838073,0.20205763,0.07349410,0.06900647,0.03499661,0.03959013,0.03975873,0.10288009,0.19938046,0.02533374,0.01517910,0.07352887,0.02778515,0.08363314,0.06129032,0.07572624,0.26050681,0.01706271,0.08001472,0.08996449,0.04961925,0.05928190,0.04863843,0.08231430,0.02355712,0.04450110,0.01915963,0.04568511,0.05372201,0.05144155,0.01729492,0.03590745,0.08176613,0.02884881,0.08734158,0.03171922
7,0.02857383,0.05326454,0.04131843,0.15192741,0.04997441,0.06676275,0.09650511,1.00000000,0.18264672,0.06185039,0.14705658,0.03668001,0.09453721,0.06549316,0.22887629,0.12761003,0.03366278,0.10068499,0.13049698,0.06004943,0.01363786,0.05001215,0.05683232,0.03101803,0.09246620,0.08017679,0.23836502,0.08228520,0.02697398,0.11934800,0.07233508,0.02138723,0.08878595,0.03435878,0.01761585,0.01465278,0.11410221,0.03875077,0.03360161,0.06773885,0.17444465,0.28481734,0.08409075,0.04859808,0.04066665,0.39818871,0.03269606,0.11139217,0.08661598,0.03011847,0.03877508,0.06725828,0.10466722,0.03233885,0.03186984,0.04293624,0.03163855,0.05655690,0.04672214,0.07688446,0.14854833,0.02843996,0.08261342,0.16118410,0.06075651,0.05092306,0.06649653,0.15516694,0.05198634,0.02674751,0.06827635,0.02279340,0.05824213,0.07161005,0.05039688,0.06729542,0.05672286,0.11256303,0.04886525,0.09317189,0.05538733,0.03871316,0.14017835,0.18242575,0.19293067,0.05151481,0.08994566,0.08220650,0.13116768,0.04765622,0.01007476,0.02732961,0.03543313,0.14421982,0.04103098,0.04675055,0.03344315,0.03471620,0.12848781,0.08790690,0.14982112,0.02099019,0.16839887,0.21633773,0.01939437,0.12616482,0.02925386,0.03878817,0.10354152,0.12146910,0.01430894,0.10684504,0.02452195,0.07489064,0.02921091,0.04253253,0.03841580,0.05515116,0.02774536,0.06710345,0.02643149,0.18163775,0.04304115,0.03119860,0.06854466,0.02205084,0.05338362,0.10506813
8,0.05549332,0.03434641,0.12407357,0.05310795,0.03413004,0.12748462,0.03297856,0.18264672,1.00000000,0.06018729,0.06614249,0.04139773,0.22582245,0.05991634,0.05608398,0.36756116,0.03489605,0.01914927,0.27505887,0.09892805,0.02061869,0.05831755,0.11355421,0.17540002,0.17053828,0.14412645,0.32572156,0.09601563,0.02046515,0.14142455,0.04055724,0.03209650,0.10412461,0.12807608,0.07941721,0.01580529,0.09336998,0.08106498,0.04174981,0.02775459,0.22533929,0.18924209,0.29126930,0.07094811,0.11378357,0.21547422,0.18103713,0.02304158,0.10014242,0.01460572,0.01898306,0.11197218,0.05288880,0.03509394,0.03896574,0.23150524,0.13259275,0.01797401,0.03649700,0.08278830,0.17326075,0.20586605,0.12347375,0.05840618,0.03055182,0.05984475,0.04220938,0.14481407,0.05196849,0.01587676,0.02639457,0.12726444,0.12444776,0.01988786,0.06292519,0.02077448,0.13488548,0.05292888,0.08407910,0.09592558,0.05467700,0.12250368,0.25157744,0.03014456,0.12352920,0.15571873,0.08655667,0.09483963,0.13598013,0.07993485,0.03960682,0.07361349,0.04629591,0.01953668,0.06626080,0.04532471,0.12276639,0.22314805,0.09536961,0.04039504,0.08029410,0.06303966,0.14940213,0.04858585,0.02737436,0.23369017,0.04686742,0.07398013,0.06057796,0.14355868,0.06398562,0.06750442,0.11574633,0.05935049,0.23230730,0.05998222,0.09699391,0.02805789,0.07885899,0.14825383,0.02784863,0.27824455,0.16864437,0.04706205,0.04396795,0.04959077,0.02299012,0.01841984
9,0.03089411,0.06803868,0.05536434,0.08046602,0.14769366,0.07865014,0.04733662,0.06185039,0.06018729,1.00000000,0.05363589,0.06129191,0.07275169,0.12674388,0.04391458,0.17691541,0.03129215,0.04478668,0.07786764,0.03210967,0.01672191,0.04278268,0.07362515,0.05639530,0.39828140,0.06504925,0.18383886,0.06724728,0.06992334,0.06456048,0.06585126,0.08302121,0.02936275,0.04779240,0.02993812,0.09158134,0.06108458,0.21230572,0.09956563,0.04798911,0.10577190,0.10284640,0.03981118,0.06265815,0.05676341,0.04906113,0.02476010,0.05822257,0.06463297,0.04444646,0.05722905,0.05182248,0.04320741,0.13902099,0.06636811,0.16685134,0.03077488,0.07810000,0.03069981,0.03575405,0.07192748,0.07064082,0.04462601,0.06051541,0.05520292,0.05365023,0.03960267,0.04061504,0.06721415,0.03044378,0.03795897,0.03340728,0.06003533,0.04680028,0.05300770,0.05600823,0.07418561,0.05557482,0.03269114,0.08077980,0.06291411,0.06982252,0.07976525,0.05475990,0.12618038,0.08354032,0.08431220,0.07907179,0.09147163,0.06182560,0.08102530,0.01905253,0.03884447,0.08065879,0.06748240,0.10022216,0.01460741,0.09252746,0.16463813,0.06549229,0.06021007,0.07781777,0.11090362,0.05421364,0.03100410,0.07254590,0.04431827,0.11277719,0.04669025,0.05524036,0.06096052,0.15281510,0.08600821,0.07006653,0.02595261,0.07733666,0.05775037,0.04221264,0.02275453,0.09508863,0.05272341,0.09296516,0.04373623,0.02678946,0.13970889,0.03437680,0.04525952,0.06004922
