channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,1.00000000,0.04869617,0.08019663,0.06539762,0.37826467,0.08542521,0.22854960,0.16659857,0.04211249,0.04367693,0.15033022,0.08985689,0.06927619,0.27613363,0.06396533,0.24483934,0.11176362,0.13578075,0.19956204,0.14921960,0.07979032,0.07398537,0.03849372,0.21993588,0.21330264,0.15135014,0.04808062,0.06887458,0.18889266,0.08395140,0.12853575,0.06454255,0.09101255,0.06968869,0.16132665,0.12802140,0.19436881,0.04976174,0.03787966,0.08438590,0.11629720,0.14758317,0.23842914,0.07323885,0.09073848,0.08340557,0.07386544,0.08299918,0.07024076,0.09094894,0.03567671,0.13790667,0.03270518,0.20530927,0.07574058,0.16124870,0.09596361,0.11117799,0.03152806,0.04902248,0.13377038,0.22093681,0.07365148,0.10473023
1,0.04869617,1.00000000,0.07834168,0.01949291,0.07926794,0.02129258,0.27841777,0.13568532,0.08624430,0.11801188,0.06067792,0.07902963,0.03823921,0.05322631,0.05584269,0.15890560,0.28607625,0.03905921,0.07262881,0.24474956,0.05698014,0.09398069,0.08798994,0.08647788,0.05865187,0.04893044,0.04403696,0.02182200,0.06580213,0.15240410,0.03746337,0.17186840,0.05040708,0.23460600,0.14609578,0.04246360,0.02480177,0.12751201,0.02247089,0.05446219,0.04167920,0.04888678,0.04367956,0.03273546,0.04654799,0.03061827,0.05280929,0.12090041,0.10878401,0.08286267,0.04348449,0.06320622,0.11091898,0.05316267,0.08654691,0.08704574,0.02424651,0.10766163,0.03187402,0.02790293,0.03999835,0.08956809,0.04565733,0.03760935
2,0.08019663,0.07834168,1.00000000,0.11965823,0.16114998,0.10526183,0.18975469,0.13593307,0.13991202,0.08072530,0.28678021,0.02421546,0.10296303,0.05439590,0.12160197,0.24632823,0.08428376,0.04362336,0.19885898,0.30724633,0.16579112,0.17447858,0.08582410,0.23726454,0.12495299,0.21495935,0.15116996,0.04967114,0.02741583,0.19295679,0.08396979,0.04934845,0.05265033,0.09721947,0.28005001,0.18716753,0.13067566,0.07529607,0.17599420,0.14775223,0.39631850,0.14289220,0.14060244,0.05439769,0.05943983,0.08507234,0.29687065,0.11659002,0.04182206,0.10534135,0.10096318,0.09906141,0.10790657,0.09567377,0.03297386,0.12895598,0.20307186,0.14912488,0.09922917,0.14428264,0.15897027,0.18850459,0.17098111,0.02267097
3,0.06539762,0.01949291,0.11965823,1.00000000,0.07682517,0.18521638,0.11460423,0.08538461,0.10957390,0.09372515,0.05477734,0.08639166,0.11895907,0.10103780,0.36618251,0.06063456,0.10195325,0.02636331,0.22440886,0.24095020,0.23386708,0.04281458,0.35163996,0.15769339,0.19212246,0.32627547,0.02552104,0.04346081,0.17637709,0.04357874,0.04006152,0.05724739,0.03317903,0.04683514,0.11388799,0.27521521,0.10911269,0.07001422,0.05245555,0.10551624,0.03579894,0.09654564,0.10730281,0.11781007,0.04002222,0.09165937,0.14152926,0.05393803,0.09390821,0.03209187,0.03905023,0.03936361,0.02828129,0.06150762,0.23882575,0.05343586,0.26514262,0.11932041,0.37348258,0.11102894,0.10366910,0.19561471,0.10928704,0.04382288
4,0.37826467,0.07926794,0.16114998,0.07682517,1.00000000,0.20886643,0.31429097,0.29555863,0.09508528,0.16688348,0.16939795,0.18814531,0.07245147,0.37409049,0.19673836,0.50463760,0.14565784,0.17643428,0.44361445,0.19120681,0.16796863,0.29793260,0.12536390,0.55888033,0.20350522,0.23335110,0.27271861,0.10707505,0.25203800,0.17165112,0.03290626,0.10290426,0.13524339,0.19676411,0.22619402,0.15040894,0.37134528,0.09501766,0.05458254,0.13144489,0.04351716,0.35138851,0.14933079,0.10651062,0.11914166,0.11734700,0.15101153,0.14045343,0.08500800,0.07775699,0.04180852,0.12759809,0.16990778,0.15611321,0.06858112,0.36370021,0.30716735,0.12858737,0.19062510,0.03496886,0.26991329,0.34134501,0.17804074,0.19429544
5,0.08542521,0.02129258,0.10526183,0.18521638,0.20886643,1.00000000,0.22810927,0.09780993,0.06457330,0.14772007,0.03163426,0.07659765,0.12975693,0.10746393,0.04217100,0.07310840,0.11294580,0.05341834,0.08065507,0.12889610,0.07461682,0.17198271,0.06486392,0.05942848,0.16399503,0.16059113,0.01968695,0.34634888,0.14795308,0.09829382,0.03306198,0.12065595,0.09905766,0.05958253,0.49336800,0.17596135,0.11620510,0.23385797,0.02740894,0.08650427,0.02442206,0.05450417,0.08603512,0.02798058,0.14133278,0.04557149,0.04248610,0.05138268,0.03429633,0.09177087,0.11289658,0.12955886,0.03617980,0.10925122,0.02695979,0.09396028,0.06299454,0.07746458,0.03588982,0.03215615,0.05179765,0.16039181,0.04359453,0.06340220
6,0.22854960,0.27841777,0.18975469,0.11460423,0.31429097,0.22810927,1.00000000,0.16271976,0.03061652,0.09432389,0.08333725,0.02608800,0.10895656,0.14582841,0.17099196,0.32988936,0.08661745,0.06524636,0.20118526,0.31925327,0.14345095,0.17580536,0.14393413,0.20507975,0.18175536,0.10624297,0.04832864,0.34607226,0.19269732,0.07481135,0.03096924,0.05547474,0.30090287,0.27207589,0.17378727,0.15427926,0.18709475,0.40140182,0.03647551,0.03975791,0.04693976,0.08970232,0.05811206,0.03019503,0.07537685,0.07263414,0.10737170,0.10218321,0.07728320,0.05073677,0.04015513,0.07299745,0.43534261,0.04978936,0.10063125,0.14291564,0.07811014,0.30551028,0.03468043,0.06654862,0.20101538,0.14984213,0.03396343,0.09922705
7,0.16659857,0.13568532,0.13593307,0.08538461,0.29555863,0.09780993,0.16271976,1.00000000,0.07364634,0.04600913,0.17343871,0.14059234,0.13250217,0.25171858,0.14465672,0.14952797,0.05117444,0.06025986,0.06772305,0.39715642,0.07269812,0.19520137,0.02232838,0.19894564,0.07660387,0.04491450,0.17014962,0.09589782,0.08250582,0.10896051,0.16620731,0.04143620,0.09004894,0.10853827,0.08958572,0.05040800,0.01577356,0.11787401,0.06389740,0.04368456,0.08089080,0.18283235,0.08316734,0.06005056,0.14152610,0.02522530,0.03767668,0.04943651,0.18075444,0.14500485,0.14952083,0.12724030,0.04386032,0.10875864,0.08284779,0.15322313,0.06386608,0.10303755,0.12583637,0.10963893,0.05675136,0.04223594,0.01882542,0.05324336
8,0.04211249,0.08624430,0.13991202,0.10957390,0.09508528,0.06457330,0.03061652,0.07364634,1.00000000,0.03201739,0.08024049,0.02604755,0.07296301,0.10758124,0.04739571,0.05006859,0.02694487,0.18305086,0.07749356,0.13517877,0.04511281,0.09119117,0.15689644,0.03291152,0.08736107,0.02527255,0.05630781,0.02429177,0.07660258,0.07912405,0.04814082,0.02666355,0.04244472,0.03615041,0.05771904,0.05669411,0.13739650,0.04162935,0.04882029,0.08417048,0.06695107,0.04086014,0.09694812,0.15852313,0.07335995,0.07362624,0.25685892,0.04528424,0.06464178,0.04909532,0.03519764,0.03002564,0.02602358,0.03642890,0.08097638,0.03344473,0.10273935,0.04126202,0.05723952,0.17271027,0.02060902,0.07514098,0.03590193,0.07874170
9,0.04367693,0.11801188,0.08072530,0.09372515,0.16688348,0.14772007,0.09432389,0.04600913,0.03201739,1.00000000,0.03590034,0.05694697,0.04615912,0.03826188,0.08625786,0.16279717,0.06250839,0.03272999,0.15875962,0.04702889,0.06312211,0.09345515,0.06344521,0.19630158,0.09046548,0.11278561,0.03324129,0.03247550,0.11487298,0.05826390,0.06321499,0.03437239,0.03349798,0.03495777,0.09040766,0.05460356,0.05773941,0.08959004,0.02188578,0.07898342,0.03363524,0.06803541,0.04255939,0.04590905,0.12811494,0.05135239,0.02824371,0.04494553,0.09230307,0.01603230,0.02073491,0.02868781,0.08811343,0.05077038,0.03124703,0.09149617,0.13955736,0.06154226,0.03597663,0.04085438,0.03069414,0.09739614,0.06574844,0.04620843
