channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,1.00000000,0.14965418,,0.24595533,,0.05505440,0.18410958,,0.08664244,,0.10045181,0.17202623,0.12269013,,0.02312184,0.06642985,0.36388481,0.18408433,0.09669863,0.24305969,0.27665740,0.28179693,0.29328215,0.12890628,0.38030314,0.20119599,0.05076735,0.16871643,0.03164973,0.39524883,0.06567478,0.33951008,0.11941539,0.22306427,0.23749627,0.26813447,,0.32429767,,0.10944650,0.04113325,0.28393948,0.16506985,0.26432437,0.27825445,0.31388366,0.30221888,0.14062217,,0.09929316,0.16105604,0.22151381,0.06429387,0.25646549,0.27550590,0.28308594,0.23351288,0.25680882,0.16524024,0.01014900,0.09361371,0.34609848,0.29607630,0.06438510
1,0.14965418,1.00000000,,0.37332225,,0.18146920,0.07251188,,0.23014724,,0.72357488,0.42091525,0.51131350,,0.20170982,0.32366323,0.50837505,0.44102746,0.43008351,0.69209385,0.48235413,0.71134543,0.44946229,0.48431957,0.02839419,0.46677285,0.28217193,0.15526083,0.06066635,0.30120787,0.05174487,0.44096720,0.12834647,0.55414581,0.56025445,0.48015967,,0.57957494,,0.47944599,0.07539888,0.32685545,0.50758183,0.35895425,0.43084615,0.61108458,0.68360746,0.62642419,,0.43031114,0.48032326,0.75914991,0.13647670,0.68234670,0.35739142,0.54847264,0.09772161,0.07721701,0.56418246,0.02983863,0.73536855,0.59976423,0.44080892,0.34323931
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.24595533,0.37332225,,1.00000000,,0.01186570,0.19286995,,0.19461702,,0.51587725,0.54407883,0.82349449,,0.12646887,0.34865996,0.71420026,0.11144477,0.12405351,0.50157142,0.49932149,0.66872191,0.57783836,0.47760212,0.10255310,0.39943573,0.01722295,0.16464764,0.14766851,0.72543275,0.24070737,0.49601480,0.19787085,0.33426052,0.30246148,0.67566341,,0.65326405,,0.39798501,0.03246940,0.52142251,0.56915265,0.50874132,0.54720736,0.74379426,0.62662798,0.59715945,,0.44122803,0.18984702,0.58982188,0.04869137,0.58919585,0.87036252,0.61757714,0.28966755,0.48653772,0.88493431,0.07727779,0.56244802,0.68193662,0.84948331,0.29206944
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.05505440,0.18146920,,0.01186570,,1.00000000,0.13454211,,0.27649373,,0.08856121,0.20146874,0.02355294,,0.04921934,0.33987060,0.03101259,0.04814039,0.05712906,0.05355289,0.11696182,0.06445262,0.12074396,0.16986094,0.03751497,0.02021081,0.02517052,0.01511448,0.11609145,0.03822860,0.05939035,0.16585895,0.02595390,0.12009318,0.09297395,0.01776967,,0.06454733,,0.06328916,0.16031750,0.02062107,0.07930168,0.03821255,0.13372493,0.04845802,0.02106322,0.05156551,,0.30427545,0.05693557,0.13683707,0.09118739,0.11329207,0.02406615,0.05095449,0.10015045,0.02790201,0.03898286,0.07215083,0.05506215,0.05231024,0.03351767,0.02584582
6,0.18410958,0.07251188,,0.19286995,,0.13454211,1.00000000,,0.08546673,,0.13828462,0.20367913,0.22179268,,0.05121133,0.12407804,0.39055640,0.05616052,0.06676032,0.15215790,0.19364330,0.23828158,0.22667840,0.19180423,0.02071357,0.16204447,0.11327574,0.33846974,0.22562101,0.24250287,0.18457720,0.20248371,0.75486505,0.13397379,0.08851878,0.38921565,,0.41769296,,0.08132780,0.21828395,0.21335992,0.22909167,0.24343175,0.18744531,0.19138566,0.22474098,0.21464014,,0.11626099,0.05375563,0.21764058,0.83916581,0.24205503,0.25669718,0.24788907,0.21321957,0.28937554,0.13624239,0.10840042,0.17470431,0.26402989,0.28864744,0.10668854
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.08664244,0.23014724,,0.19461702,,0.27649373,0.08546673,,1.00000000,,0.22253303,0.41903651,0.20676106,,0.06478617,0.24077564,0.28526524,0.20184329,0.18959464,0.28089023,0.48059499,0.30844647,0.44719768,0.09008044,0.02354259,0.14689443,0.04625958,0.15894800,0.12740335,0.31284499,0.05639086,0.22712605,0.15181047,0.25204423,0.27777445,0.34109154,,0.34700447,,0.27742487,0.15759562,0.31929484,0.25950336,0.11277656,0.52624381,0.31416315,0.31261563,0.38964444,,0.43263504,0.21493089,0.39130783,0.04761265,0.33207297,0.20664611,0.38830042,0.05493531,0.17241353,0.21865971,0.11341769,0.33950385,0.34139758,0.22352995,0.05290816
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
