channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,1.00000000,0.03350264,0.08019663,0.05311479,0.29589158,0.03794103,0.19581237,0.15313840,0.04211249,0.04011280,0.13674718,0.04939935,0.04319573,0.23250234,0.06396533,0.14698246,0.05200195,0.13578075,0.09786597,0.07385430,0.04697808,0.04109193,0.02764000,0.16326950,0.16684316,0.15128821,0.04582997,0.04144356,0.13063216,0.05708496,0.12853575,0.05523416,0.04732200,0.03004470,0.10775732,0.08835801,0.16953287,0.04348124,0.02948175,0.07002694,0.08346683,0.13609898,0.23842914,0.07323885,0.08519757,0.05830197,0.04960368,0.04649577,0.07024076,0.05730940,0.02402711,0.09996579,0.02885246,0.11853821,0.07574058,0.13307162,0.06611534,0.06292265,0.02647362,0.03032145,0.13377038,0.13669400,0.05379263,0.10473023
1,0.03350264,1.00000000,0.07834168,0.01093088,0.04245476,0.00994260,0.25799841,0.09316020,0.07621420,0.11801188,0.06067792,0.06836282,0.01360261,0.05322631,0.04775413,0.15890560,0.28607625,0.03905921,0.07191893,0.22695638,0.05263648,0.05823296,0.08716066,0.04117431,0.05865187,0.04103389,0.04403696,0.02182200,0.06580213,0.12918261,0.03638695,0.16863677,0.04864330,0.22585779,0.14323828,0.02395849,0.02480177,0.12751201,0.01309659,0.05446219,0.03437877,0.03805662,0.04367956,0.03273546,0.04460601,0.02608270,0.04443959,0.10313573,0.10878401,0.08286267,0.02209770,0.05771079,0.11091898,0.03084616,0.08654691,0.07980260,0.01864728,0.10766163,0.02624955,0.02790293,0.03582771,0.08956809,0.04565733,0.02175495
2,0.08019663,0.07834168,1.00000000,0.11965823,0.16114998,0.08444293,0.18975469,0.13593307,0.13991202,0.07807902,0.24383417,0.02421546,0.07821026,0.05439590,0.12160197,0.24632823,0.07220127,0.04010212,0.08491226,0.30724633,0.16579112,0.10504083,0.08582410,0.22911732,0.12495299,0.21495935,0.15116996,0.04374140,0.02741583,0.17847838,0.07816342,0.04180808,0.02341831,0.09721947,0.26746738,0.11483681,0.13067566,0.05616778,0.13004741,0.14775223,0.39631850,0.11496240,0.13785148,0.05115600,0.05943983,0.03359687,0.29687065,0.08929852,0.03818193,0.09622576,0.10096318,0.09906141,0.07796931,0.09567377,0.02265786,0.12895598,0.20307186,0.14912488,0.09922917,0.14329550,0.15897027,0.09991788,0.17098111,0.02267097
3,0.05311479,0.01093088,0.11965823,1.00000000,0.07442106,0.11819091,0.09012325,0.07748118,0.09683008,0.07630789,0.04687141,0.08639166,0.10341845,0.07580727,0.36618251,0.04579359,0.10195325,0.02636331,0.14022909,0.24095020,0.23386708,0.03347431,0.35163996,0.15543784,0.16197637,0.32627547,0.02552104,0.02663881,0.17637709,0.03774007,0.04006152,0.05724739,0.03317903,0.02576299,0.07826055,0.27521521,0.10100301,0.05883685,0.04209504,0.10551624,0.01456504,0.07535695,0.07824490,0.11781007,0.03805215,0.03603000,0.14152926,0.04638086,0.09390821,0.02989940,0.03905023,0.02083183,0.02367462,0.03231938,0.23882575,0.02686309,0.26514262,0.10273846,0.37348258,0.11102894,0.10366910,0.17475966,0.10726778,0.03480719
4,0.29589158,0.04245476,0.16114998,0.07442106,1.00000000,0.18006304,0.27923667,0.27700278,0.09508528,0.10282482,0.16939795,0.14257933,0.04604302,0.36874935,0.17438737,0.46383643,0.03803246,0.17643428,0.36219907,0.15799527,0.15671879,0.14354217,0.12536390,0.40884885,0.10984837,0.23335110,0.27271861,0.08563799,0.19254333,0.14998871,0.03290626,0.02932358,0.06097548,0.19327249,0.19718692,0.11726649,0.35075206,0.03297316,0.05458254,0.06914920,0.02616350,0.17309794,0.13847850,0.10651062,0.11832628,0.10504101,0.15101153,0.10420898,0.04511834,0.03957539,0.04180852,0.12759809,0.11321408,0.12430790,0.04859374,0.30782396,0.30716735,0.09789272,0.19062510,0.02985737,0.26991329,0.31515366,0.13840958,0.19429544
5,0.03794103,0.00994260,0.08444293,0.11819091,0.18006304,1.00000000,0.22019987,0.07149862,0.06101727,0.11637407,0.02816148,0.07659765,0.11817513,0.07895935,0.03531606,0.05591276,0.09717919,0.05341834,0.03889917,0.12346978,0.07461682,0.15859371,0.06486392,0.04769427,0.15824738,0.16059113,0.01466846,0.34634888,0.10295180,0.08020241,0.03306198,0.12065595,0.09905766,0.01927007,0.48150346,0.17596135,0.10587052,0.21398732,0.01715705,0.08650427,0.01607105,0.04995258,0.04900597,0.01733724,0.08596314,0.01914205,0.03737414,0.03273355,0.02054541,0.09177087,0.11289658,0.12955886,0.03617980,0.06816283,0.02695979,0.04763872,0.02354719,0.06210718,0.03088113,0.02617455,0.04359021,0.12879056,0.04141153,0.05335071
6,0.19581237,0.25799841,0.18975469,0.09012325,0.27923667,0.22019987,1.00000000,0.16271976,0.03061652,0.04991356,0.08333725,0.02608800,0.09579989,0.13602974,0.14939973,0.25289989,0.07037297,0.06417421,0.14484985,0.31925327,0.12768635,0.11578209,0.13559192,0.15870321,0.15548238,0.10624297,0.04832864,0.34607226,0.13886574,0.07422848,0.03096924,0.05547474,0.27757722,0.27207589,0.16580409,0.09572566,0.16179061,0.34542388,0.02309005,0.02075708,0.04693976,0.08933854,0.05811206,0.03019503,0.05761548,0.03799143,0.10353731,0.09500743,0.07728320,0.02835656,0.02899072,0.06687428,0.43534261,0.03894574,0.10063125,0.07939563,0.07250959,0.30551028,0.02792026,0.05724634,0.20101538,0.06054638,0.02337369,0.07769133
7,0.15313840,0.09316020,0.13593307,0.07748118,0.27700278,0.07149862,0.16271976,1.00000000,0.07364634,0.03784064,0.17343871,0.11697236,0.13250217,0.25132096,0.14465672,0.14333048,0.04264455,0.05037874,0.06281813,0.39715642,0.06619829,0.19520137,0.01862552,0.18395913,0.06909853,0.02261674,0.13712299,0.08409801,0.06934409,0.10896051,0.16620731,0.03740271,0.05766027,0.08339454,0.08958572,0.04325203,0.01495625,0.11427034,0.04790941,0.04368456,0.08089080,0.13656414,0.06662532,0.04060095,0.14152610,0.02522530,0.03481730,0.04689424,0.18075444,0.14167379,0.13788792,0.12724030,0.02490547,0.09688115,0.03322720,0.15322313,0.05450349,0.10303755,0.11846066,0.10963893,0.04802035,0.02679930,0.01882542,0.02948541
8,0.04211249,0.07621420,0.13991202,0.09683008,0.09508528,0.06101727,0.03061652,0.07364634,1.00000000,0.03201739,0.07800783,0.02604755,0.06088113,0.09636021,0.03034246,0.03109518,0.02694487,0.14907932,0.07749356,0.12848105,0.04511281,0.09119117,0.15162545,0.02531251,0.08736107,0.02527255,0.03957688,0.01634741,0.06122693,0.05298331,0.03476567,0.02666355,0.03201336,0.03248896,0.05771904,0.03414985,0.13401079,0.04162935,0.03423321,0.08156814,0.05136310,0.02661738,0.08428428,0.15323277,0.06339900,0.07362624,0.25685892,0.04528424,0.06464178,0.03255790,0.03519764,0.03002564,0.02602358,0.03642890,0.07907142,0.03344473,0.09408824,0.02052952,0.03550167,0.17271027,0.02060902,0.07514098,0.03487226,0.07631315
9,0.04011280,0.11801188,0.07807902,0.07630789,0.10282482,0.11637407,0.04991356,0.03784064,0.03201739,1.00000000,0.01982955,0.03272614,0.03120241,0.02491801,0.05866748,0.11222877,0.02647029,0.02097095,0.08260685,0.02200984,0.02158966,0.04149967,0.02917805,0.15005086,0.07632791,0.11278561,0.01711354,0.02409350,0.07761292,0.04167864,0.05881713,0.03158996,0.02417237,0.03432864,0.04300788,0.05460356,0.05142114,0.05168234,0.01200732,0.07099134,0.03363524,0.05870940,0.02192397,0.04107016,0.12811494,0.05135239,0.02061606,0.03598965,0.06302977,0.01541343,0.01437972,0.02868781,0.06554879,0.03334266,0.02538843,0.03204466,0.12369463,0.04738945,0.02335242,0.04085438,0.01735109,0.03222293,0.06574844,0.04620843
