distance_threshold,correlation_threshold,cluster_count,silhouette,singleton_proportion,compression_ratio
0.05,0.95,52,0.0568298365934447,0.875,0.07142857142857142
0.1,0.9,49,0.08706032051418308,0.8214285714285714,0.125
0.15,0.85,42,0.13137139494214914,0.6607142857142857,0.25
0.2,0.8,38,0.11896199164516223,0.5892857142857143,0.32142857142857145
0.25,0.75,33,0.15892022378673928,0.4642857142857143,0.4107142857142857
0.3,0.7,27,0.22363755244782588,0.32142857142857145,0.5178571428571429
0.35,0.65,23,0.20399250279118225,0.2857142857142857,0.5892857142857143
0.4,0.6,22,0.18138165730667866,0.2857142857142857,0.6071428571428571
0.45,0.55,18,0.2321318550673038,0.21428571428571427,0.6785714285714286
0.5,0.5,15,0.25115219908637687,0.19642857142857142,0.7321428571428571
0.55,0.44999999999999996,14,0.2651951944311985,0.17857142857142858,0.75
0.6,0.4,12,0.2783973335061348,0.14285714285714285,0.7857142857142857
0.65,0.35,10,0.30524473568810034,0.08928571428571429,0.8214285714285714
0.7,0.30000000000000004,8,0.34869842829208914,0.05357142857142857,0.8571428571428571
