distance_threshold,correlation_threshold,cluster_count,silhouette,singleton_proportion,compression_ratio
0.05,0.95,64,,1.0,0.0
0.1,0.9,64,,1.0,0.0
0.15,0.85,64,,1.0,0.0
0.2,0.8,64,,1.0,0.0
0.25,0.75,64,,1.0,0.0
0.3,0.7,64,,1.0,0.0
0.35,0.65,64,,1.0,0.0
0.4,0.6,64,,1.0,0.0
0.45,0.55,64,,1.0,0.0
0.5,0.5,62,0.013792293183588706,0.9375,0.03125
0.55,0.44999999999999996,51,0.07524530045023256,0.609375,0.203125
0.6,0.4,49,0.08186914489617933,0.5625,0.234375
0.65,0.35,41,0.10961187896081816,0.390625,0.359375
0.7,0.30000000000000004,37,0.12367954224993943,0.3125,0.421875
