channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,1.00000000,0.17205891,,0.24595533,,0.05505440,0.18410958,,0.08664244,,0.12181899,0.17202623,0.13071896,,0.02312184,0.08681563,0.36388481,0.18408433,0.09669863,0.24305969,0.27665740,0.28179693,0.29328215,0.14489974,0.38030314,0.20119599,0.05200578,0.16871643,0.07464844,0.39524883,0.07391120,0.33951008,0.11941539,0.22306427,0.23749627,0.26813447,,0.32429767,,0.15441009,0.04113325,0.28393948,0.16506985,0.26432437,0.27825445,0.31388366,0.30221888,0.14062217,,0.09977851,0.16105604,0.22151381,0.06429387,0.25646549,0.27550590,0.28308594,0.23351288,0.25680882,0.16524024,0.01655934,0.09361371,0.34609848,0.29607630,0.06438510
1,0.17205891,1.00000000,,0.37332225,,0.18202877,0.15750164,,0.23014724,,0.72357488,0.42091525,0.51131350,,0.20170982,0.32366323,0.50837505,0.49941853,0.48006403,0.69209385,0.48235413,0.71134543,0.44946229,0.48431957,0.02839419,0.46677285,0.28217193,0.31899941,0.27653620,0.30120787,0.05174487,0.44096720,0.12834647,0.55414581,0.56025445,0.48015967,,0.57957494,,0.47944599,0.09288909,0.32685545,0.50758183,0.35895425,0.43084615,0.61108458,0.68360746,0.62642419,,0.43031114,0.48032326,0.75914991,0.22356030,0.68234670,0.35739142,0.54847264,0.10545728,0.07721701,0.56418246,0.02983863,0.73536855,0.59976423,0.44080892,0.34769964
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.24595533,0.37332225,,1.00000000,,0.01186570,0.19286995,,0.19461702,,0.51587725,0.54407883,0.82349449,,0.12768342,0.34865996,0.74116689,0.11144477,0.12405351,0.50157142,0.49932149,0.66872191,0.57783836,0.47760212,0.10255310,0.39943573,0.01863378,0.23784503,0.16311376,0.72543275,0.24070737,0.49601480,0.19787085,0.33426052,0.30246148,0.67566341,,0.66163725,,0.39798501,0.03246940,0.52142251,0.56915265,0.50874132,0.54720736,0.74937665,0.62662798,0.59715945,,0.44122803,0.18984702,0.58982188,0.04869137,0.58919585,0.87036252,0.61757714,0.28966755,0.48653772,0.88493431,0.07727779,0.56244802,0.68603361,0.84948331,0.29206944
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.05505440,0.18202877,,0.01186570,,1.00000000,0.13454211,,0.29227448,,0.08982921,0.22561526,0.03628235,,0.11380989,0.36141485,0.05585277,0.05126503,0.06063499,0.08128978,0.11696182,0.08162459,0.15513563,0.19198915,0.03751497,0.16834441,0.02517052,0.02473107,0.12219087,0.04801924,0.05939035,0.16585895,0.02595390,0.14261004,0.11341248,0.03108903,,0.07040468,,0.06328916,0.16031750,0.04569818,0.09835869,0.03821255,0.13372493,0.05721119,0.04040493,0.06496072,,0.31797779,0.06981726,0.14615540,0.09118739,0.12039290,0.03042139,0.07961557,0.10015045,0.02790201,0.03898286,0.11843500,0.06621286,0.07188141,0.03445818,0.06940745
6,0.18410958,0.15750164,,0.19286995,,0.13454211,1.00000000,,0.11110713,,0.16894954,0.20367913,0.22179268,,0.05202193,0.12407804,0.39055640,0.05616052,0.06676032,0.16198948,0.20944539,0.23828158,0.22667840,0.19180423,0.05647533,0.16204447,0.11327574,0.33846974,0.22562101,0.24250287,0.18457720,0.20248371,0.75486505,0.33371401,0.09646502,0.38921565,,0.41769296,,0.10498308,0.22105896,0.21335992,0.22909167,0.24343175,0.18744531,0.23202680,0.22474098,0.21464014,,0.16671014,0.07092391,0.21764058,0.83916581,0.24205503,0.25738561,0.24788907,0.21321957,0.28937554,0.13624239,0.11266340,0.20231207,0.26402989,0.28864744,0.13814691
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.08664244,0.23014724,,0.19461702,,0.29227448,0.11110713,,1.00000000,,0.22253303,0.41903651,0.20676106,,0.06478617,0.24077564,0.28526524,0.20184329,0.18959464,0.28089023,0.48059499,0.30844647,0.44719768,0.09008044,0.02354259,0.14689443,0.04625958,0.15894800,0.18278432,0.31284499,0.05639086,0.22712605,0.15181047,0.25204423,0.27777445,0.34109154,,0.34700447,,0.27742487,0.17676751,0.31929484,0.25950336,0.11277656,0.52624381,0.31416315,0.31261563,0.38964444,,0.43263504,0.25465319,0.39130783,0.05210229,0.33207297,0.20664611,0.38830042,0.05493531,0.17241353,0.21865971,0.12521051,0.33950385,0.34139758,0.22352995,0.05290816
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
