channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
0,0.00000000,0.85034585,,0.75404465,,0.94494557,0.81589043,,0.91335756,,0.89954817,0.82797378,0.87730986,,0.97687817,0.93357015,0.63611519,0.81591570,0.90330136,0.75694031,0.72334260,0.71820307,0.70671785,0.87109375,0.61969686,0.79880404,0.94923264,0.83128357,0.96835029,0.60475117,0.93432522,0.66048992,0.88058460,0.77693570,0.76250374,0.73186553,,0.67570233,,0.89055347,0.95886672,0.71606052,0.83493018,0.73567563,0.72174555,0.68611634,0.69778109,0.85937786,,0.90070683,0.83894396,0.77848619,0.93570614,0.74353451,0.72449410,0.71691406,0.76648712,0.74319118,0.83475977,0.98985100,0.90638626,0.65390152,0.70392370,0.93561488
1,0.85034585,0.00000000,,0.62667775,,0.81853080,0.92748809,,0.76985276,,0.27642512,0.57908475,0.48868650,,0.79829019,0.67633677,0.49162495,0.55897254,0.56991649,0.30790615,0.51764584,0.28865457,0.55053771,0.51568043,0.97160584,0.53322715,0.71782804,0.84473920,0.93933368,0.69879210,0.94825512,0.55903280,0.87165356,0.44585419,0.43974555,0.51984036,,0.42042506,,0.52055401,0.92460114,0.67314458,0.49241817,0.64104575,0.56915385,0.38891542,0.31639254,0.37357581,,0.56968886,0.51967674,0.24085009,0.86352330,0.31765330,0.64260858,0.45152736,0.90227842,0.92278302,0.43581754,0.97016138,0.26463145,0.40023577,0.55919111,0.65676069
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.75404465,0.62667775,,0.00000000,,0.98813432,0.80713004,,0.80538297,,0.48412275,0.45592117,0.17650551,,0.87353110,0.65134001,0.28579974,0.88855523,0.87594652,0.49842858,0.50067854,0.33127809,0.42216164,0.52239788,0.89744687,0.60056424,0.98277706,0.83535236,0.85233152,0.27456725,0.75929260,0.50398517,0.80212915,0.66573948,0.69753850,0.32433659,,0.34673595,,0.60201502,0.96753061,0.47857749,0.43084735,0.49125868,0.45279264,0.25620574,0.37337202,0.40284055,,0.55877197,0.81015301,0.41017812,0.95130861,0.41080415,0.12963748,0.38242286,0.71033245,0.51346231,0.11506569,0.92272222,0.43755198,0.31806338,0.15051669,0.70793056
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.94494557,0.81853080,,0.98813432,,0.00000000,0.86545789,,0.72350627,,0.91143876,0.79853129,0.97644705,,0.95078069,0.66012943,0.96898741,0.95185959,0.94287091,0.94644713,0.88303816,0.93554735,0.87925601,0.83013904,0.96248502,0.97978920,0.97482949,0.98488551,0.88390857,0.96177143,0.94060963,0.83414102,0.97404611,0.87990683,0.90702605,0.98223031,,0.93545270,,0.93671083,0.83968252,0.97937894,0.92069834,0.96178746,0.86627507,0.95154196,0.97893679,0.94843447,,0.69572455,0.94306445,0.86316293,0.90881264,0.88670790,0.97593385,0.94904554,0.89984953,0.97209799,0.96101713,0.92784917,0.94493783,0.94768977,0.96648234,0.97415417
6,0.81589043,0.92748809,,0.80713004,,0.86545789,0.00000000,,0.91453326,,0.86171538,0.79632086,0.77820730,,0.94878864,0.87592196,0.60944360,0.94383949,0.93323970,0.84784210,0.80635667,0.76171839,0.77332163,0.80819577,0.97928643,0.83795553,0.88672423,0.66153026,0.77437901,0.75749713,0.81542277,0.79751629,0.24513495,0.86602622,0.91148120,0.61078435,,0.58230704,,0.91867220,0.78171605,0.78664005,0.77090836,0.75656825,0.81255472,0.80861437,0.77525902,0.78535986,,0.88373899,0.94624436,0.78235942,0.16083419,0.75794494,0.74330282,0.75211096,0.78678042,0.71062446,0.86375761,0.89159960,0.82529569,0.73597014,0.71135259,0.89331144
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.91335756,0.76985276,,0.80538297,,0.72350627,0.91453326,,0.00000000,,0.77746695,0.58096349,0.79323894,,0.93521380,0.75922436,0.71473479,0.79815674,0.81040537,0.71910977,0.51940501,0.69155353,0.55280232,0.90991956,0.97645742,0.85310555,0.95374042,0.84105200,0.87259662,0.68715501,0.94360912,0.77287394,0.84818953,0.74795580,0.72222555,0.65890849,,0.65299553,,0.72257513,0.84240437,0.68070519,0.74049664,0.88722342,0.47375619,0.68583685,0.68738437,0.61035556,,0.56736493,0.78506911,0.60869217,0.95238733,0.66792703,0.79335392,0.61169958,0.94506466,0.82758647,0.78134030,0.88658231,0.66049612,0.65860242,0.77647007,0.94709182
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.89954817,0.27642512,,0.48412275,,0.91143876,0.86171538,,0.77746695,,0.00000000,0.44270772,0.36663216,,0.95310616,0.54182744,0.33995670,0.57489169,0.45586210,0.36336815,0.46899343,0.20604837,0.37806129,0.39155596,0.86626130,0.56497884,0.78418422,0.67809880,0.87055135,0.44288230,0.63570356,0.51889074,0.72103983,0.41286355,0.42647338,0.36731112,,0.28581935,,0.39927417,0.93197495,0.46274614,0.32167989,0.45907211,0.46356905,0.31026530,0.24508715,0.20606869,,0.48516357,0.69547230,0.22202969,0.91321158,0.26741093,0.45821911,0.31738502,0.86017108,0.55060786,0.36729795,0.97009379,0.18417352,0.27485639,0.41541058,0.56772614
11,0.82797378,0.57908475,,0.45592117,,0.79853129,0.79632086,,0.58096349,,0.44270772,0.00000000,0.38325828,,0.70543301,0.44057477,0.26957715,0.51821828,0.51363003,0.44474006,0.39857304,0.24496323,0.23619169,0.49673659,0.90012449,0.73607880,0.87109119,0.58682853,0.80285275,0.33283532,0.53102046,0.59166765,0.66704750,0.49461508,0.43322891,0.32653773,,0.23559165,,0.44178152,0.91900808,0.34609854,0.22065878,0.47564894,0.26899862,0.29552746,0.38326877,0.33622485,,0.19337368,0.90366018,0.30171692,0.90028626,0.31484199,0.45270038,0.32270944,0.71462494,0.33505225,0.39208168,0.75913495,0.36973679,0.23444891,0.39460522,0.64657533
12,0.87730986,0.48868650,,0.17650551,,0.97644705,0.77820730,,0.79323894,,0.36663216,0.38325828,0.00000000,,0.83791256,0.64353359,0.22254163,0.85141647,0.87354058,0.39137763,0.50307250,0.24278581,0.32618177,0.47533381,0.93434852,0.60530519,0.97842389,0.75405407,0.95075232,0.28772885,0.75613487,0.43592680,0.70326328,0.59688580,0.63921493,0.18542641,,0.25089771,,0.53073329,0.95946407,0.41333479,0.32776570,0.48472506,0.41922891,0.25328219,0.29671532,0.30757749,,0.48015088,0.80732441,0.30445677,0.97303468,0.31751043,0.15236950,0.31055582,0.70947051,0.48658752,0.11725646,0.94386691,0.28254962,0.23551160,0.14996690,0.67582464
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.97687817,0.79829019,,0.87353110,,0.95078069,0.94878864,,0.93521380,,0.95310616,0.70543301,0.83791256,,0.00000000,0.89124215,0.89571416,0.96217221,0.89939368,0.81337237,0.74325752,0.94899124,0.67024839,0.95520484,0.97312313,0.64625072,0.94210708,0.92932886,0.91220295,0.94503605,0.95333761,0.96842557,0.88027400,0.97149366,0.96605957,0.85783350,,0.94628525,,0.96948516,0.97187579,0.59877121,0.92129403,0.90051383,0.81808078,0.94589996,0.94885212,0.88644761,,0.82119387,0.59269047,0.96919751,0.90858972,0.97111136,0.83965588,0.85568511,0.70292354,0.82133424,0.93433595,0.70709211,0.91925663,0.90735996,0.97109836,0.80182725
15,0.93357015,0.67633677,,0.65134001,,0.66012943,0.87592196,,0.75922436,,0.54182744,0.44057477,0.64353359,,0.89124215,0.00000000,0.59037685,0.83195096,0.80315524,0.72574800,0.70957232,0.56689763,0.64012355,0.60804302,0.91752696,0.80148506,0.90029866,0.77353984,0.85349029,0.67481345,0.64359367,0.89641899,0.76755440,0.83566004,0.75113505,0.61805528,,0.57271063,,0.60218424,0.97093606,0.70764118,0.57517469,0.68203932,0.63299274,0.62643158,0.67605501,0.62554675,,0.52118957,0.93353188,0.58022749,0.95587200,0.57983768,0.65226078,0.67506355,0.89016110,0.69701922,0.63850677,0.95477211,0.65710384,0.60956156,0.63766015,0.85750574
16,0.63611519,0.49162495,,0.28579974,,0.96898741,0.60944360,,0.71473479,,0.33995670,0.26957715,0.22254163,,0.89571416,0.59037685,0.00000000,0.45136845,0.46498501,0.25888777,0.30602717,0.07225847,0.16933298,0.38051629,0.83324623,0.50024140,0.92887485,0.56351876,0.91960233,0.18133545,0.70606792,0.27908552,0.48775166,0.45783013,0.31126249,0.17449474,,0.03950828,,0.51914531,0.95521176,0.25915742,0.22437161,0.29281783,0.26718938,0.06494927,0.11392808,0.22308028,,0.45254159,0.75495195,0.16882670,0.86267543,0.16979212,0.28288603,0.15080118,0.55389100,0.32209581,0.23663485,0.93216407,0.21878600,0.04059100,0.19753957,0.61144447
17,0.81591570,0.55897254,,0.88855523,,0.95185959,0.94383949,,0.79815674,,0.57489169,0.51821828,0.85141647,,0.96217221,0.83195096,0.45136845,0.00000000,0.20566690,0.45876807,0.50371641,0.36907721,0.43276280,0.53352678,0.87297881,0.64319313,0.96023250,0.62692058,0.78885782,0.72593093,0.91188580,0.50705075,0.76975089,0.35524869,0.14903259,0.77022445,,0.40409774,,0.77495968,0.97477615,0.55809140,0.47208893,0.53343189,0.58264101,0.45955336,0.38075942,0.44099826,,0.59306633,0.76102746,0.41189229,0.90483451,0.41741621,0.86083853,0.40307522,0.77657986,0.63166797,0.86325163,0.96307015,0.43767935,0.37008202,0.82145536,0.66810131
18,0.90330136,0.56991649,,0.87594652,,0.94287091,0.93323970,,0.81040537,,0.45586210,0.51363003,0.87354058,,0.89939368,0.80315524,0.46498501,0.20566690,0.00000000,0.48111677,0.54658318,0.37191093,0.40533751,0.55107307,0.94652551,0.81491047,0.95751268,0.52010095,0.71497661,0.77056354,0.81171417,0.58598566,0.59471869,0.42312747,0.30072266,0.75096714,,0.38279653,,0.66803718,0.97371835,0.50149095,0.47921044,0.64768106,0.62371486,0.51347721,0.39585662,0.44441396,,0.56811911,0.93179542,0.40416139,0.88787234,0.46023297,0.87581164,0.40134901,0.76351780,0.55997455,0.86114562,0.90578592,0.40805888,0.36652976,0.82171959,0.76299864
19,0.75694031,0.30790615,,0.49842858,,0.94644713,0.84784210,,0.71910977,,0.36336815,0.44474006,0.39137763,,0.81337237,0.72574800,0.25888777,0.45876807,0.48111677,0.00000000,0.57521969,0.14221549,0.20424289,0.46051908,0.85319299,0.76666498,0.64903003,0.71742308,0.93308169,0.50192922,0.93577462,0.26689458,0.74403226,0.32444811,0.27690423,0.31102192,,0.25571167,,0.58601421,0.92705286,0.30816245,0.46408331,0.66676700,0.39909506,0.21441412,0.10868388,0.29016292,,0.61664891,0.70618695,0.20289207,0.92331535,0.26827586,0.43415296,0.22711527,0.76585424,0.79096204,0.40401959,0.81886172,0.21582174,0.17976570,0.44598055,0.90753496
20,0.72334260,0.51764584,,0.50067854,,0.88303816,0.80635667,,0.51940501,,0.46899343,0.39857304,0.50307250,,0.74325752,0.70957232,0.30602717,0.50371641,0.54658318,0.57521969,0.00000000,0.29312170,0.37083125,0.53286660,0.86745238,0.35202169,0.82657146,0.62521911,0.91091353,0.27475280,0.72309148,0.46759588,0.77101398,0.41707295,0.43105841,0.42033648,,0.24181575,,0.57886779,0.84234107,0.62723571,0.35835707,0.29816711,0.24508041,0.27494502,0.31109595,0.30906594,,0.47443509,0.70855719,0.26740348,0.94192684,0.28192341,0.52340084,0.32645661,0.83926582,0.42410403,0.38429511,0.94252503,0.30463910,0.24030972,0.37633318,0.40521181
21,0.71820307,0.28865457,,0.33127809,,0.93554735,0.76171839,,0.69155353,,0.20604837,0.24496323,0.24278581,,0.94899124,0.56689763,0.07225847,0.36907721,0.37191093,0.14221549,0.29312170,0.00000000,0.15999854,0.31015980,0.86649305,0.47504926,0.93973947,0.56782466,0.89152557,0.25812829,0.75405407,0.25466001,0.67200953,0.21737099,0.20329446,0.17754662,,0.05792224,,0.44089150,0.94699252,0.28207761,0.18489170,0.32042545,0.25817633,0.06330073,0.04110283,0.14128506,,0.41273934,0.64499301,0.05750144,0.93833286,0.09288847,0.34118843,0.10027182,0.68255442,0.42890215,0.23217469,0.92382222,0.12236619,0.02035654,0.25341159,0.58734310
22,0.70671785,0.55053771,,0.42216164,,0.87925601,0.77332163,,0.55280232,,0.37806129,0.23619169,0.32618177,,0.67024839,0.64012355,0.16933298,0.43276280,0.40533751,0.20424289,0.37083125,0.15999854,0.00000000,0.44749439,0.86742252,0.82524824,0.96331906,0.51375031,0.77633274,0.26366341,0.80582124,0.36987758,0.61088985,0.30746096,0.29978430,0.22535455,,0.16440773,,0.57260776,0.89409363,0.17035329,0.27960050,0.48725909,0.22050941,0.21040738,0.16878569,0.20479202,,0.35040772,0.92180848,0.24726057,0.87453693,0.28854251,0.35988647,0.13011277,0.50635064,0.39199293,0.37554026,0.69940573,0.19583750,0.10782933,0.38835567,0.68437636
23,0.87109375,0.51568043,,0.52239788,,0.83013904,0.80819577,,0.90991956,,0.39155596,0.49673659,0.47533381,,0.95520484,0.60804302,0.38051629,0.53352678,0.55107307,0.46051908,0.53286660,0.31015980,0.44749439,0.00000000,0.96719241,0.68020564,0.96479142,0.63437492,0.85379994,0.47413099,0.72289956,0.64722270,0.67859030,0.53912973,0.46843189,0.43664646,,0.36423522,,0.57518119,0.80614489,0.48904157,0.36747861,0.45560145,0.56835657,0.38509488,0.33953917,0.37436903,,0.56161726,0.72863895,0.36593437,0.93133986,0.38375616,0.53869456,0.38816398,0.68621355,0.53404260,0.45100260,0.93848974,0.37724626,0.33385158,0.44970095,0.61112237
24,0.61969686,0.97160584,,0.89744687,,0.96248502,0.97928643,,0.97645742,,0.86626130,0.90012449,0.93434852,,0.97312313,0.91752696,0.83324623,0.87297881,0.94652551,0.85319299,0.86745238,0.86649305,0.86742252,0.96719241,0.00000000,0.93456423,0.85254717,0.95074773,0.97743392,0.74257195,0.71966791,0.80766690,0.96673620,0.81919765,0.85906792,0.91768515,,0.87360013,,0.88656163,0.72147435,0.85219139,0.93049192,0.92923367,0.93125248,0.83965886,0.83410633,0.95106745,,0.95734084,0.93058944,0.91549557,0.98557115,0.89350903,0.89434946,0.79725039,0.79182523,0.88526773,0.92889106,0.91356403,0.94822776,0.81308764,0.89296627,0.86180019
25,0.79880404,0.53322715,,0.60056424,,0.97978920,0.83795553,,0.85310555,,0.56497884,0.73607880,0.60530519,,0.64625072,0.80148506,0.50024140,0.64319313,0.81491047,0.76666498,0.35202169,0.47504926,0.82524824,0.68020564,0.93456423,0.00000000,0.95776480,0.81185281,0.95466489,0.54994798,0.81480205,0.55875176,0.90642905,0.63490272,0.64858401,0.59121847,,0.44125658,,0.69380963,0.95972699,0.85608840,0.56738079,0.33992290,0.49756026,0.46725786,0.46336174,0.50398296,,0.88228291,0.56003928,0.43548602,0.95040339,0.43313664,0.62219810,0.59804761,0.82502985,0.63534421,0.54277772,0.64513355,0.52480614,0.48013216,0.49807906,0.54736042
