stage,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,failure_mvs_index,failure_timestamp,last_timestamp,associated_poses,ate_rmse_m,ate_mean_m,ate_median_m,ate_max_m,ate_std_m,trajectory_path,log_path,created_at
regression,gray,,0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.508001076057553,13,1305031462.391695,,,,,,,,,/home/melody/code/individual_project/channel_selection_results/step_d_fail_fast_evaluation/r070_bruteforce/artifacts/regression/channels_gray__rep0.log,2026-07-31T16:05:30.994874+00:00
regression,"5,29,40,52","[5, 29, 40, 52]",0,PASS,Completed scored window with a finite trajectory,11.504857889842242,,,1305031463.5277,4,0.12591244716757563,0.11627893566347305,0.1102706293195849,0.1762323519244919,0.048302727383631484,/home/melody/code/individual_project/channel_selection_results/step_d_fail_fast_evaluation/r070_bruteforce/artifacts/regression/channels_5-29-40-52__rep0.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_d_fail_fast_evaluation/r070_bruteforce/artifacts/regression/channels_5-29-40-52__rep0.log,2026-07-31T16:05:42.524804+00:00
bruteforce,"0,1,20,25","[0, 1, 20, 25]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.479200689122081,18,1305031462.559862,,,,,,,,,,2026-07-31T16:05:48.028060+00:00
bruteforce,"14,27,30,60","[14, 27, 30, 60]",0,PASS,Completed scored window with a finite trajectory,12.347153817303479,,,1305031463.5277,5,0.055355003176867874,0.05022917604481898,0.03706788901581268,0.08252361210440062,0.023263839979024016,,,2026-07-31T16:06:00.393082+00:00
bruteforce,"14,34,50,56","[14, 34, 50, 56]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.721611906774342,17,1305031462.52767,,,,,,,,,,2026-07-31T16:06:06.134627+00:00
bruteforce,"1,39,40,56","[1, 39, 40, 56]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,6.034346878994256,18,1305031462.559862,,,,,,,,,,2026-07-31T16:06:12.191405+00:00
bruteforce,"5,8,18,23","[5, 8, 18, 23]",0,PASS,Completed scored window with a finite trajectory,11.55161181697622,,,1305031463.5598,6,0.11483208289296717,0.10111649606349736,0.08100954526651113,0.2122374891939914,0.05442298673702141,,,2026-07-31T16:06:23.759434+00:00
bruteforce,"23,31,43,60","[23, 31, 43, 60]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,6.212106341961771,17,1305031462.52767,,,,,,,,,,2026-07-31T16:06:29.991762+00:00
bruteforce,"11,17,32,40","[11, 17, 32, 40]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.942733409814537,18,1305031462.559862,,,,,,,,,,2026-07-31T16:06:35.950744+00:00
bruteforce,"6,27,59,61","[6, 27, 59, 61]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.7646012688055634,18,1305031462.559862,,,,,,,,,,2026-07-31T16:06:41.730596+00:00
bruteforce,"11,39,50,52","[11, 39, 50, 52]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.395624417345971,18,1305031462.559862,,,,,,,,,,2026-07-31T16:06:47.143303+00:00
bruteforce,"17,23,29,33","[17, 23, 29, 33]",0,PASS,Completed scored window with a finite trajectory,11.444869559258223,,,1305031463.5277,4,0.11054388055179683,0.10882657769814988,0.11738015455615974,0.12427049008013294,0.019409418176711858,,,2026-07-31T16:06:58.607064+00:00
bruteforce,"1,11,30,59","[1, 11, 30, 59]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.918439840897918,26,1305031462.827816,,,,,,,,,,2026-07-31T16:07:04.541476+00:00
bruteforce,"0,24,39,41","[0, 24, 39, 41]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.914115692023188,20,1305031462.627851,,,,,,,,,,2026-07-31T16:07:10.471306+00:00
bruteforce,"15,23,25,62","[15, 23, 25, 62]",0,PASS,Completed scored window with a finite trajectory,11.350628015119582,,,1305031463.5277,4,0.08609846206910958,0.0801437186045416,0.079910717370758,0.12423857089109497,0.03146314572483103,,,2026-07-31T16:07:21.840883+00:00
bruteforce,"25,30,32,34","[25, 30, 32, 34]",0,PASS,Completed scored window with a finite trajectory,11.921228394843638,,,1305031463.5277,5,0.1324114355260577,0.12656242628748318,0.10305061428288498,0.17418583963729437,0.03891966739704652,,,2026-07-31T16:07:33.789753+00:00
bruteforce,"29,34,39,60","[29, 34, 39, 60]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.924797307699919,21,1305031462.65966,,,,,,,,,,2026-07-31T16:07:39.731696+00:00
bruteforce,"5,8,14,50","[5, 8, 14, 50]",0,PASS,Completed scored window with a finite trajectory,12.047185663599521,,,1305031463.5277,7,0.16267025027111212,0.14701791719891058,0.12431709855565441,0.30974204136097166,0.06962285792583153,,,2026-07-31T16:07:51.796124+00:00
bruteforce,"6,14,40,63","[6, 14, 40, 63]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.8556352108716965,18,1305031462.559862,,,,,,,,,,2026-07-31T16:07:57.668238+00:00
bruteforce,"15,17,20,26","[15, 17, 20, 26]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,6.556610595900565,17,1305031462.52767,,,,,,,,,,2026-07-31T16:08:04.241475+00:00
bruteforce,"18,41,43,50","[18, 41, 43, 50]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.913717187941074,18,1305031462.559862,,,,,,,,,,2026-07-31T16:08:10.171278+00:00
bruteforce,"11,15,50,62","[11, 15, 50, 62]",0,PASS,Completed scored window with a finite trajectory,11.483139019925147,,,1305031463.5277,3,0.05761385797296557,0.053233554683677374,0.057072320049341006,0.07809599120257278,0.022035092154764853,,,2026-07-31T16:08:21.675839+00:00
bruteforce,"17,18,20,63","[17, 18, 20, 63]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,5.3876535119488835,17,1305031462.52767,,,,,,,,,,2026-07-31T16:08:27.084840+00:00
bruteforce,"1,5,29,41","[1, 5, 29, 41]",0,PASS,Completed scored window with a finite trajectory,11.600994995329529,,,1305031463.5277,4,0.10158903524588268,0.08840499095388228,0.08417499463397701,0.1619089991584013,0.050048872680942415,,,2026-07-31T16:08:38.705421+00:00
bruteforce,"24,31,40,50","[24, 31, 40, 50]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,6.766100365668535,18,1305031462.559862,,,,,,,,,,2026-07-31T16:08:45.489954+00:00
bruteforce,"14,15,41,43","[14, 15, 41, 43]",0,FAIL_TRACKING_RUNTIME,Known non-finite-pose/Open3D runtime signature,6.249353445135057,17,1305031462.52767,,,,,,,,,,2026-07-31T16:08:51.757218+00:00
