rank,channels,source_stage,ate_rmse_cm,ate_mean_cm
1,"20,26,62,63",bruteforce,3.7565851879487724,3.706262824955442
2,"14,18,23,33",bruteforce,4.172665337879001,3.51781847405143
3,"1,15,35,60",bruteforce,4.538782206378846,4.09615677553745
4,"17,24,59,63",bruteforce,4.683840552971726,4.442272118710048
5,"14,18,35,56",bruteforce,4.943813396811465,4.570265286397172
6,"11,18,20,29",bruteforce,5.0102170083200175,4.601116107181771
7,"14,27,30,60",bruteforce,5.535500317686788,5.022917604481898
8,"5,8,24,30",bruteforce,5.56702905173844,4.796644381016887
9,"5,6,29,30",bruteforce,5.71151142007121,5.43102503272045
10,"11,15,50,62",bruteforce,5.7613857972965565,5.323355468367738
11,"0,27,29,52",bruteforce,5.787762585073934,5.5265823144881985
12,"6,24,34,62",bruteforce,6.382702823003646,5.814962374986201
13,"17,31,35,56",bruteforce,7.095043376731218,6.474748351967635
14,"5,40,50,60",bruteforce,7.238426612473542,6.805154332380768
15,"11,35,60,63",bruteforce,7.273447306987717,6.779630382953868
16,"5,24,26,59",bruteforce,7.430812588371789,6.792878054240094
17,"17,31,39,62",bruteforce,8.497157509445682,7.58001071069149
18,"26,29,59,60",bruteforce,8.530711278295145,7.667581455911996
19,"15,23,25,62",bruteforce,8.609846206910959,8.01437186045416
20,"14,32,41,59",bruteforce,8.871904100153117,7.6255098118018045
21,"1,23,26,59",bruteforce,9.330356509584346,8.524043304327405
22,"14,29,30,39",bruteforce,9.472635383930598,9.148629866281372
23,"0,10,35,50",bruteforce,9.866363665183602,9.33763642565724
24,"1,27,35,43",bruteforce,10.138072681040004,8.61659852457211
25,"1,5,29,41",bruteforce,10.158903524588268,8.840499095388228
26,"23,56,61,62",bruteforce,10.266347712288173,9.680205002836972
27,"30,32,35,61",bruteforce,10.376728808289991,10.001945303054255
28,"23,29,30,52",bruteforce,10.389291113789234,8.980651393716526
29,"8,26,60,63",bruteforce,10.4962343838918,8.97664559886476
30,"25,27,60,62",bruteforce,10.991571222972787,9.451017094409114
31,"17,23,29,33",bruteforce,11.054388055179682,10.882657769814989
32,"1,8,34,40",bruteforce,11.139093990333373,10.926183283721477
33,"8,25,30,50",bruteforce,11.142738504465791,10.417803947468766
34,"0,34,43,50",bruteforce,11.247085451777236,10.80098789253478
35,"5,8,18,23",bruteforce,11.483208289296718,10.111649606349737
36,"5,29,43,63",bruteforce,11.495571403789105,11.350762015441534
37,"33,34,35,50",bruteforce,12.332032811743371,9.95751182382585
38,"15,18,23,34",bruteforce,12.514624268139835,11.941073587037854
39,"5,33,35,63",bruteforce,12.529840645058735,12.047406991172696
40,"25,30,32,34",bruteforce,13.241143552605768,12.656242628748318
41,"11,26,61,62",bruteforce,13.374358630535719,11.971739559705089
42,"0,6,8,20",bruteforce,13.899854990097479,12.842968596380308
43,"5,20,29,60",bruteforce,14.643035740261274,14.545094102044013
44,"15,29,30,40",bruteforce,15.009750127429704,14.141510199546431
45,"8,14,26,60",bruteforce,15.310244111723371,14.696838067376383
46,"5,8,14,50",bruteforce,16.267025027111213,14.701791719891059
47,"33,35,39,61",bruteforce,16.478147103010883,14.895700928199398
48,"1,40,59,63",bruteforce,18.363141944810856,17.836771024056386
49,"20,29,50,56",bruteforce,18.431733094602087,17.72237194607083
50,"8,17,25,29",bruteforce,18.695991236208652,18.243408406607415
51,"20,29,31,63",bruteforce,19.538955161457423,18.860135041116727
52,"0,8,24,39",bruteforce,20.48121568226531,18.882748256039612
53,"17,20,27,35",bruteforce,20.717923508974756,20.44390912693976
