channels,observations,passes,pass_rate,ate_rmse_cm_mean,ate_rmse_cm_std,ate_mean_cm_mean,ate_mean_cm_std,rotation_ape_rmse_deg_mean,rotation_ape_rmse_deg_std,translation_rpe_rmse_cm_mean,translation_rpe_rmse_cm_std,rotation_rpe_rmse_deg_mean,rotation_rpe_rmse_deg_std
"8,40,50,59",3,3,1.0,6.485579818541115,0.0,6.191321478860625,0.0,79.97818600133289,0.0,1.832162182995675,0.0,1.406410392746681,0.0
"5,8,24,30",3,3,1.0,7.696502289576536,0.0,7.1862321007750625,0.0,75.07956730159374,0.0,1.92988497421556,2.220446049250313e-16,1.598208489079331,0.0
"5,24,30,59",3,3,1.0,8.06194614420115,0.0,7.62333066819518,0.0,95.97507007582665,1.4210854715202004e-14,1.8380686893910507,0.0,1.452781918077778,0.0
"5,26,59,60",3,3,1.0,8.116705797368011,0.0,7.899737504436362,0.0,46.07771533918024,7.105427357601002e-15,2.2028021508572357,0.0,1.603438186943294,2.220446049250313e-16
"5,17,24,59",3,3,1.0,8.703277766662637,0.0,8.25767229743171,0.0,80.93478146461156,0.0,2.2983836031340803,0.0,1.5553112017730955,0.0
"5,30,50,59",3,3,1.0,8.902513818703332,0.0,8.43759510206419,0.0,107.77517191187992,1.4210854715202004e-14,2.2312362200103206,0.0,1.5648277714607108,2.220446049250313e-16
"14,24,30,59",3,3,1.0,9.41197419549589,0.0,8.464793828669661,0.0,106.81080695237524,1.4210854715202004e-14,1.6983515218394543,0.0,1.4013030120989338,0.0
"5,17,19,59",3,3,1.0,9.789267112193139,0.0,8.612937058925672,0.0,73.07228407689566,0.0,2.1189316037519923,0.0,1.3415033481067926,0.0
"8,14,24,30",3,3,1.0,9.86216896846192,0.0,9.255157616585727,0.0,80.6388485011596,0.0,1.8439318374086728,2.220446049250313e-16,1.3754832881998922,0.0
"5,40,59,60",3,3,1.0,10.03943063087149,0.0,9.15505690570976,0.0,68.64867515684104,0.0,1.977212912966716,2.220446049250313e-16,1.4846858214438141,0.0
"18,25,39,59",3,3,1.0,10.282054400170065,0.0,9.096708018350355,0.0,82.55158799706687,0.0,1.8840769064875067,0.0,1.3277074216535796,0.0
"6,17,25,32",3,3,1.0,10.397096070311191,0.0,9.725642513383889,0.0,81.95531406515863,0.0,1.8685525434962098,0.0,1.2936231309453385,0.0
"6,17,25,33",3,3,1.0,10.713667306544115,0.0,9.966258217500783,0.0,86.96472256461514,0.0,1.834305075291781,0.0,1.2739348152048842,0.0
"5,8,20,60",3,3,1.0,10.756675741463072,0.0,10.190077376149764,0.0,76.00694809330956,0.0,1.656998133684312,0.0,1.2932372751998187,0.0
"8,14,52,56",3,3,1.0,11.067207013618761,1.7763568394002505e-15,10.151579019531214,0.0,80.25333656309388,0.0,1.6433467269150983,0.0,1.330723619227176,0.0
"0,24,30,56",3,3,1.0,13.218146349488746,0.0,12.29698023088349,0.0,82.31247381441736,0.0,1.3500267370038024,2.220446049250313e-16,1.149930722920299,0.0
"30,39,56,63",3,3,1.0,13.739113953337357,1.7763568394002505e-15,12.73666761909574,0.0,89.84906375201113,0.0,1.3498455444251425,0.0,1.1499397066806079,0.0
"30,39,41,56",3,3,1.0,13.921230417122246,0.0,12.883656432518045,0.0,97.31414968238387,1.4210854715202004e-14,1.3291304205967909,0.0,1.1821140160730295,0.0
"6,17,18,43",3,3,1.0,15.01596463526497,0.0,13.719906139500546,0.0,82.0210244988897,0.0,1.548482789332225,2.220446049250313e-16,1.0972372879261838,0.0
"6,18,39,63",3,3,1.0,15.61869942349882,0.0,14.00018430646053,0.0,91.94484749994005,1.4210854715202004e-14,1.6417529299305285,0.0,1.097122533777193,0.0
