selection_order,channels,selection_reasons,source_stage,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg
1,"8,40,50,59",top_ate+pareto,bruteforce,6.485579818541115,6.191321478860625,1.832162182995675,5.5492435615202425,1.406410392746681,3.8011122388916023
2,"5,8,24,30",top_ate,bruteforce,7.696502289576536,7.1862321007750625,1.9298849742155597,4.958300847933271,1.598208489079331,4.095730922836805
3,"5,24,30,59",top_ate,bruteforce,8.06194614420115,7.62333066819518,1.8380686893910507,4.740711093965628,1.452781918077778,2.99323334719859
4,"5,26,59,60",top_ate,bruteforce,8.116705797368011,7.899737504436362,2.2028021508572357,5.4961412828199965,1.6034381869432939,4.4806430467198215
5,"5,17,24,59",top_ate,bruteforce,8.703277766662637,8.25767229743171,2.2983836031340803,5.950215196547817,1.5553112017730955,3.87899626371525
6,"5,30,50,59",top_ate,bruteforce,8.902513818703332,8.43759510206419,2.2312362200103206,5.9707587526354775,1.564827771460711,4.124288053583652
7,"14,24,30,59",top_ate+pareto,bruteforce,9.41197419549589,8.464793828669661,1.6983515218394543,4.772169600951423,1.4013030120989338,3.993262596653067
8,"5,17,19,59",top_ate+pareto,rescue,9.789267112193139,8.612937058925672,2.1189316037519923,5.992669804917021,1.3415033481067926,3.2211585611491205
9,"8,14,24,30",top_ate+pareto,bruteforce,9.86216896846192,9.255157616585727,1.843931837408673,5.706987049612754,1.3754832881998922,2.9824406745251015
10,"5,40,59,60",top_ate,bruteforce,10.03943063087149,9.15505690570976,1.9772129129667158,5.777591307873791,1.4846858214438141,4.278251227807457
11,"18,25,39,59",pareto,bruteforce,10.282054400170065,9.096708018350355,1.8840769064875067,5.8739711074718866,1.3277074216535796,3.4671225957539145
12,"6,17,25,32",pareto,bruteforce,10.397096070311191,9.725642513383889,1.8685525434962098,5.920150530427132,1.2936231309453385,3.0939300779515944
13,"6,17,25,33",pareto,bruteforce,10.713667306544115,9.966258217500783,1.834305075291781,5.932453840575546,1.2739348152048842,2.716844063912408
14,"5,8,20,60",pareto,bruteforce,10.756675741463072,10.190077376149764,1.656998133684312,4.222323745379736,1.2932372751998187,2.704581103988391
15,"8,14,52,56",pareto,bruteforce,11.06720701361876,10.151579019531214,1.6433467269150983,4.216477824130411,1.330723619227176,2.8739251781743955
16,"30,39,41,56",low_translation_rpe,bruteforce,13.921230417122246,12.883656432518045,1.3291304205967909,2.1903087210890457,1.1821140160730295,2.2287141504833254
17,"30,39,56,63",low_translation_rpe,bruteforce,13.739113953337355,12.73666761909574,1.3498455444251425,2.08200356511361,1.1499397066806079,2.211746766056516
18,"0,24,30,56",low_translation_rpe,bruteforce,13.218146349488746,12.29698023088349,1.3500267370038022,2.0866926500888408,1.149930722920299,2.2118365589616813
19,"6,18,39,63",low_rotation_rpe,bruteforce,15.61869942349882,14.00018430646053,1.6417529299305285,3.8885989004912234,1.097122533777193,2.3090190080361443
20,"6,17,18,43",low_rotation_rpe,bruteforce,15.01596463526497,13.719906139500546,1.5484827893322248,2.3143667840732753,1.0972372879261838,1.72150963577649
