label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
candidate_0001_ch_8_40_50_59,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"8,40,50,59","[8, 40, 50, 59]",0,PASS,Completed the full matched RGB-D sequence,63.53225166800257,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.543517716045916,0.47772788633649726,0.38644993409606504,0.9677964814845808,0.25920566018555935,27.933662989544814,26.501004720309613,50.205129871284456,0.0183557853960955,0.1124930054441364,1.1890387118905372,12.412183025768185,0.4971042748753386,0.47427511560391156,0.7648187140682857,0.47819593854831205,0.4535381708638664,0.8257765320992979,431,0.47862,0.454173,571,7.129836,13.312107000000001,0,0.883,0.992,2328000.0,0.057808,428,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0001_ch_8_40_50_59/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0001_ch_8_40_50_59/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0001_ch_8_40_50_59/replicate_0.log,2026-08-07T22:40:23.813533+00:00
candidate_0002_ch_5_8_24_30,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"5,8,24,30","[5, 8, 24, 30]",0,PASS,Completed the full matched RGB-D sequence,59.97394606399757,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2724266654568939,0.2639801039048842,0.2627137793697711,0.3975132433943584,0.0673111639650433,22.003892356415207,21.344701668886263,33.28252668166347,0.015298558133957406,0.1531368085427094,0.9867197140843739,10.275480924560824,0.26889585298192065,0.2593172715095388,1.055742510562106,0.2582266381242686,0.24726843332421386,1.0907913764776682,420,0.258377,0.247481,571,7.710486,184.62721249999998,0,0.903,0.993,1193000.0,0.0318,411,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0002_ch_5_8_24_30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0002_ch_5_8_24_30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0002_ch_5_8_24_30/replicate_0.log,2026-08-07T22:41:24.130297+00:00
candidate_0003_ch_5_24_30_59,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"5,24,30,59","[5, 24, 30, 59]",0,PASS,Completed the full matched RGB-D sequence,60.46613306499785,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.5059126498415178,0.4606176613003097,0.4576236107358526,0.8565138489146339,0.20923426910498966,30.253539189304483,28.559074604763975,42.80523572540844,0.018487499805278224,0.22717255866600888,1.2305002028971432,16.67198655335447,0.46495354178430737,0.42989242040325465,0.7868225810588525,0.46372807969280216,0.4340834843864246,0.8050902519525959,421,0.464222,0.434886,571,7.920722,26.375562000000002,0,0.904,0.992,12690000.0,0.1624,412,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0003_ch_5_24_30_59/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0003_ch_5_24_30_59/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0003_ch_5_24_30_59/replicate_0.log,2026-08-07T22:42:24.963489+00:00
candidate_0004_ch_5_26_59_60,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"5,26,59,60","[5, 26, 59, 60]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,43.387538007009425,-15,1305031472.4636,550,,,,573,,,,,,,,,,,,,,,,,,,,,,,549,7.3046869999999995,1585.032061649987,1,0.0,0.993,13690000.0,0.011445,67,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0004_ch_5_26_59_60/replicate_0.log,2026-08-07T22:43:08.398097+00:00
candidate_0005_ch_5_17_24_59,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"5,17,24,59","[5, 17, 24, 59]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,46.95280751500104,-15,1305031472.3636,547,,,,573,,,,,,,,,,,,,,,,,,,,,,,546,10.285387,2580.964794599992,1,0.0,0.993,6.165e+25,32850626.0,243,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0005_ch_5_17_24_59/replicate_0.log,2026-08-07T22:43:55.388553+00:00
candidate_0006_ch_5_30_50_59,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"5,30,50,59","[5, 30, 50, 59]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,28.063016801999765,-15,1305031462.5277,252,,,,573,,,,,,,,,,,,,,,,,,,,,,,251,7.704017,17.90795784999999,1,0.0,0.993,884200.0,0.019008,165,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0006_ch_5_30_50_59/replicate_0.log,2026-08-07T22:44:23.492302+00:00
candidate_0007_ch_14_24_30_59,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"14,24,30,59","[14, 24, 30, 59]",0,PASS,Completed the full matched RGB-D sequence,57.870732250012225,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.650084017934994,0.5957331288341893,0.5528782881055857,1.0759068067510182,0.2602138919887499,36.230081178941255,34.83085218748562,51.94929762572018,0.020240852180598422,0.18209297761982182,1.1595282603261605,13.01210125318292,0.5607892729703053,0.5332838492638632,0.6694330742387113,0.5673760164350865,0.5459833736212181,0.6844391865300605,422,0.567796,0.546669,571,9.333508,960.1277465000001,0,0.896,0.992,7553000.0,0.017746,294,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0007_ch_14_24_30_59/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0007_ch_14_24_30_59/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0007_ch_14_24_30_59/replicate_0.log,2026-08-07T22:45:21.696193+00:00
candidate_0008_ch_8_14_24_30,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"8,14,24,30","[8, 14, 24, 30]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,28.4243659349886,-15,1305031462.9955,266,,,,573,,,,,,,,,,,,,,,,,,,,,,,265,9.759664,44.46473119999998,1,0.0,0.993,761800.0,0.01321,153,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0008_ch_8_14_24_30/replicate_0.log,2026-08-07T22:45:50.161678+00:00
candidate_0009_ch_5_40_59_60,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"5,40,59,60","[5, 40, 59, 60]",0,PASS,Completed the full matched RGB-D sequence,52.046304532996146,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2641007215801133,0.2544941287067532,0.2593177804589763,0.4079903094977865,0.07058278538657299,21.101178057877263,20.24162798970615,28.827226168728266,0.012997769146629737,0.13118589910814102,0.8512471018182095,7.89363687711027,0.25614637481006836,0.24571805301708904,1.0837927840843695,0.2687843293382848,0.26069360485937226,1.082281740694179,426,0.268458,0.260365,571,6.980486,3097.875,0,0.89,0.992,638600.0,0.058278,84,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0009_ch_5_40_59_60/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0009_ch_5_40_59_60/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0009_ch_5_40_59_60/replicate_0.log,2026-08-07T22:46:42.539026+00:00
candidate_0010_ch_15_25_34_52,MVS PASS; baseline+2% ATE and RPE-safe second-round candidate,"15,25,34,52","[15, 25, 34, 52]",0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,41.5260602789931,-15,1305031472.4956,551,,,,573,,,,,,,,,,,,,,,,,,,,,,,550,6.987084,2127.3458498000023,1,0.0,0.993,6207000.0,0.029649,29,,,/home/melody/code/individual_project/channel_selection_results/step_e_full_sequence_evaluation/second_round_baseline_plus2_rpe_safe/artifacts/candidate_0010_ch_15_25_34_52/replicate_0.log,2026-08-07T22:47:24.105004+00:00
