seed_index,seed_channels,cardinality,channels,path_status,single_run_primary_ate_mean_cm,evaluation_label
1,"[0, 5]",2,"[0, 5]",active,8.0837,g_pair_seed_sweep_d00_d05
1,"[0, 5]",3,"[0, 5, 18]",active,8.4908,g_s01_k03_from_d00_d05_add_d18
1,"[0, 5]",4,"[0, 5, 18, 30]",active,7.1673,g_s01_k04_from_d00_d05_d18_add_d30
1,"[0, 5]",5,"[0, 5, 6, 18, 30]",active,7.6408000000000005,g_s01_k05_from_d00_d05_d18_d30_add_d06
1,"[0, 5]",6,"[0, 5, 6, 17, 18, 30]",active,6.9553,g_s01_k06_from_d00_d05_d06_d18_d30_add_d17
2,"[1, 5]",2,"[1, 5]",active,9.3928,g_pair_seed_sweep_d01_d05
2,"[1, 5]",3,"[1, 5, 15]",active,9.4676,g_s02_k03_from_d01_d05_add_d15
2,"[1, 5]",4,"[1, 5, 13, 15]",active,8.8108,g_s02_k04_from_d01_d05_d15_add_d13
2,"[1, 5]",5,"[1, 5, 13, 15, 31]",active,9.0418,g_s02_k05_from_d01_d05_d13_d15_add_d31
2,"[1, 5]",6,"[1, 5, 13, 15, 30, 31]",active,9.8604,g_s02_k06_from_d01_d05_d13_d15_d31_add_d30
3,"[4, 22]",2,"[4, 22]",active,10.0948,g_pair_seed_sweep_d04_d22
3,"[4, 22]",3,"[4, 15, 22]",active,9.2075,g_s03_k03_from_d04_d22_add_d15
3,"[4, 22]",4,"[4, 15, 22, 25]",active,9.9548,g_s03_k04_from_d04_d15_d22_add_d25
3,"[4, 22]",5,"[4, 10, 15, 22, 25]",active,8.6842,g_s03_k05_from_d04_d15_d22_d25_add_d10
3,"[4, 22]",6,"[3, 4, 10, 15, 22, 25]",active,8.6384,g_s03_k06_from_d04_d10_d15_d22_d25_add_d03
4,"[11, 23]",2,"[11, 23]",active,10.615,g_pair_seed_sweep_d11_d23
4,"[11, 23]",3,"[4, 11, 23]",active,12.117600000000001,g_s04_k03_from_d11_d23_add_d04
4,"[11, 23]",4,"[4, 11, 15, 23]",active,8.916300000000001,g_s04_k04_from_d04_d11_d23_add_d15
4,"[11, 23]",5,"[4, 11, 15, 18, 23]",active,9.1785,g_s04_k05_from_d04_d11_d15_d23_add_d18
4,"[11, 23]",6,"[4, 8, 11, 15, 18, 23]",active,12.1197,g_s04_k06_from_d04_d11_d15_d18_d23_add_d08
