tags,candidate_key,channels,observations_saved,pass_count,historical_ate_mean_cm,historical_ate_std_cm,historical_ate_median_cm,historical_ate_min_cm,historical_ate_max_cm,allframe_se3_ate_rmse_mean_cm,historical_rpe_rmse_mean_cm,runtime_mean_seconds,labels
Lstar_single,"5,6,17,18,28,30","[d5,d6,d17,d18,d28,d30]",3,3,6.7335,0.0,6.7335,6.7335,6.7335,11.764025181269325,1.3403,52.3434592786701,swap_k06_0024_d05_d06_d17_d18_d28_d30
G6,"0,5,6,17,18,30","[d0,d5,d6,d17,d18,d30]",3,3,6.9553,0.0,6.9553,6.9553,6.9553,11.824288465216659,1.3857,52.14938689533543,g_s01_k06_from_d00_d05_d06_d18_d30_add_d17
G4,"0,5,18,30","[d0,d5,d18,d30]",3,3,7.1673,0.0,7.1673,7.1673,7.1673,11.500784837805183,1.8872,49.768106389669505,g_s01_k04_from_d00_d05_d18_add_d30
G5,"0,5,6,18,30","[d0,d5,d6,d18,d30]",3,3,7.640800000000001,1.0877919644084146e-15,7.6408000000000005,7.6408000000000005,7.6408000000000005,12.670755025658794,1.3711,51.37572694933018,g_s01_k05_from_d00_d05_d18_d30_add_d06
G2,"0,5","[d0,d5]",3,3,8.0837,0.0,8.0837,8.0837,8.0837,11.997500599371913,1.3788,48.05722998266174,g_pair_seed_sweep_d00_d05
Rstar_single,"0,4,10,22,26","[d0,d4,d10,d22,d26]",3,3,8.3566,0.0,8.3566,8.3566,8.3566,12.971755954881353,1.3780000000000001,53.153489705997345,r_k05_0008_d00_d04_d10_d22_d26
G3,"0,5,18","[d0,d5,d18]",3,3,8.4908,0.0,8.4908,8.4908,8.4908,13.22313545296563,1.7895,49.17826923333632,g_s01_k03_from_d00_d05_add_d18
R4,"0,4,13,26","[d0,d4,d13,d26]",3,3,10.4465,0.0,10.4465,10.4465,10.4465,13.357727537848637,1.3228,51.745110218670256,r_k04_0006_d00_d04_d13_d26
B4_historical_bqs_prefix,"4,9,10,15","[d4,d9,d10,d15]",3,3,17.8502,0.0,17.8502,17.8502,17.8502,19.57017336715164,1.8732999999999997,53.38583852364294,bqs_historical_top4
B5_historical_bqs_top5,"4,9,10,15,30","[d4,d9,d10,d15,d30]",3,3,18.494,0.0,18.494,18.494,18.494,19.85563391296819,1.7333999999999998,53.23427234535726,bqs_historical_top5
unet_all32,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",all32,3,3,18.932199999999998,0.0,18.932199999999998,18.932199999999998,18.932199999999998,21.55958729906376,1.1759,54.2482282389974,unet_all32
gray_current,gray,gray,3,0,,,,,,,,,gray_current
