label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_current,current photometric gray control,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,20.73040305500035,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/gray_current/replicate_0.log,2026-08-15T14:24:37.808952+00:00
unet_enc0_all16,unselected UNet enc0 all16-channel control,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,45.991380966996076,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.15760437012825643,0.14636600079361273,0.14017203317328442,0.30480151473840256,0.05844767998140397,7.97759816269143,7.719387446241944,11.88961986196324,0.010483385939912337,0.09068865101155739,0.7041357760222134,8.589208222744716,0.1411851714644025,0.13030334233037685,1.0887716444178521,0.14075699712492867,0.12954137986018555,1.0924760577085497,436,0.140689,0.129502,0.01327,571,36.345081,235.6076505,0,0.896,0.993,11730.0,0.002621,0,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/unet_enc0_all16/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/unet_enc0_all16/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/unet_enc0_all16/replicate_0.log,2026-08-15T14:25:24.436021+00:00
bqs_historical_top3,"0621 BQS-ranked enc0 Top-3 [d15,d10,d0], re-evaluated on this protocol","0,10,15","[0, 10, 15]",0,PASS,Completed the full matched RGB-D sequence,46.00401105299534,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.24935963256724347,0.23977075389594216,0.23909316049865117,0.37673941655434795,0.0684851219626731,19.983520249737595,18.938946514887196,31.106135579483222,0.011499774348518444,0.07166101642693072,0.648166023665879,2.7146462621149587,0.2293195407933801,0.2211250286514947,1.1320175016966303,0.23627825395109692,0.2304612449674103,1.132444493525466,429,0.236158,0.230342,0.01721,571,17.975546,1875.3989259999998,0,0.874,0.992,4953.0,0.002103,0,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/bqs_historical_top3/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/bqs_historical_top3/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/bqs_historical_top3/replicate_0.log,2026-08-15T14:26:11.087767+00:00
bqs_historical_top5,"0621 BQS-ranked enc0 Top-5 [d15,d10,d0,d14,d3], direct ATE control","0,3,10,14,15","[0, 3, 10, 14, 15]",0,PASS,Completed the full matched RGB-D sequence,45.47583017099532,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1724161497749357,0.1636645031399549,0.17353544904223736,0.25952156467787985,0.054233376394659,11.166731093105042,10.82108561835215,16.148614700592354,0.012804071358934112,0.191451528591902,0.6163218387775907,6.546514969535741,0.14471955363878297,0.13357862071007026,1.1225514173241138,0.14817476626621146,0.1373698464797761,1.1223007881699116,435,0.148016,0.137216,0.015924,571,9.992242,175.80830400000002,0,0.897,0.992,6029.0,0.003134,0,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/bqs_historical_top5/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/bqs_historical_top5/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/bqs_historical_top5/replicate_0.log,2026-08-15T14:26:57.215242+00:00
g_singleton_d00,direct full-sequence singleton ATE sweep,0,[0],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,17.657401300006313,-15,1305031459.4597,167,,,,573,,,,,,,,,,,,,,,,,,,,,,,,166,13.743701,4045.6325193999955,1,0.0,0.995,3163000000.0,0.041087,57,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d00/replicate_0.log,2026-08-15T14:27:14.934865+00:00
g_singleton_d01,direct full-sequence singleton ATE sweep,1,[1],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,9.783801141995355,-15,1305031454.4275,32,,,,573,,,,,,,,,,,,,,,,,,,,,,,,31,2.1157554999999997,182.99430564999957,1,0.0,0.992,548800000000.0,0.733542,9,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d01/replicate_0.log,2026-08-15T14:27:24.752015+00:00
g_singleton_d02,direct full-sequence singleton ATE sweep,2,[2],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,21.818529123003827,-15,1305031462.6925,257,,,,573,,,,,,,,,,,,,,,,,,,,,,,,256,1.582116,1496.870776399996,1,0.0,0.993,2134000000000000.0,0.856627,9,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d02/replicate_0.log,2026-08-15T14:27:46.604341+00:00
g_singleton_d03,direct full-sequence singleton ATE sweep,3,[3],0,PASS,Completed the full matched RGB-D sequence,48.32856232000631,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2540205785676362,0.23936299467127164,0.22914359446183583,0.521144685803231,0.0850400559609259,18.131100036411837,17.543644493212344,25.64089877838883,0.020588312322894597,0.3645281209074455,1.187772320985678,15.567437175213298,0.2523407485253609,0.23673117021435394,1.0362730686724893,0.25982495736214595,0.2454324401998543,1.0356370593332782,429,0.259748,0.245318,0.025176,571,1.317529,5602.675536999999,0,0.77,0.993,1816000000.0,0.393968,83,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d03/replicate_0.log,2026-08-15T14:28:35.563933+00:00
g_singleton_d04,direct full-sequence singleton ATE sweep,4,[4],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,17.776876767005888,-15,1305031459.4597,167,,,,573,,,,,,,,,,,,,,,,,,,,,,,,166,1.556166,260.3331787999982,1,0.0,0.994,21660000.0,0.009541,10,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d04/replicate_0.log,2026-08-15T14:28:53.395755+00:00
g_singleton_d05,direct full-sequence singleton ATE sweep,5,[5],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,21.203027470997768,-15,1305031459.4597,167,,,,573,,,,,,,,,,,,,,,,,,,,,,,,166,3.057242,457.82506099999665,1,0.0,0.994,512100000.0,0.240985,59,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d05/replicate_0.log,2026-08-15T14:29:14.644815+00:00
g_singleton_d06,direct full-sequence singleton ATE sweep,6,[6],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,9.342703564994736,-15,1305031454.8918,46,,,,573,,,,,,,,,,,,,,,,,,,,,,,,45,145.715179,674.4109465500002,1,0.0,0.997,2987000000.0,0.81409,29,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d06/replicate_0.log,2026-08-15T14:29:24.021115+00:00
g_singleton_d07,direct full-sequence singleton ATE sweep,7,[7],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,26.33597534301225,-15,1305031463.5277,282,,,,573,,,,,,,,,,,,,,,,,,,,,,,,281,1.5057429999999998,6145.252856650003,1,0.0,0.994,9.549e+29,191066784.0,47,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d07/replicate_0.log,2026-08-15T14:29:50.393554+00:00
g_singleton_d08,direct full-sequence singleton ATE sweep,8,[8],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,17.83866908600612,-15,1305031459.8597,177,,,,573,,,,,,,,,,,,,,,,,,,,,,,,176,10.265128,70.35662049999995,1,0.0,0.996,6793000.0,0.044313,71,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d08/replicate_0.log,2026-08-15T14:30:08.271014+00:00
g_singleton_d09,direct full-sequence singleton ATE sweep,9,[9],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,23.1686388990056,-15,1305031463.0958,269,,,,573,,,,,,,,,,,,,,,,,,,,,,,,268,6.2204,3633.456323399996,1,0.0,0.993,706100.0,0.038537,64,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d09/replicate_0.log,2026-08-15T14:30:31.474498+00:00
g_singleton_d10,direct full-sequence singleton ATE sweep,10,[10],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,7.937682199000847,-15,1305031454.6595,39,,,,573,,,,,,,,,,,,,,,,,,,,,,,,38,3.89765,3774.2184084999994,0,0.943,0.992,9119000.0,0.003218,10,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d10/replicate_0.log,2026-08-15T14:30:39.448433+00:00
g_singleton_d11,direct full-sequence singleton ATE sweep,11,[11],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,10.790945446002297,-15,1305031454.9919,49,,,,573,,,,,,,,,,,,,,,,,,,,,,,,48,17.053173,2079.978918699994,1,0.0,0.995,123000000.0,0.68216,32,,,/home/melody/code/individual_project/channel_selection_results/step_k_unet_enc0_direct_fullseq_greedy/artifacts/g_singleton_d11/replicate_0.log,2026-08-15T14:30:50.274639+00:00
