seed_index,seed_channels,cardinality,channels,path_status,single_run_primary_ate_mean_cm,evaluation_label
1,[3],1,[3],active,24.5318,g_singleton_d03
1,[3],2,"[3, 7]",active,11.1654,g_s01_k02_from_d03_add_d07
1,[3],3,"[3, 7, 12]",active,6.0004,g_s01_k03_from_d03_d07_add_d12
1,[3],4,"[3, 7, 12, 13]",active,7.8374,g_s01_k04_from_d03_d07_d12_add_d13
1,[3],5,"[2, 3, 7, 12, 13]",active,7.095899999999999,g_s01_k05_from_d03_d07_d12_d13_add_d02
1,[3],6,"[2, 3, 7, 12, 13, 14]",active,5.9208,g_s01_k06_from_d02_d03_d07_d12_d13_add_d14
2,"[2, 14]",2,"[2, 14]",active,10.3332,g_pair_seed_sweep_d02_d14
2,"[2, 14]",3,"[2, 3, 14]",active,6.266900000000001,g_s02_k03_from_d02_d14_add_d03
2,"[2, 14]",4,"[2, 3, 12, 14]",active,6.3905,g_s02_k04_from_d02_d03_d14_add_d12
2,"[2, 14]",5,"[1, 2, 3, 12, 14]",active,7.8442,g_s02_k05_from_d02_d03_d12_d14_add_d01
2,"[2, 14]",6,"[1, 2, 3, 8, 12, 14]",active,7.9707,g_s02_k06_from_d01_d02_d03_d12_d14_add_d08
3,"[10, 14]",2,"[10, 14]",active,11.7202,g_pair_seed_sweep_d10_d14
3,"[10, 14]",3,"[10, 12, 14]",active,9.47,g_s03_k03_from_d10_d14_add_d12
3,"[10, 14]",4,"[3, 10, 12, 14]",active,8.8704,g_s03_k04_from_d10_d12_d14_add_d03
3,"[10, 14]",5,"[3, 10, 12, 14, 15]",active,8.573,g_s03_k05_from_d03_d10_d12_d14_add_d15
3,"[10, 14]",6,"[3, 4, 10, 12, 14, 15]",active,8.477500000000001,g_s03_k06_from_d03_d10_d12_d14_d15_add_d04
4,"[6, 12]",2,"[6, 12]",active,11.7958,g_pair_seed_sweep_d06_d12
4,"[6, 12]",3,"[3, 6, 12]",active,8.7621,g_s04_k03_from_d06_d12_add_d03
4,"[6, 12]",4,"[3, 6, 7, 12]",active,8.3302,g_s01_k04_from_d03_d07_d12_add_d06
4,"[6, 12]",5,"[2, 3, 6, 7, 12]",active,8.0814,g_s04_k05_from_d03_d06_d07_d12_add_d02
4,"[6, 12]",6,"[2, 3, 6, 7, 11, 12]",active,7.817,g_s04_k06_from_d02_d03_d06_d07_d12_add_d11
