tags,candidate_key,channels,observations_saved,pass_count,historical_ate_mean_cm,historical_ate_std_cm,historical_ate_median_cm,historical_ate_min_cm,historical_ate_max_cm,allframe_se3_ate_rmse_mean_cm,historical_rpe_rmse_mean_cm,runtime_mean_seconds,labels
G6+Lstar_single,"2,3,7,12,13,14","[d2,d3,d7,d12,d13,d14]",3,3,5.9208,0.0,5.9208,5.9208,5.9208,10.134148428395612,1.0943,44.59027869932955,g_s01_k06_from_d02_d03_d07_d12_d13_add_d14
G3,"3,7,12","[d3,d7,d12]",3,3,6.0004,0.0,6.0004,6.0004,6.0004,9.326600329356742,1.4869999999999999,44.929393628335674,g_s01_k03_from_d03_d07_add_d12
G4,"2,3,12,14","[d2,d3,d12,d14]",3,3,6.3905,0.0,6.3905,6.3905,6.3905,10.636148827016562,1.2390999999999999,44.428518091333295,g_s02_k04_from_d02_d03_d14_add_d12
Rstar_single,"2,4,6","[d2,d4,d6]",3,3,6.6111,0.0,6.6111,6.6111,6.6111,10.993391825079451,1.3308,45.683441206342344,r_k03_0021_d02_d04_d06
G5,"2,3,7,12,13","[d2,d3,d7,d12,d13]",3,3,7.095899999999999,0.0,7.095899999999999,7.095899999999999,7.095899999999999,10.971022211768016,1.3663999999999998,44.86235603600411,g_s01_k05_from_d03_d07_d12_d13_add_d02
R4,"0,2,3,11","[d0,d2,d3,d11]",3,3,7.417700000000001,0.0,7.417700000000001,7.417700000000001,7.417700000000001,12.459666111044294,1.3583,44.978651891011395,r_k04_0001_d00_d02_d03_d11
G2,"2,14","[d2,d14]",3,3,10.3332,0.0,10.3332,10.3332,10.3332,13.12969440216982,1.1982,44.94676585400399,g_pair_seed_sweep_d02_d14
unet_enc0_all16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",all16,3,3,12.9502,0.0,12.9502,12.9502,12.9502,15.760437012825642,1.327,45.14262306233286,unet_enc0_all16
B5_historical_bqs_top5,"0,3,10,14,15","[d0,d3,d10,d14,d15]",3,3,13.7216,0.0,13.7216,13.7216,13.7216,17.24161497749357,1.5924000000000003,44.653126703332724,bqs_historical_top5
B3_historical_bqs_top3,"0,10,15","[d0,d10,d15]",3,3,23.0342,0.0,23.0342,23.0342,23.0342,24.935963256724346,1.7209999999999999,45.267869625327876,bqs_historical_top3
G1,3,[d3],3,3,24.5318,0.0,24.5318,24.5318,24.5318,25.402057856763623,2.5176,47.3074835773344,g_singleton_d03
gray_current,gray,gray,3,0,,,,,,,,,gray_current
