label,candidate_key,enc_level,channels,channel_count,source_fr1_lightswitch_ate_mean_cm,fr1_desk_clean__status,fr1_desk_clean__ate_mean_cm,fr1_desk_clean__rank,fr1_desk_lightswitch__status,fr1_desk_lightswitch__ate_mean_cm,fr1_desk_lightswitch__rank,fr1_desk_flashlight__status,fr1_desk_flashlight__ate_mean_cm,fr1_desk_flashlight__rank,fr2_desk_clean__status,fr2_desk_clean__ate_mean_cm,fr2_desk_clean__rank,fr2_desk_lightswitch__status,fr2_desk_lightswitch__ate_mean_cm,fr2_desk_lightswitch__rank,fr2_desk_flashlight__status,fr2_desk_flashlight__ate_mean_cm,fr2_desk_flashlight__rank,fr3_long_office_household_clean__status,fr3_long_office_household_clean__ate_mean_cm,fr3_long_office_household_clean__rank,fr3_long_office_household_lightswitch__status,fr3_long_office_household_lightswitch__ate_mean_cm,fr3_long_office_household_lightswitch__rank,fr3_long_office_household_flashlight__status,fr3_long_office_household_flashlight__ate_mean_cm,fr3_long_office_household_flashlight__rank
enc0_k01_single_d03,enc0:3,0,[3],1,24.5318,FAIL_TRACKING_NAN,,,PASS,24.5318,13,FAIL_TRACKING_NAN,,,PASS,3.6332999999999998,4,FAIL_TRACKING_NAN,,,PASS,3.7944,4,PASS,14.234,9,FAIL_TRACKING_NAN,,,PASS,14.396,9
enc0_k02_d02_d14,"enc0:2,14",0,"[2,14]",2,10.3332,PASS,5.2678,1,PASS,10.3332,8,PASS,17.5672,11,PASS,3.7052,5,FAIL_TRACKING_NAN,,,PASS,3.9813,5,PASS,11.4093,5,PASS,35.1009,10,PASS,11.978900000000001,5
enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",0,"[3,7,12]",3,6.0004,PASS,11.4312,8,PASS,6.0004,2,PASS,8.1473,2,PASS,3.0303,1,PASS,6.8461,8,PASS,3.0736,1,PASS,10.4039,2,PASS,13.842699999999999,3,PASS,10.469299999999999,3
enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",0,"[2,3,12,14]",4,6.3905,PASS,6.813,2,PASS,6.3905,3,PASS,5.976299999999999,1,PASS,3.4186,2,PASS,5.1419,1,PASS,3.5523,2,PASS,10.781,3,PASS,24.151500000000002,7,PASS,10.1457,2
enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",0,"[2,3,7,12,13,14]",6,5.9208,PASS,9.8457,4,PASS,5.9208,1,PASS,9.7913,6,PASS,3.4966999999999997,3,PASS,7.0608,9,PASS,3.5597999999999996,3,PASS,10.2805,1,PASS,12.951699999999999,2,PASS,10.0373,1
enc0_all16,enc0:all,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",16,12.9502,PASS,11.344,7,PASS,12.9502,9,PASS,9.2578,5,PASS,4.214799999999999,6,PASS,6.6972000000000005,7,PASS,4.1993,6,PASS,10.809199999999999,4,SKIPPED_BY_SAFETY,,,PASS,10.5238,4
enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15",0,"[0,3,10,14,15]",5,13.7216,PASS,7.6514,3,PASS,13.7216,10,PASS,9.1861,4,PASS,4.249,7,PASS,7.1524,10,PASS,4.3304,7,PASS,12.6889,6,PASS,17.924300000000002,6,PASS,12.666,6
enc1_k02_d00_d05,"enc1:0,5",1,"[0,5]",2,8.0837,PASS,10.9422,6,PASS,8.0837,7,PASS,8.8094,3,PASS,5.6963,12,PASS,6.082400000000001,5,PASS,6.0668,12,PASS,13.874,8,PASS,29.533900000000003,9,PASS,14.4476,10
enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",1,"[0,5,18,30]",4,7.1673,PASS,10.864500000000001,5,PASS,7.1673,6,PASS,13.992799999999999,8,PASS,6.023,13,PASS,6.3292,6,PASS,6.4378,13,PASS,15.1333,11,PASS,17.1518,5,PASS,15.5833,12
enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",1,"[5,6,17,18,28,30]",6,6.7335,PASS,15.1311,11,PASS,6.7335,4,PASS,10.0602,7,PASS,4.8043000000000005,10,PASS,6.0189,4,PASS,4.9727,10,PASS,15.148700000000002,12,PASS,15.4466,4,PASS,14.959200000000001,11
enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",1,"[0,5,6,17,18,30]",6,6.9553,PASS,13.694799999999999,9,PASS,6.9553,5,PASS,17.6194,12,PASS,4.6297,9,PASS,5.3374,3,PASS,4.9033,9,PASS,12.7167,7,PASS,11.3039,1,PASS,12.976299999999998,7
enc1_all32,enc1:all,1,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",32,18.9322,PASS,14.684800000000001,10,PASS,18.932199999999998,12,PASS,14.7334,9,PASS,4.4395999999999995,8,PASS,5.2438,2,PASS,4.5766,8,PASS,14.428199999999999,10,SKIPPED_BY_SAFETY,,,PASS,14.0541,8
enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30",1,"[4,9,10,15,30]",5,18.494,PASS,15.4285,12,PASS,18.494,11,PASS,16.3408,10,PASS,5.6486,11,PASS,10.051599999999999,11,PASS,5.8323,11,PASS,17.445,13,PASS,26.6312,8,PASS,17.6622,13
