label,candidate_key,enc_level,channels,channel_count,pass_count,failure_or_pending_count,safety_skipped_count,mean_dataset_rank_on_passes,median_dataset_rank_on_passes,datasets_won
enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",0,"[2,3,12,14]",4,9,0,0,2.5555555555555554,2.0,2
enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",0,"[3,7,12]",3,9,0,0,3.3333333333333335,2.0,2
enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",0,"[2,3,7,12,13,14]",6,9,0,0,3.3333333333333335,3.0,3
enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15",0,"[0,3,10,14,15]",5,9,0,0,6.555555555555555,6.0,0
enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",1,"[0,5,6,17,18,30]",6,9,0,0,6.888888888888889,7.0,1
enc1_k02_d00_d05,"enc1:0,5",1,"[0,5]",2,9,0,0,8.0,8.0,0
enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",1,"[5,6,17,18,28,30]",6,9,0,0,8.11111111111111,10.0,0
enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",1,"[0,5,18,30]",4,9,0,0,8.777777777777779,8.0,0
enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30",1,"[4,9,10,15,30]",5,9,0,0,11.11111111111111,11.0,0
enc0_all16,enc0:all,0,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",16,8,0,1,6.0,6.0,0
enc0_k02_d02_d14,"enc0:2,14",0,"[2,14]",2,8,1,0,6.25,5.0,1
enc1_all32,enc1:all,1,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]",32,8,0,1,8.375,8.5,0
enc0_k01_single_d03,enc0:3,0,[3],1,5,4,0,7.8,9.0,0
