rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",Enc0 global rank 2; best three-channel configuration,0,0.9993086761147598,3.0303,5.0365,2.7988,25.989702489921672,20.386808865943035,54.09442344937352,0.3991662366994638,6.584881479252587,0.2745425722649001,2.040719205780215,20.869520664899746,0.9488958554403892,3.2285896148444264,1.0199235134555331
2,enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",Enc0 global rank 3; best fixed four-channel configuration,0,0.9993086761147598,3.4186,5.7912,3.5471000000000004,29.679378026616014,23.694133308787006,61.012434015443986,0.45839464441887745,9.432959807174127,0.27974403420222566,2.5242745072380037,24.348646190245795,0.9474146812644446,3.638406960339476,1.0277320243141752
3,enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",Enc0 global rank 1 / accuracy-first configuration,0,0.9993086761147598,3.4966999999999997,5.5313,3.1569,27.554054765042952,21.939699790391952,56.645807936767554,0.4297447068537141,8.381992834454605,0.27751367394148496,2.295531498492187,22.463266167560462,0.9484382709740224,3.684983545644046,1.025976486678667
4,enc0_k01_single_d03,enc0:3,Enc0 best/only viable singleton control,0,0.9993086761147598,3.6332999999999998,7.0238,4.7249,37.451802063207026,30.54042058534957,76.86233797819469,0.5802844043237774,14.54659623016165,0.29293985176896337,3.2548604851783214,31.21681235022428,0.9379305126746496,3.8259016663374084,1.0321723622175214
5,enc0_k02_d02_d14,"enc0:2,14",Enc0 best two-channel configuration,0,0.9993086761147598,3.7052,6.328200000000001,4.1864,32.521418513184045,26.393721118823603,66.17694112107907,0.5110285533281314,12.062240520822685,0.28544458996075994,2.9822288522476543,27.07906789197423,0.9457868102589039,3.916809541284511,1.0320206864079626
6,enc0_all16,enc0:all,Enc0 all-channel control,0,0.9993086761147598,4.214799999999999,6.0813,3.2971,27.349020419352975,21.7295195172753,54.77748806961797,0.41876673558609256,8.297729991421104,0.2772419946197159,2.239704293153327,22.275117652205285,0.9499086186613912,4.377221120957657,1.0355100064919653
7,enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15","Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9993086761147598,4.249,6.7903,4.1206,32.68105236643914,26.18590799521422,66.98482363844927,0.4883485017691246,11.271312589795821,0.27986341236560214,2.838106952026176,27.00953290441463,0.9450465917833999,4.445939370115388,1.047111131827653
8,enc1_all32,enc1:all,Enc1 all-channel control,0,0.9993086761147598,4.4395999999999995,7.4801,4.8697,36.25333820793328,29.162620001057864,78.3268861886189,0.5361253779588065,12.275096759900029,0.27997121745636155,2.461801677108169,30.066791703340414,0.9419995561844831,4.725737773786273,1.0689343664884559
9,enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",Enc1 global rank 2; direct greedy six-channel endpoint,0,0.9993086761147598,4.6297,7.7332,5.2417,38.971503459783065,31.691008381262375,85.08085225626792,0.5847456368888676,14.889937677428092,0.2802869386552876,2.1586341385287913,32.41683265152912,0.9368429933109914,4.8991335033862065,1.071719377219522
10,enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",Enc1 global rank 1 / accuracy-first configuration,0,0.9993086761147598,4.8043000000000005,8.830499999999999,6.5774,46.66854826010144,38.70289109175772,98.14767373233542,0.7145349009792323,21.358803770544682,0.2842442391487286,2.503272471045769,39.47636364537821,0.9280885031231285,5.098128479574489,1.0836626238979963
11,enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30","Enc1 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9993086761147598,5.6486,9.873700000000001,6.5318000000000005,48.45035631615891,39.80120170300783,102.95359187307844,0.7060632957260544,18.3278846131659,0.29352868629516177,3.5686126280623904,41.17693484608209,0.9299701935210061,5.871579188501228,1.0960146007693208
12,enc1_k02_d00_d05,"enc1:0,5",Enc1 minimum viable two-channel configuration,0,0.9993086761147598,5.6963,9.7613,6.329400000000001,45.83823689732161,37.03172513126508,101.19665433032323,0.6681989781815745,14.404610722849345,0.28959597159879524,2.6305667383660785,38.45629659679171,0.9355989564122482,6.0197323134539005,1.1014435437933003
13,enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",Enc1 global rank 3; best fixed four-channel configuration,0,0.9993086761147598,6.023,9.992700000000001,6.5039,47.251341866640644,38.2059225360578,104.19006070104221,0.6797170117221865,17.558426149908804,0.28973277131535086,3.283898881969233,39.47260831897801,0.9278950898263615,6.400756030717602,1.0940201011167512
