rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",Enc0 global rank 2; best three-channel configuration,0,0.9993086761147598,3.0736,5.1974,2.9188,26.683809911169774,20.93409672949654,55.697771048360735,0.40821366653503965,6.818745917833155,0.27528429140855887,2.076352396271558,21.46020867195273,0.9483485162829938,3.276318977363115,1.024486672002017
2,enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",Enc0 global rank 3; best fixed four-channel configuration,0,0.9993086761147598,3.5523,6.187,3.8491,31.48935408962069,25.202899123743844,65.41155450377114,0.4802608076982861,9.977525909094705,0.2808057021478525,2.6571995936207977,25.91235545632656,0.9458686358841838,3.7785355483094807,1.035569189912652
3,enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",Enc0 global rank 1 / accuracy-first configuration,0,0.9993086761147598,3.5597999999999996,5.7524,3.3295,28.521376517564423,22.66654482462613,59.167280794099455,0.4376575992053982,8.349010753655259,0.27805447883932466,2.2892196579370006,23.227154239114,0.9473758120967306,3.772572674942342,1.032279237911083
4,enc0_k01_single_d03,enc0:3,Enc0 best/only viable singleton control,0,0.9993086761147598,3.7944,7.3751,4.9604,39.03871910416496,31.816061098808945,80.68971936752217,0.5923630120850628,14.706773257320965,0.2951010559865131,3.7280188666307796,32.54145202544791,0.9351462209309013,3.9770625179570174,1.0390154094267778
5,enc0_k02_d02_d14,"enc0:2,14",Enc0 best two-channel configuration,0,0.9993086761147598,3.9813,7.1491,4.9549,36.432339163255875,29.662528624533298,74.92119085357814,0.5692709258592777,13.194333296668779,0.2928994295849451,3.542751172775103,30.42598375988365,0.9407353117845684,4.173055293504205,1.0442744204692234
6,enc0_all16,enc0:all,Enc0 all-channel control,0,0.9993086761147598,4.1993,6.2886999999999995,3.5711,29.002889409667226,23.101341186545298,58.73266748372002,0.4326118626501128,8.75970860115903,0.27703180046776293,2.223074377167342,23.67811796004051,0.9474245173158083,4.340887401866219,1.042020995150552
7,enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15","Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9993086761147598,4.3304,7.1494,4.412599999999999,34.67513896292543,27.79733046457689,71.6427897234555,0.5131805757930539,11.473766489453785,0.2826941261138683,2.9243687138579286,28.6795844374191,0.9422046649119201,4.4931269310641255,1.0538980250554786
8,enc1_all32,enc1:all,Enc1 all-channel control,0,0.9993086761147598,4.5766,7.7665,5.0907,37.29327642674771,30.049674399301573,81.01236830735779,0.5514724125599519,12.81775190031382,0.28119653702688063,2.5043223858373747,30.957995828027574,0.9410111528238597,4.8511001514278815,1.076174873269477
9,enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",Enc1 global rank 2; direct greedy six-channel endpoint,0,0.9993086761147598,4.9033,8.2622,5.6281,40.86420320855386,33.291622129097256,89.07217058361975,0.6092867192138813,15.73251329871996,0.28186301121341756,2.3071255289433434,34.065642213607646,0.9350890707271189,5.169865411910068,1.0805681440048949
10,enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",Enc1 global rank 1 / accuracy-first configuration,0,0.9993086761147598,4.9727,8.9982,6.5413,46.638926669230905,38.6055283567546,98.32919883878293,0.7013723166884619,20.13526091564038,0.2857194472294545,2.595943085818656,39.41655660093376,0.9289245534886603,5.264796753188628,1.0905197728866414
11,enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30","Enc1 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9993086761147598,5.8323,10.2934,6.9006,50.20818132477135,41.314790752207905,106.86095662608265,0.7357385304764149,19.31681666207537,0.2948492024730522,3.72990089383292,42.735269492795375,0.9283518543880623,6.042973069637099,1.1039771317047824
12,enc1_k02_d00_d05,"enc1:0,5",Enc1 minimum viable two-channel configuration,0,0.9993086761147598,6.0668,10.242700000000001,6.562900000000001,46.54221373499219,37.42833589149643,102.86858968843104,0.6771061908544939,14.173401043600839,0.29246534864783996,2.8042182941860494,38.966358213877314,0.9364837580431602,6.356696994650768,1.119740394619817
13,enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",Enc1 global rank 3; best fixed four-channel configuration,0,0.9993086761147598,6.4378,10.6104,6.8991,48.726836901631245,39.456539649247006,107.04763444522416,0.7068163724426797,18.550070513281952,0.2913503372950582,3.2876827280474235,40.81629811212055,0.9284400283165409,6.808709104363488,1.105633915013073
