rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",Enc0 global rank 3; best fixed four-channel configuration,0,0.9993086761147598,5.1419,8.1516,4.5638,38.140664708320635,30.951139214205785,80.3495563064356,0.6162542581319332,13.315011077146005,0.3359429875165804,8.244808550326875,31.962244608136487,0.9371300430654915,5.351908459481898,1.0605376902170371
2,enc1_all32,enc1:all,Enc1 all-channel control,0,0.9993086761147598,5.2438,8.7472,5.6323,41.67129868541029,34.16888332545033,90.76175061426395,0.6270194463604885,15.424479734339352,0.285015882908204,2.988546020998148,35.010916788279076,0.9350996176293394,5.567762017704052,1.0919649885247904
3,enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",Enc1 global rank 2; direct greedy six-channel endpoint,0,0.9993086761147598,5.3374,9.9465,7.4948,54.43086528857408,48.053635621650045,112.99538526775319,0.9612854775886734,29.26348704254149,0.29416793245058204,2.5109481582837856,48.35609281058306,0.9287200711879495,5.644566927693069,1.082953049058607
4,enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",Enc1 global rank 1 / accuracy-first configuration,0,0.9993086761147598,6.0189,10.8812,8.0549,55.25219584984331,46.484275132817466,116.27281336313418,0.8717144910649174,26.131258881713542,0.2947761959972926,3.4224479924669917,47.462957904864886,0.9164307301637739,6.261698323326311,1.0927203527988025
5,enc1_k02_d00_d05,"enc1:0,5",Enc1 minimum viable two-channel configuration,0,0.9993086761147598,6.082400000000001,10.5016,6.960800000000001,48.61050162668059,40.0748352343653,103.78898071441589,0.8643862386712301,19.471821955982314,0.3202986139067571,2.6926954247020785,41.377395435560025,0.9375182233959048,6.456777437567587,1.1168597596337473
6,enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",Enc1 global rank 3; best fixed four-channel configuration,0,0.9993086761147598,6.3292,10.9603,7.4508,50.879717045609105,41.969023915082566,112.47383074694868,0.8041016263574532,20.90636307510845,0.30117597511095945,3.8333115619764446,43.02309492504624,0.9271801914698968,6.725631389413056,1.1086063809810431
7,enc0_all16,enc0:all,Enc0 all-channel control,0,0.9993086761147598,6.6972000000000005,9.1967,5.1305000000000005,37.08935452929494,29.518724963938492,80.23808774918118,0.8518979841600041,27.392966540858993,0.35897753140549116,9.635470749325144,31.19339436645821,0.9480188513625872,6.8007968029581995,1.0763113991996247
8,enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",Enc0 global rank 2; best three-channel configuration,0,0.9993086761147598,6.8461,9.2539,3.9771,37.16763057086268,30.301790061603572,82.53830465068359,0.8669315615181673,23.192579743953964,0.35248988334728165,8.234451550339314,31.70563506535748,0.9488205313618978,6.964146263182968,1.0402408910219367
9,enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",Enc0 global rank 1 / accuracy-first configuration,0,0.9993086761147598,7.0608,9.8019,4.909800000000001,42.11541511598729,34.04303246103122,88.06282167625152,0.9368483718917214,22.298027691478538,0.4081945477695929,10.235225967391742,35.594190567210674,0.9374276475152898,7.192698762074157,1.0400393744797838
10,enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15","Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9993086761147598,7.1524,12.3967,8.7285,60.43870377542522,50.35435781004897,126.5880413812652,2.082008681429314,74.94352088160522,0.8330637477231324,34.02887143850218,52.29232822512348,0.9274673940208487,7.300340368659147,1.085278536523348
11,enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30","Enc1 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9993086761147598,10.051599999999999,14.960999999999999,8.7688,61.614414084940236,53.42341350613111,133.1799049431562,1.1056669830872574,26.4868311290209,0.3971639416419941,10.170549123705003,54.928740087080605,0.9357140918510799,10.303822970876654,1.1129337734580584
