rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",Enc0 global rank 1 / accuracy-first configuration,0,0.9991961414790996,10.2805,11.9713,0.6966,13.79788678927813,11.535951820980081,29.007723446336282,0.46003302245723865,2.5599668378557308,0.23218227922073945,0.9487893598700915,11.501915795720818,0.98551725890611,10.280506740390377,0.9890381924970733
2,enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",Enc0 global rank 2; best three-channel configuration,0,0.9991961414790996,10.4039,12.2536,0.6998,14.173954472371364,11.757177782166858,28.7405329817425,0.461744744650974,2.5794738992994746,0.2314684186671877,0.9778699848045489,11.755621163741042,0.9852750815409816,10.403912084421766,0.9887355353912991
3,enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",Enc0 global rank 3; best fixed four-channel configuration,0,0.9991961414790996,10.781,12.7243,0.7081,14.737860595368591,12.195326348124212,30.732941802256995,0.4604931265477184,2.629480436753042,0.23317595917115455,0.9439063802449518,12.211263195901159,0.9860865982764668,10.780998701236937,0.9898954801819415
4,enc0_all16,enc0:all,Enc0 all-channel control,0,0.9991961414790996,10.809199999999999,12.616,0.6641,14.55120493214252,12.160941116191584,30.457033769110165,0.44493679866302466,2.296628123545486,0.23110304454046815,0.9668891975114329,12.149370484722617,0.986115211047459,10.809161193485135,0.9898196549519312
5,enc0_k02_d02_d14,"enc0:2,14",Enc0 best two-channel configuration,0,0.9991961414790996,11.4093,13.3055,0.7195,15.469109400034132,12.915109988138237,34.1194192765327,0.4529942087670143,2.5364278209907556,0.23690124747317678,0.9542278430355843,12.876405626306791,0.9841660305159509,11.409326859398886,0.988664575115774
6,enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15","Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9991961414790996,12.6889,14.9673,0.7152000000000001,17.471011767465708,14.364107099768642,37.31170336734187,0.45693763173123025,2.6272021113000594,0.23138995360657055,0.9660325555048065,14.400756821438716,0.983106462474686,12.68889228077898,0.9877407271563358
7,enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",Enc1 global rank 2; direct greedy six-channel endpoint,0,0.9991961414790996,12.7167,14.8343,0.7279,17.174611412327312,14.27412785446204,37.07075412004074,0.4863658725085593,2.7795297391336162,0.23006745857990452,1.0254006927405068,14.32247927250405,0.9848453665530748,12.716712969536777,0.9895216852762898
8,enc1_k02_d00_d05,"enc1:0,5",Enc1 minimum viable two-channel configuration,0,0.9991961414790996,13.874,16.7823,0.8833000000000001,19.86478299029463,15.767844850170281,42.989817550874605,0.5641724085131914,3.3031906218514364,0.22798625267231903,0.8906861144797801,15.909627968039391,0.9780626393762596,13.87400492906736,0.9828926341891946
9,enc0_k01_single_d03,enc0:3,Enc0 best/only viable singleton control,0,0.9991961414790996,14.234,16.680600000000002,0.7976000000000001,19.102034842648603,15.892860526237065,37.67364212842164,0.466252453909172,2.732084777412076,0.24553993769328444,1.0455576260821153,15.975972545257441,0.9841022102827952,14.234026195162604,0.9891689477775454
10,enc1_all32,enc1:all,Enc1 all-channel control,0,0.9991961414790996,14.428199999999999,17.1223,0.7461,20.12747410360791,16.370941356350357,44.170433660653146,0.4612449793244467,2.3983720547634713,0.22949535354405973,0.8950468259495993,16.452280746482113,0.9796323158887452,14.428217029669538,0.9847884111257635
11,enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",Enc1 global rank 3; best fixed four-channel configuration,0,0.9991961414790996,15.1333,18.2282,0.8304,21.474667992589552,17.150256143727386,46.42617193848548,0.5349178262786431,3.0557321745020674,0.23037669157990265,0.9184852885962782,17.295620629451122,0.9773563067135975,15.13334904335524,0.9825687838149505
12,enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",Enc1 global rank 1 / accuracy-first configuration,0,0.9991961414790996,15.148700000000002,17.732999999999997,0.7468,20.407808930382252,16.95043921761928,42.65232777481936,0.46625999991805583,2.8769680713680836,0.2348349009352419,1.089319862689808,17.03187016475431,0.9831346187122713,15.148739399072705,0.9887893847333403
13,enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30","Enc1 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9991961414790996,17.445,21.0308,0.8541,24.85986040622187,19.91814994594446,55.157681401772216,0.48712953942102577,3.065671490117579,0.23376059921543044,1.1599189129205387,20.10529192494346,0.9749009940201672,17.44499227371696,0.9816598547076952
