rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,enc0_global_rank01_k06_d02_d03_d07_d12_d13_d14,"enc0:2,3,7,12,13,14",Enc0 global rank 1 / accuracy-first configuration,0,0.9991961414790996,10.0373,11.6031,0.6844,13.30894082013256,11.202607737010805,27.50346283286466,0.45928900558667163,2.47623356188573,0.2321377588216331,0.933994549425096,11.179034433598677,0.9867479955307323,10.03730577049118,0.9903316717801331
2,enc0_global_rank03_k04_d02_d03_d12_d14,"enc0:2,3,12,14",Enc0 global rank 3; best fixed four-channel configuration,0,0.9991961414790996,10.1457,11.8765,0.7284999999999999,13.70622604184657,11.442257698858022,28.12856226342586,0.46069833858183434,2.49919808634619,0.23392782706202375,0.9671252531984771,11.457405971401116,0.9874476720684641,10.14568923190912,0.9911504712813355
3,enc0_global_rank02_k03_d03_d07_d12,"enc0:3,7,12",Enc0 global rank 2; best three-channel configuration,0,0.9991961414790996,10.469299999999999,12.2971,0.7187,14.226296702889416,11.831846175978342,29.00625470064824,0.4632802963026931,2.4902199259703437,0.23149190826855,0.947849270437334,11.836146528771085,0.9857422043046165,10.469302220694017,0.9893276335740491
4,enc0_all16,enc0:all,Enc0 all-channel control,0,0.9991961414790996,10.5238,12.181799999999999,0.6738,13.962591526620493,11.770397768897665,29.499462473518435,0.446614359282335,2.308645545799768,0.23165014450817276,0.9645920477350344,11.776839100347905,0.9880601397724991,10.523780087931103,0.9917961068705015
5,enc0_k02_d02_d14,"enc0:2,14",Enc0 best two-channel configuration,0,0.9991961414790996,11.978900000000001,14.1016,0.7581,16.39121314353363,13.572485943546475,34.008805068370954,0.46010452515726263,2.39468792483031,0.24009228260982587,0.9802691090200115,13.57006987494906,0.9832994109198085,11.978858542566694,0.9879470371462546
6,enc0_bqs_top5_d00_d03_d10_d14_d15,"enc0:0,3,10,14,15","Enc0 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9991961414790996,12.666,14.855199999999998,0.7413000000000001,17.27739395049268,14.268632000186804,37.42255157325163,0.4605688843491362,2.6133117555436107,0.23201005877861983,0.9629315165349509,14.322508223619202,0.9842227294342774,12.665977387010058,0.9889626123899556
7,enc1_global_rank02_k06_d00_d05_d06_d17_d18_d30,"enc1:0,5,6,17,18,30",Enc1 global rank 2; direct greedy six-channel endpoint,0,0.9991961414790996,12.976299999999998,15.051800000000002,0.7571,17.294937085347012,14.452175511436744,37.18513814830007,0.48961708190091524,2.4900665816580023,0.23103721961389695,0.9310515014087353,14.525918102122015,0.9859672126986078,12.976314578732461,0.990613964307911
8,enc1_all32,enc1:all,Enc1 all-channel control,0,0.9991961414790996,14.0541,16.6236,0.7529,19.53641900952251,15.955238586725212,43.18877401424916,0.460967191634075,2.4738673440932946,0.22897797494402125,0.9346863671190375,16.029961110101475,0.9811151129027069,14.05406829222203,0.9860316372463597
9,enc0_k01_single_d03,enc0:3,Enc0 best/only viable singleton control,0,0.9991961414790996,14.396,16.7447,0.8078,19.12990035789124,16.086512565505387,38.14993153604087,0.4697956387202801,3.249927151842153,0.24396238472557885,1.2097285474818458,16.147594050993888,0.9839613848918219,14.395961801587195,0.9891764396724547
10,enc1_k02_d00_d05,"enc1:0,5",Enc1 minimum viable two-channel configuration,0,0.9991961414790996,14.4476,17.2883,0.8833000000000001,20.330166823496636,16.27015047252634,42.99220984542326,0.5726881592601729,3.26233591306935,0.22993439641424124,0.8522142699398638,16.47092059938993,0.9783329749637538,14.447587027309494,0.9833823076882784
11,enc1_global_rank01_k06_d05_d06_d17_d18_d28_d30,"enc1:5,6,17,18,28,30",Enc1 global rank 1 / accuracy-first configuration,0,0.9991961414790996,14.959200000000001,17.291,0.7358,19.733938674024827,16.592018886802776,41.18582882983481,0.46671237739934074,2.743934590405714,0.23580087892510498,1.0423532312116064,16.688754806455787,0.9850985012086924,14.959180074622674,0.9905920416049065
12,enc1_global_rank03_k04_d00_d05_d18_d30,"enc1:0,5,18,30",Enc1 global rank 3; best fixed four-channel configuration,0,0.9991961414790996,15.5833,18.621499999999997,0.8702,21.78660288054636,17.553696078829606,46.62458208504429,0.5395253585241377,2.7390766755808076,0.23143900283124208,0.8962171463033959,17.716802667429228,0.9778493096856352,15.583276381297098,0.9834684357528813
13,enc1_bqs_top5_d04_d09_d10_d15_d30,"enc1:4,9,10,15,30","Enc1 historical BQS-selected top-5 control, re-evaluated by direct full sequence",0,0.9991961414790996,17.6622,21.0585,0.8592000000000001,24.786843797941575,20.150045020986134,54.551340291368156,0.4935547843913501,3.1232613549997703,0.23444413365368555,1.1811476885662378,20.290446064467062,0.9751254433322708,17.662195165684455,0.9829091333983446
