label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_current,current photometric gray control,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,21.089885922999997,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/gray_current/replicate_0.log,2026-08-17T16:31:44.344215+00:00
resnet_conv1_all64,unselected ResNet Conv1 all64-channel control,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",0,PASS,Completed the full matched RGB-D sequence,48.38883670400003,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2969915401682994,0.28382077467094846,0.27145835177232364,0.45924354107323867,0.08746280807704082,22.296874905856924,21.590123095359864,33.279346146790765,0.013212819739180521,0.09873358972708324,0.7603493380992679,5.976753709195276,0.2870510768578864,0.27266206017152617,1.1021789415499863,0.2958104579961079,0.283834013038615,1.1060269671243055,417,0.295648,0.283611,0.032208,571,177.849808,907247872.0,0,0.896,0.993,46600.0,0.003263,0,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/resnet_conv1_all64/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/resnet_conv1_all64/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/resnet_conv1_all64/replicate_0.log,2026-08-17T16:32:33.372330+00:00
historical_cnn_baseline_ch_5_29_40_52,"historical four-channel CNN baseline, re-evaluated only as an anchor","5,29,40,52","[5, 29, 40, 52]",0,PASS,Completed the full matched RGB-D sequence,44.73007644299997,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.19935858730549647,0.18383736311879434,0.1901284442535641,0.3970584755536034,0.077121140123651,16.28573450084932,14.927774003842003,34.67463714036274,0.012529525562133654,0.13556703736857725,0.8630869985448096,8.467764218164792,0.173944982869321,0.15972341019070468,1.1289015696742666,0.16965133289438436,0.1515578805165762,1.1394411207895758,421,0.169747,0.151682,0.023995,571,7.251965500000001,21306.330175749958,3,0.895,0.993,52220.0,0.005677,22,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/historical_cnn_baseline_ch_5_29_40_52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/historical_cnn_baseline_ch_5_29_40_52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/historical_cnn_baseline_ch_5_29_40_52/replicate_0.log,2026-08-17T16:33:18.749116+00:00
historical_correlation_search_ch_5_6_24_29,"historical correlation-clustering search result, re-evaluated only as an anchor","5,6,24,29","[5, 6, 24, 29]",0,PASS,Completed the full matched RGB-D sequence,43.61097916900002,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.18465723095777967,0.16871635560238749,0.15761447598464856,0.40467666819264475,0.07505387596416002,14.39867838979494,13.208476306219529,23.0505391202622,0.012829203583038613,0.14175021519176575,0.8946268854885595,9.53238143358664,0.1641374431815007,0.15098563543697513,1.1098180751703213,0.1569588501703448,0.14051014233196232,1.1245796715975585,419,0.15705,0.140623,0.020974,571,7.663152,20039.71035149966,4,0.906,0.993,23180.0,0.003592,0,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/historical_correlation_search_ch_5_6_24_29/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/historical_correlation_search_ch_5_6_24_29/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/historical_correlation_search_ch_5_6_24_29/replicate_0.log,2026-08-17T16:34:03.004133+00:00
g_singleton_d00,direct full-sequence singleton ATE sweep,0,[0],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,10.745778179000013,-15,1305031454.7916,43,,,,573,,,,,,,,,,,,,,,,,,,,,,,,42,3.143054,102.251732,1,0.0,0.9924999999999999,1236000000.0,0.997255,28,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/g_singleton_d00/replicate_0.log,2026-08-17T16:34:13.800536+00:00
g_singleton_d01,direct full-sequence singleton ATE sweep,1,[1],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,25.16607713999997,-15,1305031462.7598,259,,,,573,,,,,,,,,,,,,,,,,,,,,,,,258,2.050858,37.100300599999876,1,0.0,0.993,16020000000000.0,2.685567,44,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/g_singleton_d01/replicate_0.log,2026-08-17T16:34:39.010714+00:00
g_singleton_d02,direct full-sequence singleton ATE sweep,2,[2],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,6.631563682999968,-15,1305031453.4237,2,,,,573,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,0.0,0.0,,,0,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/g_singleton_d02/replicate_0.log,2026-08-17T16:34:45.676775+00:00
g_singleton_d03,direct full-sequence singleton ATE sweep,3,[3],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,6.64987109599997,-15,1305031453.4237,2,,,,573,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,0.0,0.0,,,0,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/g_singleton_d03/replicate_0.log,2026-08-17T16:34:52.367480+00:00
g_singleton_d04,direct full-sequence singleton ATE sweep,4,[4],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,6.585798385000089,-15,1305031453.4237,2,,,,573,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,0.0,0.0,,,0,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/g_singleton_d04/replicate_0.log,2026-08-17T16:34:58.986849+00:00
g_singleton_d05,direct full-sequence singleton ATE sweep,5,[5],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,7.3690078550000635,-15,1305031453.8597,15,,,,573,,,,,,,,,,,,,,,,,,,,,,,,14,1.206607,1.2886298,1,0.0,0.986,27520.0,0.014878,0,,,/home/melody/code/individual_project/channel_selection_results/step_n_resnet_conv1_direct_fullseq_greedy/artifacts/g_singleton_d05/replicate_0.log,2026-08-17T16:35:06.401134+00:00
