stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
anchors,gray_current,0,gray,,gray_current,current photometric gray control,"{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-18T16:39:56.537346+00:00
anchors,historical_cnn_baseline_ch_5_29_40_52,0,"5,29,40,52","[5, 29, 40, 52]",historical_cnn_baseline_ch_5_29_40_52,"historical four-channel CNN baseline, re-evaluated only as an anchor","{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-18T16:39:56.556290+00:00
anchors,historical_correlation_search_ch_5_6_24_29,0,"5,6,24,29","[5, 6, 24, 29]",historical_correlation_search_ch_5_6_24_29,"historical correlation-clustering search result, re-evaluated only as an anchor","{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-18T16:39:56.562747+00:00
anchors,resnet_conv1_all64,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",resnet_conv1_all64,unselected ResNet Conv1 all64-channel control,"{""protocol_role"": ""control_or_historical_anchor"", ""reused_existing_evaluation"": true}",2026-08-18T16:39:56.549863+00:00
direct_greedy,g_pair_seed_sweep_d00_d01,0,"0,1","[0, 1]",g_pair_seed_sweep_d00_d01,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:56.988895+00:00
direct_greedy,g_pair_seed_sweep_d00_d02,0,"0,2","[0, 2]",g_pair_seed_sweep_d00_d02,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:56.995242+00:00
direct_greedy,g_pair_seed_sweep_d00_d03,0,"0,3","[0, 3]",g_pair_seed_sweep_d00_d03,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.001583+00:00
direct_greedy,g_pair_seed_sweep_d00_d04,0,"0,4","[0, 4]",g_pair_seed_sweep_d00_d04,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.008056+00:00
direct_greedy,g_pair_seed_sweep_d00_d05,0,"0,5","[0, 5]",g_pair_seed_sweep_d00_d05,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.014445+00:00
direct_greedy,g_pair_seed_sweep_d00_d06,0,"0,6","[0, 6]",g_pair_seed_sweep_d00_d06,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.020659+00:00
direct_greedy,g_pair_seed_sweep_d00_d07,0,"0,7","[0, 7]",g_pair_seed_sweep_d00_d07,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.027292+00:00
