seed_index,seed_channels,cardinality,channels,path_status,single_run_primary_ate_mean_cm,evaluation_label
1,"[33, 52]",2,"[33, 52]",active,13.980999999999998,g_pair_seed_sweep_d33_d52
1,"[33, 52]",3,"[29, 33, 52]",active,14.672099999999999,g_s01_k03_from_d33_d52_add_d29
1,"[33, 52]",4,"[29, 31, 33, 52]",active,14.4902,g_s01_k04_from_d29_d33_d52_add_d31
1,"[33, 52]",5,"[29, 31, 33, 52, 55]",active,16.3032,g_s01_k05_from_d29_d31_d33_d52_add_d55
1,"[33, 52]",6,"[24, 29, 31, 33, 52, 55]",active,18.0538,g_s01_k06_from_d29_d31_d33_d52_d55_add_d24
2,"[26, 51]",2,"[26, 51]",active,15.162700000000001,g_pair_seed_sweep_d26_d51
2,"[26, 51]",3,"[26, 51, 63]",active,15.890699999999999,g_s02_k03_from_d26_d51_add_d63
2,"[26, 51]",4,"[24, 26, 51, 63]",active,16.869,g_s02_k04_from_d26_d51_d63_add_d24
2,"[26, 51]",5,"[23, 24, 26, 51, 63]",active,10.4535,g_s02_k05_from_d24_d26_d51_d63_add_d23
2,"[26, 51]",6,"[23, 24, 26, 51, 59, 63]",active,13.4975,g_s02_k06_from_d23_d24_d26_d51_d63_add_d59
3,"[23, 59]",2,"[23, 59]",active,15.320500000000001,g_pair_seed_sweep_d23_d59
3,"[23, 59]",3,"[23, 24, 59]",active,16.9899,g_s03_k03_from_d23_d59_add_d24
3,"[23, 59]",4,"[23, 24, 40, 59]",active,16.4297,g_s03_k04_from_d23_d24_d59_add_d40
3,"[23, 59]",5,"[23, 24, 40, 59, 63]",active,15.127199999999998,g_s03_k05_from_d23_d24_d40_d59_add_d63
3,"[23, 59]",6,"[23, 24, 39, 40, 59, 63]",active,15.9503,g_s03_k06_from_d23_d24_d40_d59_d63_add_d39
4,"[20, 26]",2,"[20, 26]",active,15.5393,g_pair_seed_sweep_d20_d26
4,"[20, 26]",3,"[20, 26, 34]",active,15.718499999999999,g_s04_k03_from_d20_d26_add_d34
4,"[20, 26]",4,"[15, 20, 26, 34]",active,10.3758,g_s04_k04_from_d20_d26_d34_add_d15
4,"[20, 26]",5,"[15, 20, 26, 34, 45]",active,11.9254,g_s04_k05_from_d15_d20_d26_d34_add_d45
4,"[20, 26]",6,"[15, 20, 26, 34, 45, 53]",active,11.6218,g_s04_k06_from_d15_d20_d26_d34_d45_add_d53
