tags,candidate_key,channels,observations_saved,pass_count,historical_ate_mean_cm,historical_ate_std_cm,historical_ate_median_cm,historical_ate_min_cm,historical_ate_max_cm,allframe_se3_ate_rmse_mean_cm,historical_rpe_rmse_mean_cm,runtime_mean_seconds,labels
G4+Lstar_single,"15,20,26,34","[d15,d20,d26,d34]",3,3,10.3758,0.0,10.3758,10.3758,10.3758,14.917717064408109,1.1819,45.61706157400234,g_s04_k04_from_d20_d26_d34_add_d15
G5,"23,24,26,51,63","[d23,d24,d26,d51,d63]",3,3,10.4535,0.0,10.4535,10.4535,10.4535,14.521647531106117,1.3227,47.884377402333484,g_s02_k05_from_d24_d26_d51_d63_add_d23
G6,"15,20,26,34,45,53","[d15,d20,d26,d34,d45,d53]",3,3,11.6218,0.0,11.6218,11.6218,11.6218,15.912972630403027,1.2805,43.66345239900329,g_s04_k06_from_d15_d20_d26_d34_d45_add_d53
G2,"33,52","[d33,d52]",3,3,13.981,2.175583928816829e-15,13.980999999999998,13.980999999999998,13.980999999999998,16.94893038344066,1.6356,42.996346139333276,g_pair_seed_sweep_d33_d52
H4_historical_correlation_search,"5,6,24,29","[d5,d6,d24,d29]",3,3,14.0623,0.0,14.0623,14.0623,14.0623,18.465723095777967,2.0974,43.561300964667204,historical_correlation_search_ch_5_6_24_29
G3,"29,33,52","[d29,d33,d52]",3,3,14.672099999999999,0.0,14.672099999999999,14.672099999999999,14.672099999999999,19.06092396600409,2.3480999999999996,42.24222420766697,g_s01_k03_from_d33_d52_add_d29
H4_historical_cnn_baseline,"5,29,40,52","[d5,d29,d40,d52]",3,3,15.1682,0.0,15.1682,15.1682,15.1682,19.935858730549647,2.3994999999999997,44.707817987999626,historical_cnn_baseline_ch_5_29_40_52
R4+Rstar_single,"0,15,20,59","[d0,d15,d20,d59]",3,3,16.6402,0.0,16.6402,16.6402,16.6402,20.67040121766903,1.9834000000000003,48.55796815566646,r_k04_0012_d00_d15_d20_d59
resnet_conv1_all64,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63",all64,3,3,28.361100000000004,4.351167857633658e-15,28.3611,28.3611,28.3611,29.699154016829937,3.2208,48.314768931333106,resnet_conv1_all64
gray_current,gray,gray,3,0,,,,,,,,,gray_current
