rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,g_s04_k04_from_d20_d26_d34_add_d15,"15,20,26,34",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,10.3758,11.5553,1.1819,14.917717064408109,14.157881090920462,37.54566163308882,1.713372137719136,33.38946472631419,1.4112130208244396,29.58017410350902,12.418769000535834,1.0819499337365077,10.372886814085467,1.0984170771060189
2,g_s04_k04_from_d20_d26_d34_add_d15,"15,20,26,34","final repeat validation for G4, Lstar_single",1,0.9965095986038395,10.3758,11.5553,1.1819,14.917717064408109,14.157881090920462,37.54566163308882,1.713372137719136,33.38946472631419,1.4112130208244396,29.58017410350902,12.418769000535834,1.0819499337365077,10.372886814085467,1.0984170771060189
3,g_s04_k04_from_d20_d26_d34_add_d15,"15,20,26,34","final repeat validation for G4, Lstar_single",2,0.9965095986038395,10.3758,11.5553,1.1819,14.917717064408109,14.157881090920462,37.54566163308882,1.713372137719136,33.38946472631419,1.4112130208244396,29.58017410350902,12.418769000535834,1.0819499337365077,10.372886814085467,1.0984170771060189
4,g_s02_k05_from_d24_d26_d51_d63_add_d23,"23,24,26,51,63",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,10.4535,11.7247,1.3227,14.521647531106115,13.413822428799813,23.21408604608137,1.0624198240677887,6.987721142141471,0.796733240606362,9.064054859975,11.221575602924782,1.0952881287190985,10.463247427647513,1.105750489783073
5,g_s02_k05_from_d24_d26_d51_d63_add_d23,"23,24,26,51,63",final repeat validation for G5,1,0.9965095986038395,10.4535,11.7247,1.3227,14.521647531106115,13.413822428799813,23.21408604608137,1.0624198240677887,6.987721142141471,0.796733240606362,9.064054859975,11.221575602924782,1.0952881287190985,10.463247427647513,1.105750489783073
6,g_s02_k05_from_d24_d26_d51_d63_add_d23,"23,24,26,51,63",final repeat validation for G5,2,0.9965095986038395,10.4535,11.7247,1.3227,14.521647531106115,13.413822428799813,23.21408604608137,1.0624198240677887,6.987721142141471,0.796733240606362,9.064054859975,11.221575602924782,1.0952881287190985,10.463247427647513,1.105750489783073
7,g_s02_k05_from_d24_d26_d51_d63_add_d52,"24,26,51,52,63",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,11.1934,12.6357,1.9456999999999998,14.527891421289171,13.280693746985788,28.23418572932383,1.540051816826574,17.601589627508435,1.0098923852382222,11.034872284099967,12.776100261849423,1.048383462167142,11.186020517785389,1.0586747799259004
8,g_s04_k06_from_d15_d20_d26_d34_d45_add_d53,"15,20,26,34,45,53",direct full-sequence ATE forward-greedy trial,0,0.9965095986038395,11.6218,12.7363,1.2805,15.91297263040303,15.089097926409517,36.859109872596036,1.7475035871863176,34.10684179646963,1.3961830566719167,29.66337367722541,13.426149320465269,1.0864660294059778,11.62004791833418,1.1039569425147207
9,g_s04_k06_from_d15_d20_d26_d34_d45_add_d53,"15,20,26,34,45,53",final repeat validation for G6,1,0.9965095986038395,11.6218,12.7363,1.2805,15.91297263040303,15.089097926409517,36.859109872596036,1.7475035871863176,34.10684179646963,1.3961830566719167,29.66337367722541,13.426149320465269,1.0864660294059778,11.62004791833418,1.1039569425147207
10,g_s04_k06_from_d15_d20_d26_d34_d45_add_d53,"15,20,26,34,45,53",final repeat validation for G6,2,0.9965095986038395,11.6218,12.7363,1.2805,15.91297263040303,15.089097926409517,36.859109872596036,1.7475035871863176,34.10684179646963,1.3961830566719167,29.66337367722541,13.426149320465269,1.0864660294059778,11.62004791833418,1.1039569425147207
