label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_current,current photometric gray control,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,19.80913978499302,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/gray_current/replicate_0.log,2026-08-19T12:30:38.722740+00:00
resnet_layer2_all128,unselected ResNet Layer2 all128-channel control,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127]",0,PASS,Completed the full matched RGB-D sequence,60.70181735999358,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.4320641085500364,0.4202301455205401,0.38881110484713305,0.7801619109479799,0.10042917251936004,24.529091089060024,24.11834342322919,33.99287490595858,0.013638552136223414,0.13994848510582614,0.8195569389867521,11.62400183671942,0.4320364669265074,0.4197817613589163,1.006508285954874,0.42428999233506776,0.40848284684676217,1.0558171557952831,422,0.424231,0.408481,0.016523,571,217.425537,574.1842655,0,0.897,0.994,52830.0,0.010328,406,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/resnet_layer2_all128/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/resnet_layer2_all128/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/resnet_layer2_all128/replicate_0.log,2026-08-19T12:31:40.089864+00:00
g_singleton_d00,direct full-sequence singleton ATE sweep,0,[0],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,19.506126053005573,-15,1305031459.1276,158,,,,573,,,,,,,,,,,,,,,,,,,,,,,,157,1.871636,107.40014099999999,1,0.0,0.994,226500.0,0.035449,124,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d00/replicate_0.log,2026-08-19T12:31:59.654207+00:00
g_singleton_d01,direct full-sequence singleton ATE sweep,1,[1],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,17.031930830009514,-15,1305031459.1276,158,,,,573,,,,,,,,,,,,,,,,,,,,,,,,157,1.198848,1.70744675,1,0.0,0.995,5149.0,0.005796,126,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d01/replicate_0.log,2026-08-19T12:32:16.724459+00:00
g_singleton_d02,direct full-sequence singleton ATE sweep,2,[2],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,18.189603689010255,-15,1305031459.1276,158,,,,573,,,,,,,,,,,,,,,,,,,,,,,,157,1.7138335,4.038691249999999,1,0.0,0.996,38270.0,0.030446,126,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d02/replicate_0.log,2026-08-19T12:32:34.948625+00:00
g_singleton_d03,direct full-sequence singleton ATE sweep,3,[3],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,8.535999031999381,-15,1305031454.2277,26,,,,573,,,,,,,,,,,,,,,,,,,,,,,,25,6.686726500000001,51.26530349999994,1,0.0,0.985,1537000.0,0.051051,13,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d03/replicate_0.log,2026-08-19T12:32:43.520403+00:00
g_singleton_d04,direct full-sequence singleton ATE sweep,4,[4],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,18.419431043992518,-15,1305031459.5596,169,,,,573,,,,,,,,,,,,,,,,,,,,,,,,168,1.477172,2.0176162,1,0.0,0.995,5555000.0,0.046832,136,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d04/replicate_0.log,2026-08-19T12:33:01.979841+00:00
g_singleton_d05,direct full-sequence singleton ATE sweep,5,[5],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,14.633942544009187,-15,1305031456.8276,98,,,,573,,,,,,,,,,,,,,,,,,,,,,,,97,3.147645,1347.07125875,1,0.0,0.995,33650000.0,0.099782,83,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d05/replicate_0.log,2026-08-19T12:33:16.648900+00:00
g_singleton_d06,direct full-sequence singleton ATE sweep,6,[6],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,19.279024022995145,-15,1305031459.4276,166,,,,573,,,,,,,,,,,,,,,,,,,,,,,,165,2.0642345,8.662360399999995,1,0.0,0.994,566700.0,0.018358,135,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d06/replicate_0.log,2026-08-19T12:33:35.961672+00:00
g_singleton_d07,direct full-sequence singleton ATE sweep,7,[7],0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,22.52054375699663,-15,1305031462.7919,260,,,,573,,,,,,,,,,,,,,,,,,,,,,,,259,1.0553810000000001,1.35621905,1,0.0,0.994,32840.0,0.03852,173,,,/home/melody/code/individual_project/channel_selection_results/step_o_resnet_layer2_direct_fullseq_greedy/artifacts/g_singleton_d07/replicate_0.log,2026-08-19T12:33:58.516627+00:00
