seed_index,seed_channels,cardinality,channels,path_status,single_run_primary_ate_mean_cm,evaluation_label
1,[121],1,[121],active,27.5292,g_singleton_d121
1,[121],2,"[108, 121]",active,16.6202,g_s01_k02_from_d121_add_d108
1,[121],3,"[67, 108, 121]",active,15.9524,g_s01_k03_from_d108_d121_add_d67
1,[121],4,"[60, 67, 108, 121]",active,12.671399999999998,g_s01_k04_from_d67_d108_d121_add_d60
1,[121],5,"[41, 60, 67, 108, 121]",active,12.61,g_s01_k05_from_d60_d67_d108_d121_add_d41
1,[121],6,"[41, 60, 67, 95, 108, 121]",active,12.741299999999999,g_s01_k06_from_d41_d60_d67_d108_d121_add_d95
2,[67],1,[67],active,28.6825,g_singleton_d67
2,[67],2,"[67, 121]",active,17.968899999999998,g_s01_k02_from_d121_add_d67
2,[67],3,"[67, 108, 121]",active,15.9524,g_s01_k03_from_d108_d121_add_d67
2,[67],4,"[60, 67, 108, 121]",active,12.671399999999998,g_s01_k04_from_d67_d108_d121_add_d60
2,[67],5,"[41, 60, 67, 108, 121]",active,12.61,g_s01_k05_from_d60_d67_d108_d121_add_d41
2,[67],6,"[41, 60, 67, 95, 108, 121]",active,12.741299999999999,g_s01_k06_from_d41_d60_d67_d108_d121_add_d95
3,[96],1,[96],active,30.3645,g_singleton_d96
3,[96],2,"[96, 121]",active,22.9247,g_s01_k02_from_d121_add_d96
3,[96],3,"[96, 108, 121]",active,17.3763,g_s01_k03_from_d108_d121_add_d96
3,[96],4,"[95, 96, 108, 121]",active,16.256999999999998,g_s03_k04_from_d96_d108_d121_add_d95
3,[96],5,"[60, 95, 96, 108, 121]",active,15.1928,g_s03_k05_from_d95_d96_d108_d121_add_d60
3,[96],6,"[60, 67, 95, 96, 108, 121]",active,13.822999999999999,g_s03_k06_from_d60_d95_d96_d108_d121_add_d67
