label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
resnet_c2f_a_fine01_coarse01,"fine rank 1 (G4+Lstar, source 10.3758cm) + coarse rank 1 (G5+Lstar, source 12.6100cm)","resnet|A|fine:15,20,26,34|coarse:41,60,67,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [15, 20, 26, 34], ""coarse_layer"": ""layer2"", ""coarse"": [41, 60, 67, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,50.37375162600074,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.18543548128921042,0.17826256387278408,0.17960773596179289,0.3116910980388521,0.05107617881618285,9.503547156901778,8.720996112766656,17.789149204133732,0.013018892696730663,0.20324341660930995,0.8839549027866698,16.323719626815627,0.17159308970218393,0.16039746146688566,1.089760137878707,0.1558580284817634,0.14200628460476342,1.1133478122468947,425,0.155969,0.142175,0.016666,571,7.95377,664.9432375,0,0.897,0.993,457200.0,0.871557,11,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-23T05:17:07.467239+00:00
resnet_c2f_a_fine01_coarse02,"fine rank 1 (G4+Lstar, source 10.3758cm) + coarse rank 2 (G4, source 12.6714cm)","resnet|A|fine:15,20,26,34|coarse:60,67,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [15, 20, 26, 34], ""coarse_layer"": ""layer2"", ""coarse"": [60, 67, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,51.240923542005476,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.18883102477974797,0.18207270297892636,0.18197227302764463,0.32789199197382823,0.050066822840254925,9.378651254542422,8.7177240055746,14.848717962325814,0.012161491208047067,0.18229554190349997,0.7474562339228172,11.627571036951938,0.17497605901788893,0.16623067545197293,1.0908097836201982,0.1673594415502616,0.155621139017797,1.1114524781157182,425,0.167438,0.155747,0.015242,571,7.928794,653.2614745000001,0,0.897,0.993,612500.0,0.94179,11,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-23T05:17:59.405537+00:00
resnet_c2f_a_fine01_coarse03,"fine rank 1 (G4+Lstar, source 10.3758cm) + coarse rank 3 (G6, source 12.7413cm)","resnet|A|fine:15,20,26,34|coarse:41,60,67,95,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [15, 20, 26, 34], ""coarse_layer"": ""layer2"", ""coarse"": [41, 60, 67, 95, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,58.8523966880166,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.2364804064750887,0.22561290888913316,0.2107925549094003,0.451098566503607,0.07086464555197375,10.202282662838822,9.954286055950774,13.845708785396285,0.011330909831879102,0.14596582354281823,0.7698004096917846,12.263594485342406,0.2291444525543158,0.21565755981590673,1.0747914803666219,0.22317615864670282,0.20762545496354676,1.0962129946806756,426,0.223307,0.207859,0.01409,571,7.958301,668.9705505,0,0.897,0.993,263100.0,0.018011,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-23T05:18:58.907631+00:00
resnet_c2f_a_fine01_coarse04,"fine rank 1 (G4+Lstar, source 10.3758cm) + coarse rank 4 (G3, source 15.9524cm)","resnet|A|fine:15,20,26,34|coarse:67,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [15, 20, 26, 34], ""coarse_layer"": ""layer2"", ""coarse"": [67, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,51.29822120000608,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1675462692048386,0.16133364591408206,0.17345701998555532,0.27066335188365,0.04520184753447405,8.884311237036842,8.293331048991298,15.049315276703178,0.009560563714189292,0.09135993871072567,0.575124212670322,4.9118661400013375,0.14238338697858974,0.1334311594115111,1.114607344425838,0.13108789010727925,0.12072224139623415,1.131160696796681,424,0.131068,0.120726,0.01196,571,7.915329,591.434723,0,0.897,0.993,780400.0,0.018114,10,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-23T05:19:50.851459+00:00
resnet_c2f_a_fine01_coarse05,"fine rank 1 (G4+Lstar, source 10.3758cm) + coarse rank 5 (G2, source 16.6202cm)","resnet|A|fine:15,20,26,34|coarse:108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [15, 20, 26, 34], ""coarse_layer"": ""layer2"", ""coarse"": [108, 121]}",0,PASS,Completed the full matched RGB-D sequence,52.51741542699165,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.17052953896680267,0.16174286747281374,0.1740506207548967,0.27343410086759756,0.054033031396564055,10.834244761658907,9.899695158012856,18.2036213428367,0.009548486875356943,0.06137155157819006,0.6156421588150333,6.2183117212259935,0.14668546457912623,0.1397777948112198,1.1127769677993917,0.14047537395513982,0.1330798147227384,1.1305962816394108,430,0.140344,0.132954,0.013211,571,7.937832,485.178116,0,0.896,0.993,185900.0,0.024536,11,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse05/replicate_0.log,2026-08-23T05:20:44.018775+00:00
resnet_c2f_a_fine01_coarse06,"fine rank 1 (G4+Lstar, source 10.3758cm) + coarse rank 6 (R4+Rstar, source 20.3798cm)","resnet|A|fine:15,20,26,34|coarse:37,74,119,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [15, 20, 26, 34], ""coarse_layer"": ""layer2"", ""coarse"": [37, 74, 119, 121]}",0,PASS,Completed the full matched RGB-D sequence,50.80848676300957,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.19101306407342503,0.185242365562399,0.1991408769737768,0.2804091512541374,0.046596745031867746,10.102906214133588,9.321885912610034,16.091570607232278,0.011018436309086076,0.14528408417366526,0.5632658216747279,3.289802428746527,0.16880518332252248,0.16208486791565005,1.1169023361159531,0.1580718447695084,0.14868153618193344,1.1420798232322331,428,0.158108,0.148764,0.01433,571,7.852698,628.1054995,0,0.896,0.993,809400.0,0.938125,11,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse06/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse06/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine01_coarse06/replicate_0.log,2026-08-23T05:21:35.472005+00:00
resnet_c2f_a_fine02_coarse01,"fine rank 2 (G5, source 10.4535cm) + coarse rank 1 (G5+Lstar, source 12.6100cm)","resnet|A|fine:23,24,26,51,63|coarse:41,60,67,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [23, 24, 26, 51, 63], ""coarse_layer"": ""layer2"", ""coarse"": [41, 60, 67, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,52.83203965998837,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.29321579454600083,0.21064727051363066,0.17322523302714896,1.144500965427821,0.20396869758960526,33.84684679337226,17.012706127497736,153.03537920047907,0.04644635025813728,1.064654419936582,6.114935124445603,144.52289677307954,0.29320028355323896,0.20958218492037972,1.0036928126713167,0.17470523405507443,0.1315345650217819,1.104243702683656,429,0.174768,0.131599,0.059302,571,9.731635,118.52869799999999,0,0.611,0.993,917900.0,0.044676,69,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-23T05:22:28.956294+00:00
resnet_c2f_a_fine02_coarse02,"fine rank 2 (G5, source 10.4535cm) + coarse rank 2 (G4, source 12.6714cm)","resnet|A|fine:23,24,26,51,63|coarse:60,67,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [23, 24, 26, 51, 63], ""coarse_layer"": ""layer2"", ""coarse"": [60, 67, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,52.983063510997454,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.3258596064465876,0.25247244309469263,0.19381486714926172,1.1410424209417087,0.20601492322480464,37.44851168084627,19.697769400221507,168.46368558852754,0.04961298636923411,1.1504001960865027,7.106264919127901,168.58024862805655,0.3256490377438239,0.25547522336837813,0.9857003960162943,0.2356627485413124,0.20110109238030435,1.0828234987542276,429,0.23568,0.201132,0.06201,571,9.738616,101.1487695,0,0.709,0.993,891200.0,0.118658,77,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-23T05:23:22.585776+00:00
resnet_c2f_a_fine02_coarse03,"fine rank 2 (G5, source 10.4535cm) + coarse rank 3 (G6, source 12.7413cm)","resnet|A|fine:23,24,26,51,63|coarse:41,60,67,95,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [23, 24, 26, 51, 63], ""coarse_layer"": ""layer2"", ""coarse"": [41, 60, 67, 95, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,52.968136260984465,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.20578779421811536,0.19816539716316214,0.20135432623651717,0.3472670913265551,0.05548956312968767,10.286311660646245,10.13939955632458,14.211485958263431,0.011537791105846792,0.15290034749188722,0.6896766892842661,9.006303725368875,0.1908347030066215,0.1778790188865691,1.0997044346470433,0.17869309727574095,0.1633219090480938,1.1225350937024912,428,0.17884,0.163543,0.014426,571,9.760859,135.39315,0,0.898,0.993,619200.0,0.033838,74,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-23T05:24:16.196151+00:00
resnet_c2f_a_fine02_coarse04,"fine rank 2 (G5, source 10.4535cm) + coarse rank 4 (G3, source 15.9524cm)","resnet|A|fine:23,24,26,51,63|coarse:67,108,121","{""architecture"": ""resnet"", ""variant"": ""A"", ""fine_layer"": ""conv1"", ""fine"": [23, 24, 26, 51, 63], ""coarse_layer"": ""layer2"", ""coarse"": [67, 108, 121]}",0,PASS,Completed the full matched RGB-D sequence,52.608620484010316,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.15695772860551754,0.14754887645186843,0.16004229680856039,0.2596981198369521,0.053526233071219974,9.628195412683539,8.994208328319633,16.061315738669723,0.00960668828984386,0.07726334757774397,0.5839044357178679,5.295123141550475,0.1275554495910867,0.11477648936691627,1.1188249078482821,0.11638064896636871,0.1056203806634962,1.1342348521147934,427,0.116225,0.105465,0.01195,571,9.753637,128.60998949999998,0,0.899,0.993,506700.0,0.939595,65,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/resnet_fr1_desk_lightswitch/artifacts/resnet_c2f_a_fine02_coarse04/replicate_0.log,2026-08-23T05:25:09.456117+00:00
