label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
unet_c2f_a_fine01_coarse01,"fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 1 (Lstar, source 6.7335cm)","unet|A|fine:2,3,7,12,13,14|coarse:5,6,17,18,28,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [2, 3, 7, 12, 13, 14], ""coarse_layer"": ""enc1"", ""coarse"": [5, 6, 17, 18, 28, 30]}",0,PASS,Completed the full matched RGB-D sequence,50.64083102700533,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11186427019735962,0.10539421941643251,0.1073014334055536,0.19314890215394498,0.037492312017115725,8.329997291384363,7.6550932669526635,12.78185928002112,0.009965046163850563,0.10160091010158313,0.7418603461123723,9.53441764025968,0.08840907961613376,0.08198187895229705,1.0859365344297949,0.07736452396307843,0.07092462990334351,1.0925163442970094,429,0.077339,0.070912,0.013483,571,9.134621,55.8850615,0,0.895,0.993,95660.0,0.0422,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse01/replicate_0.log,2026-08-23T03:59:44.256251+00:00
unet_c2f_a_fine01_coarse02,"fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 2 (G6, source 6.9553cm)","unet|A|fine:2,3,7,12,13,14|coarse:0,5,6,17,18,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [2, 3, 7, 12, 13, 14], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5, 6, 17, 18, 30]}",0,PASS,Completed the full matched RGB-D sequence,49.17726157500874,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10806146314248928,0.10151136405561692,0.09845013199106065,0.19446412569217883,0.03705027373803829,7.805684152121695,7.118307740101364,11.967025867131873,0.010246094048493646,0.10231159662744743,0.801560380494419,9.56669624839952,0.09076630739082661,0.0854253843798826,1.0726478127267247,0.08214492034836982,0.07709457178927055,1.0778672787127823,430,0.082155,0.077116,0.013896,571,9.104775,56.1699675,0,0.895,0.993,98180.0,0.005337,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse02/replicate_0.log,2026-08-23T04:00:34.068611+00:00
unet_c2f_a_fine01_coarse03,"fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 3 (G4, source 7.1673cm)","unet|A|fine:2,3,7,12,13,14|coarse:0,5,18,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [2, 3, 7, 12, 13, 14], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5, 18, 30]}",0,PASS,Completed the full matched RGB-D sequence,49.13760561600793,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11027814825679706,0.09811310916804265,0.09128114347526782,0.2319241268160193,0.05034965533474742,8.082106633519622,7.830910328392335,11.591284121122358,0.01270910210006098,0.20818545835872912,0.9408709645398161,13.19369528512231,0.10085657105432666,0.09359650426534045,1.0543833010894574,0.09311925763990202,0.08742253401035593,1.056613670022957,429,0.093118,0.087433,0.017494,571,9.082361,61.77252,0,0.897,0.993,64670.0,0.00409,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse03/replicate_0.log,2026-08-23T04:01:23.852374+00:00
unet_c2f_a_fine01_coarse04,"fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 4 (G5, source 7.6408cm)","unet|A|fine:2,3,7,12,13,14|coarse:0,5,6,18,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [2, 3, 7, 12, 13, 14], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5, 6, 18, 30]}",0,PASS,Completed the full matched RGB-D sequence,48.67030749400146,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10436208301367932,0.09889002021775517,0.10297601500978192,0.17800064633205875,0.033349786690263304,8.818685754123091,7.700262076201603,14.022964672743491,0.00945654200991132,0.07158608920275927,0.8019830444976215,9.743403840566634,0.07600741718995285,0.06962706233909907,1.0898714916605903,0.07086207431043101,0.06550577208496776,1.0934612677018594,429,0.070697,0.065324,0.012727,571,9.110768,55.902587499999996,0,0.895,0.993,96900.0,0.048768,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse04/replicate_0.log,2026-08-23T04:02:13.173640+00:00
unet_c2f_a_fine01_coarse05,"fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 5 (G2, source 8.0837cm)","unet|A|fine:2,3,7,12,13,14|coarse:0,5","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [2, 3, 7, 12, 13, 14], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5]}",0,PASS,Completed the full matched RGB-D sequence,47.351728330977494,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11101808419725367,0.10338026818274129,0.10378243037190435,0.19287593947185294,0.04046646969149889,8.068898700060405,7.669415291040123,11.600359080760176,0.009892372280757981,0.07234940739244625,0.7617953505931901,9.27181672899606,0.09173644111685315,0.0878600851093032,1.077844769730124,0.08836368230364265,0.08495233897656969,1.0807056169397722,429,0.08831,0.084903,0.012404,571,9.070484,54.2450905,0,0.907,0.993,66760.0,0.010317,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse05/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse05/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse05/replicate_0.log,2026-08-23T04:03:01.171391+00:00
unet_c2f_a_fine01_coarse06,"fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 6 (Rstar, source 8.3566cm)","unet|A|fine:2,3,7,12,13,14|coarse:0,4,10,22,26","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [2, 3, 7, 12, 13, 14], ""coarse_layer"": ""enc1"", ""coarse"": [0, 4, 10, 22, 26]}",0,PASS,Completed the full matched RGB-D sequence,50.60088916501263,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.13524228958835463,0.12513341968426697,0.12587644845276424,0.2736496121038176,0.05130403659773258,8.477899146275602,7.978432027967864,11.877226343383896,0.009806543771783574,0.06165505252051976,0.756700975133804,10.560247904856025,0.11563943631282105,0.11130487079310696,1.0884636647504362,0.11077511447674036,0.1066362105216412,1.0928918968693124,429,0.110788,0.106676,0.013422,571,9.087263,57.892137500000004,0,0.897,0.993,76500.0,0.005146,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse06/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse06/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine01_coarse06/replicate_0.log,2026-08-23T04:03:52.418327+00:00
unet_c2f_a_fine02_coarse01,"fine rank 2 (G3, source 6.0004cm) + coarse rank 1 (Lstar, source 6.7335cm)","unet|A|fine:3,7,12|coarse:5,6,17,18,28,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [3, 7, 12], ""coarse_layer"": ""enc1"", ""coarse"": [5, 6, 17, 18, 28, 30]}",0,PASS,Completed the full matched RGB-D sequence,51.22413868102012,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10866258051562112,0.1027895083418461,0.09896479587799174,0.20130683736729374,0.0352402238806083,7.704932074323137,7.3090832443220135,11.58596618430537,0.011168628899550994,0.10052495124572644,0.7688029089662792,9.60131270568883,0.09039274951954565,0.08147219555883348,1.0748602370351008,0.07951849343599465,0.07031959582330373,1.0805001574452116,429,0.079556,0.070387,0.014451,571,4.620818,60.325186,0,0.859,0.993,49950.0,0.018386,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse01/replicate_0.log,2026-08-23T04:04:44.295898+00:00
unet_c2f_a_fine02_coarse02,"fine rank 2 (G3, source 6.0004cm) + coarse rank 2 (G6, source 6.9553cm)","unet|A|fine:3,7,12|coarse:0,5,6,17,18,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [3, 7, 12], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5, 6, 17, 18, 30]}",0,PASS,Completed the full matched RGB-D sequence,50.37945100001525,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10626189026944932,0.10040245902901843,0.09915828370127534,0.1833695863286796,0.034798499171124674,7.511027903517444,6.860075298153915,11.624639039811584,0.01033178142060887,0.0864325007454137,0.8137345821998228,9.762228751302256,0.08812530225448943,0.0812564666209977,1.073600751679795,0.07859165931249774,0.07210199214672422,1.079266143839479,430,0.078629,0.072166,0.013419,571,4.619771,59.4001545,0,0.875,0.993,49050.0,0.174119,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse02/replicate_0.log,2026-08-23T04:05:35.342430+00:00
unet_c2f_a_fine02_coarse03,"fine rank 2 (G3, source 6.0004cm) + coarse rank 3 (G4, source 7.1673cm)","unet|A|fine:3,7,12|coarse:0,5,18,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [3, 7, 12], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5, 18, 30]}",0,PASS,Completed the full matched RGB-D sequence,49.04241377100698,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11833233210221425,0.11276650290178683,0.10221837734552654,0.1963929970105906,0.03586442030829474,8.423578137649477,7.697065032762987,13.303472255753716,0.010961063461811952,0.0906615195020635,0.8419389310721062,9.835047323312361,0.10174467107602538,0.09045224123963606,1.0751309619302392,0.09693514743130428,0.08685042431914926,1.0772685768056978,429,0.096743,0.086616,0.014884,571,4.616506,57.732957999999996,0,0.896,0.993,58280.0,0.005807,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse03/replicate_0.log,2026-08-23T04:06:25.036659+00:00
unet_c2f_a_fine02_coarse04,"fine rank 2 (G3, source 6.0004cm) + coarse rank 4 (G5, source 7.6408cm)","unet|A|fine:3,7,12|coarse:0,5,6,18,30","{""architecture"": ""unet"", ""variant"": ""A"", ""fine_layer"": ""enc0"", ""fine"": [3, 7, 12], ""coarse_layer"": ""enc1"", ""coarse"": [0, 5, 6, 18, 30]}",0,PASS,Completed the full matched RGB-D sequence,49.95561996099423,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10083529141956475,0.09541625389088998,0.09606070056046319,0.16050686355487412,0.032611263224502196,8.921101321365606,7.799388704401507,14.927986296836622,0.009781991067923039,0.07467637328642682,0.8088578805156228,9.682362279465002,0.07166208647338713,0.06418656292327247,1.0890421575164084,0.06443713856659766,0.05890626065683651,1.0927963308945405,430,0.064309,0.058765,0.013099,571,4.618502,57.2213515,0,0.894,0.993,50350.0,0.021585,19,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse04/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse04/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_p_c2f_best_channels_evaluation/unet_fr1_desk_lightswitch/artifacts/unet_c2f_a_fine02_coarse04/replicate_0.log,2026-08-23T04:07:15.656063+00:00
