label,candidate_key,mode,variant,configuration,role,source_fr1_lightswitch_ate_mean_cm,fr1_desk_clean__status,fr1_desk_clean__ate_mean_cm,fr1_desk_clean__rank,fr1_desk_lightswitch__status,fr1_desk_lightswitch__ate_mean_cm,fr1_desk_lightswitch__rank,fr1_desk_flashlight__status,fr1_desk_flashlight__ate_mean_cm,fr1_desk_flashlight__rank,fr2_desk_clean__status,fr2_desk_clean__ate_mean_cm,fr2_desk_clean__rank,fr2_desk_lightswitch__status,fr2_desk_lightswitch__ate_mean_cm,fr2_desk_lightswitch__rank,fr2_desk_flashlight__status,fr2_desk_flashlight__ate_mean_cm,fr2_desk_flashlight__rank,fr3_long_office_household_clean__status,fr3_long_office_household_clean__ate_mean_cm,fr3_long_office_household_clean__rank,fr3_long_office_household_lightswitch__status,fr3_long_office_household_lightswitch__ate_mean_cm,fr3_long_office_household_lightswitch__rank,fr3_long_office_household_flashlight__status,fr3_long_office_household_flashlight__ate_mean_cm,fr3_long_office_household_flashlight__rank
gray_baseline,gray,gray,,gray,Photometric grayscale baseline; no learned tracking features.,,PASS,7.3847,1,FAIL_TRACKING_NAN,,,PASS,9.3834,2,PASS,4.5511,3,PASS,8.4609,4,PASS,4.6496,1,PASS,11.2618,1,FAIL_TRACKING_NAN,,,PASS,10.594199999999999,1
resnet_layer2_direct_c4_d67_d108_d121,"resnet:direct:layer2:67,108,121",direct,,"direct layer2[d67,d108,d121]","Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.",15.9524,PASS,21.5029,10,PASS,15.9524,8,PASS,16.6285,8,PASS,16.1158,9,PASS,16.007199999999997,5,PASS,17.0487,10,PASS,68.41000000000001,10,PASS,72.42309999999999,7,PASS,67.5551,10
resnet_layer2_direct_c5_d108_d121,"resnet:direct:layer2:108,121",direct,,"direct layer2[d108,d121]","Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.",16.6202,PASS,12.9191,6,PASS,16.6202,9,PASS,18.3832,10,PASS,17.2523,10,PASS,17.2379,6,PASS,16.6514,9,PASS,61.9243,9,PASS,65.5992,6,PASS,60.467999999999996,9
resnet_conv1_direct_f1_d15_d20_d26_d34,"resnet:direct:conv1:15,20,26,34",direct,,"direct conv1[d15,d20,d26,d34]",Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,10.3758,PASS,10.439,4,PASS,10.3758,3,PASS,6.364400000000001,1,PASS,4.531000000000001,1,FAIL_TRACKING_NAN,,,PASS,4.6507,2,PASS,12.1139,3,FAIL_TRACKING_NAN,,,PASS,11.6302,2
resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"resnet:direct:conv1:23,24,26,51,63",direct,,"direct conv1[d23,d24,d26,d51,d63]","Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.",10.4535,PASS,10.9807,5,PASS,10.4535,4,PASS,12.238100000000001,5,PASS,5.617500000000001,4,PASS,7.4655,3,PASS,5.8846,5,PASS,11.9425,2,PASS,10.2158,1,PASS,11.877799999999999,3
resnet_conv1_direct_f6_d29_d33_d52,"resnet:direct:conv1:29,33,52",direct,,"direct conv1[d29,d33,d52]","Direct fine parent F6, included because it has the largest observed C2F gain with C5.",14.6721,PASS,9.7889,3,PASS,14.672099999999999,7,PASS,10.4201,4,PASS,5.96,6,PASS,25.865199999999998,7,PASS,6.1388,6,PASS,15.881700000000002,6,PASS,32.3828,5,PASS,16.1544,6
resnet_c2f_b_f1_c4_negative_high_parent,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121",c2f,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,11.0315,PASS,19.4376,9,PASS,11.0315,6,PASS,12.9037,6,PASS,4.5454,2,FAIL_TRACKING_NAN,,,PASS,4.7003,3,PASS,12.690199999999999,5,FAIL_TRACKING_NAN,,,PASS,12.418999999999999,5
resnet_c2f_a_f2_c4_variant_negative,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121",c2f,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,10.5465,PASS,16.6103,8,PASS,10.5465,5,PASS,14.734,7,PASS,6.2434,7,PASS,7.0937,2,PASS,6.5081,8,PASS,24.567700000000002,8,PASS,31.791399999999996,4,PASS,22.6986,8
resnet_c2f_b_f2_c4_global_best,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121",c2f,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,9.3293,PASS,15.7758,7,PASS,9.3293,1,PASS,16.988,9,PASS,5.738300000000001,5,PASS,6.5996,1,PASS,5.8665,4,PASS,12.531900000000002,4,PASS,11.478,2,PASS,12.388499999999999,4
resnet_c2f_a_f6_c5_positive_synergy,"resnet:c2f:A:fine29,33,52:coarse108,121",c2f,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,9.849,PASS,8.0333,2,PASS,9.849,2,PASS,9.9486,3,PASS,6.444500000000001,8,FAIL_TRACKING_NAN,,,PASS,6.3833,7,PASS,18.7077,7,PASS,19.7013,3,PASS,19.1299,7
