dataset_order,dataset_key,dataset_family,dataset_condition,c2f_label,c2f_variant,c2f_configuration,c2f_status,c2f_ate_mean_cm,fine_parent_label,fine_parent_status,fine_parent_ate_mean_cm,coarse_parent_label,coarse_parent_status,coarse_parent_ate_mean_cm,best_direct_parent_label,best_direct_parent_ate_mean_cm,comparison_status,delta_vs_fine_cm,percent_delta_vs_fine,beats_fine_parent,delta_vs_better_direct_parent_cm,percent_delta_vs_better_direct_parent,beats_better_direct_parent
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,19.4376,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,10.439,resnet_layer2_direct_c4_d67_d108_d121,PASS,21.5029,resnet_conv1_direct_f1_d15_d20_d26_d34,10.439,COMPARABLE,8.9986,86.20174346201743,False,8.9986,86.20174346201743,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,16.6103,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,10.9807,resnet_layer2_direct_c4_d67_d108_d121,PASS,21.5029,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,10.9807,COMPARABLE,5.629599999999998,51.26813408981211,False,5.629599999999998,51.26813408981211,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,15.7758,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,10.9807,resnet_layer2_direct_c4_d67_d108_d121,PASS,21.5029,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,10.9807,COMPARABLE,4.7951,43.668436438478416,False,4.7951,43.668436438478416,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,8.0333,resnet_conv1_direct_f6_d29_d33_d52,PASS,9.7889,resnet_layer2_direct_c5_d108_d121,PASS,12.9191,resnet_conv1_direct_f6_d29_d33_d52,9.7889,COMPARABLE,-1.7555999999999994,-17.93459939319024,True,-1.7555999999999994,-17.93459939319024,True
2,fr1_desk_lightswitch,fr1_desk,lightswitch,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,11.0315,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,10.3758,resnet_layer2_direct_c4_d67_d108_d121,PASS,15.9524,resnet_conv1_direct_f1_d15_d20_d26_d34,10.3758,COMPARABLE,0.6556999999999995,6.319512712272784,False,0.6556999999999995,6.319512712272784,False
2,fr1_desk_lightswitch,fr1_desk,lightswitch,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,10.5465,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,10.4535,resnet_layer2_direct_c4_d67_d108_d121,PASS,15.9524,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,10.4535,COMPARABLE,0.09299999999999997,0.8896541828095851,False,0.09299999999999997,0.8896541828095851,False
2,fr1_desk_lightswitch,fr1_desk,lightswitch,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,9.3293,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,10.4535,resnet_layer2_direct_c4_d67_d108_d121,PASS,15.9524,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,10.4535,COMPARABLE,-1.1242,-10.754292820586407,True,-1.1242,-10.754292820586407,True
2,fr1_desk_lightswitch,fr1_desk,lightswitch,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,9.849,resnet_conv1_direct_f6_d29_d33_d52,PASS,14.672099999999999,resnet_layer2_direct_c5_d108_d121,PASS,16.6202,resnet_conv1_direct_f6_d29_d33_d52,14.672099999999999,COMPARABLE,-4.823099999999998,-32.87259492506185,True,-4.823099999999998,-32.87259492506185,True
3,fr1_desk_flashlight,fr1_desk,flashlight,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,12.9037,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,6.364400000000001,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.6285,resnet_conv1_direct_f1_d15_d20_d26_d34,6.364400000000001,COMPARABLE,6.5393,102.7480987995726,False,6.5393,102.7480987995726,False
3,fr1_desk_flashlight,fr1_desk,flashlight,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,14.734,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,12.238100000000001,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.6285,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,12.238100000000001,COMPARABLE,2.495899999999999,20.394505683071706,False,2.495899999999999,20.394505683071706,False
3,fr1_desk_flashlight,fr1_desk,flashlight,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,16.988,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,12.238100000000001,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.6285,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,12.238100000000001,COMPARABLE,4.7498999999999985,38.812397349261715,False,4.7498999999999985,38.812397349261715,False
3,fr1_desk_flashlight,fr1_desk,flashlight,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,9.9486,resnet_conv1_direct_f6_d29_d33_d52,PASS,10.4201,resnet_layer2_direct_c5_d108_d121,PASS,18.3832,resnet_conv1_direct_f6_d29_d33_d52,10.4201,COMPARABLE,-0.4714999999999989,-4.524908590128684,True,-0.4714999999999989,-4.524908590128684,True
4,fr2_desk_clean,fr2_desk,clean,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,4.5454,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,4.531000000000001,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.1158,resnet_conv1_direct_f1_d15_d20_d26_d34,4.531000000000001,COMPARABLE,0.014399999999999302,0.3178106378282785,False,0.014399999999999302,0.3178106378282785,False
4,fr2_desk_clean,fr2_desk,clean,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,6.2434,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,5.617500000000001,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.1158,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,5.617500000000001,COMPARABLE,0.6258999999999997,11.141967067200705,False,0.6258999999999997,11.141967067200705,False
4,fr2_desk_clean,fr2_desk,clean,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,5.738300000000001,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,5.617500000000001,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.1158,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,5.617500000000001,COMPARABLE,0.12080000000000002,2.150422785936805,False,0.12080000000000002,2.150422785936805,False
4,fr2_desk_clean,fr2_desk,clean,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,6.444500000000001,resnet_conv1_direct_f6_d29_d33_d52,PASS,5.96,resnet_layer2_direct_c5_d108_d121,PASS,17.2523,resnet_conv1_direct_f6_d29_d33_d52,5.96,COMPARABLE,0.4845000000000006,8.129194630872494,False,0.4845000000000006,8.129194630872494,False
5,fr2_desk_lightswitch,fr2_desk,lightswitch,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",FAIL_TRACKING_NAN,,resnet_conv1_direct_f1_d15_d20_d26_d34,FAIL_TRACKING_NAN,,resnet_layer2_direct_c4_d67_d108_d121,PASS,16.007199999999997,,,C2F_NONPASS,,,False,,,False
