rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,resnet_conv1_direct_f1_d15_d20_d26_d34,"resnet:direct:conv1:15,20,26,34",Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,0,0.9965095986038395,6.364400000000001,7.602499999999999,1.0621,11.897532576577296,11.063944929978904,18.192991387726856,0.8738503472362066,7.856794120984553,0.5460051439383775,4.971674921285723,7.39678404101,1.103529987143743,6.370254044643932,1.1085543305131675
2,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9965095986038395,9.3834,10.0908,1.0208,13.657726688509358,13.013498485907443,19.588606735933453,0.8419884358880261,3.6073420767548403,0.5250550566966425,1.9609986574218887,10.136399679523745,1.105240505956981,9.38420405860863,1.110113782056816
3,resnet_c2f_a_f6_c5_positive_synergy,"resnet:c2f:A:fine29,33,52:coarse108,121",C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,0,0.9965095986038395,9.9486,10.8931,1.3191,14.364797623313194,13.905186071563541,20.681427289481245,1.0768439820294509,16.391899207484293,0.5150001150632593,2.143534535703084,10.335013482947629,1.1163346000790955,9.959806351131089,1.1204074227742526
4,resnet_conv1_direct_f6_d29_d33_d52,"resnet:direct:conv1:29,33,52","Direct fine parent F6, included because it has the largest observed C2F gain with C5.",0,0.9965095986038395,10.4201,11.369,1.0084,14.501076857956008,13.91888650096815,22.885182519313396,0.8391507136840469,3.724639567602863,0.5113852740358737,1.9311063353370397,11.404720984211064,1.0971168282341535,10.417669395291473,1.1031990351601253
5,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"resnet:direct:conv1:23,24,26,51,63","Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.",0,0.9965095986038395,12.238100000000001,13.3774,1.0391,15.37219610228992,14.883462470332331,26.195064804144707,0.8799860595825459,6.127644465487335,0.6821701463147314,8.963958682469425,12.282436535051716,1.094906598317471,12.258416599325967,1.0959713043742123
6,resnet_c2f_b_f1_c4_negative_high_parent,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121",C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,0,0.9965095986038395,12.9037,14.21,1.4357,16.575188463828738,15.945356017999432,30.6708713965895,1.1714961297103041,19.82435989884297,0.6693250412627996,9.12983646152366,13.587131551267358,1.0932686153997728,12.891233240202274,1.102753034504322
7,resnet_c2f_a_f2_c4_variant_negative,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121",C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,0,0.9965095986038395,14.734,16.7526,1.9789999999999999,19.273737332592987,18.566777387075167,29.086857184392073,1.5827786809516458,32.130048487944954,0.6042936445621523,7.740975729083692,15.76986207477297,1.1007199778035115,14.704871180996253,1.1169537536946583
8,resnet_layer2_direct_c4_d67_d108_d121,"resnet:direct:layer2:67,108,121","Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.",0,0.9965095986038395,16.6285,18.477899999999998,2.4536,25.43939602451341,24.962568347915205,36.189893474650034,1.763744171113113,32.36509670314055,0.7177464515397717,7.930057399505036,18.2637325710334,1.2309578951978717,16.612140532650216,1.2583630225695017
9,resnet_c2f_b_f2_c4_global_best,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121",C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9965095986038395,16.988,18.7693,1.9687,20.356245350262128,19.41147318009355,36.62671811099399,1.5921004777527523,32.09258228415956,0.7169298030245048,9.398806445288221,17.532245147203113,1.086605794406792,16.96439327411065,1.1011507716001483
10,resnet_layer2_direct_c5_d108_d121,"resnet:direct:layer2:108,121","Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.",0,0.9965095986038395,18.3832,20.1936,2.4924999999999997,25.512825649862812,25.019479189450088,34.974211051500134,1.8330065285723118,33.9349136188652,0.7373573319891619,7.832156738002724,19.562557657369574,1.2038936039325505,18.356361976825927,1.2323979353994354
