label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,PASS,Completed the full matched RGB-D sequence,156.77713799697813,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.2751644119910957,0.2180954628646647,0.179405896287786,0.5590646506283337,0.1677790889957778,10.288643416450926,9.80052081959596,15.829674861775363,0.004198150799931613,0.07386521106832757,0.2802275576261876,2.6273207501582614,0.26110274093456837,0.2246634379094751,0.9525341574241812,0.06403125203620291,0.04637347025448997,1.0421124436441591,468,0.063975,0.045511,0.034282,2891,1.745826,2.353783,0,0.907,1.0,4654.0,0.002591,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/gray_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/gray_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/gray_baseline/replicate_0.log,2026-08-23T12:50:40.585246+00:00
resnet_layer2_direct_c4_d67_d108_d121,"Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.","resnet:direct:layer2:67,108,121","[67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,170.2653662560042,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.8551380999459302,0.7298863748877066,0.606710057884475,1.7675974720978902,0.44556374373642416,37.22847048596802,33.75052854261399,66.53426527801456,0.013619993779222966,0.32277346577837884,0.4419635726196023,10.259822015602111,0.8401071444588843,0.7503874799673209,0.9065716784910391,0.23830693451514268,0.16125748941593998,1.338417296273946,467,0.240644,0.161158,0.147635,2891,4.033447,4.4709305,0,0.894,1.0,2123.0,0.004827,305,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.log,2026-08-23T12:53:31.786369+00:00
resnet_layer2_direct_c5_d108_d121,"Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.","resnet:direct:layer2:108,121","[108, 121]",0,PASS,Completed the full matched RGB-D sequence,171.93900222799857,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.7975636480136857,0.6765673207818974,0.5580079223866241,1.7528881487116248,0.42233213598174535,33.71939299251794,30.914541275461218,59.63951528992317,0.012946065725025425,0.26799592388496846,0.43005322833063137,8.701790777990297,0.7809815900404832,0.6951137163811231,0.907090722136052,0.23626418652668313,0.17297483872441888,1.2872719329921118,468,0.23819,0.172523,0.124831,2891,2.816911,3.175869,0,0.898,1.0,2343.0,0.006614,247,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.log,2026-08-23T12:56:24.658862+00:00
resnet_conv1_direct_f1_d15_d20_d26_d34,Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,"resnet:direct:conv1:15,20,26,34","[15, 20, 26, 34]",0,PASS,Completed the full matched RGB-D sequence,163.17347137699835,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.34254291417869437,0.2760398668540685,0.23273947572293055,0.7154124478950985,0.20282416020094965,13.27252116991441,12.649356167586735,20.07519998196698,0.005086113103737007,0.10930686861726811,0.2824099132659004,2.6519458001267684,0.33132071457364975,0.2876552053730004,0.9521568088716843,0.07578821959487125,0.04846026918966025,1.063336160418096,470,0.074173,0.04531,0.044908,2891,9.069211,10.4553195,0,0.9,1.0,8785.0,0.005988,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.log,2026-08-23T12:59:08.770311+00:00
resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.","resnet:direct:conv1:23,24,26,51,63","[23, 24, 26, 51, 63]",0,PASS,Completed the full matched RGB-D sequence,157.19414306199178,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3654946634667298,0.2894633749406041,0.23314209698555596,0.8062215995858295,0.22315309451283294,14.400572574840828,13.478934689954796,25.370523695100285,0.005481364353835516,0.0882254898643544,0.293372810828918,3.2264589506524493,0.3523818647080031,0.30260328419178,0.9467939324976128,0.08678410476445579,0.05982664126455221,1.094698218782679,470,0.084544,0.056175,0.049819,2891,8.807534,10.19749,0,0.9,1.0,11530.0,0.007305,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.log,2026-08-23T13:01:46.893521+00:00
resnet_conv1_direct_f6_d29_d33_d52,"Direct fine parent F6, included because it has the largest observed C2F gain with C5.","resnet:direct:conv1:29,33,52","[29, 33, 52]",0,PASS,Completed the full matched RGB-D sequence,158.866955038975,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.6010065518123088,0.4955089100482487,0.3950025368666695,1.2675324836305193,0.3401173259099248,21.542299701318303,20.16446419224344,31.95001507570468,0.008496465000298584,0.2572152040181936,0.29728964949280684,3.5419727419093734,0.5724318139879653,0.5066938214066184,0.901000127332067,0.11904176428467135,0.06367594404168116,1.116281457772623,471,0.118487,0.0596,0.086289,2891,3.581757,4.150150999999999,0,0.901,1.0,4451.0,0.005522,10,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.log,2026-08-23T13:04:26.696358+00:00
resnet_c2f_b_f1_c4_negative_high_parent,C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,182.20994687700295,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.34004182443541536,0.2729816354819034,0.23318726318535804,0.7151759261364228,0.20275470168405735,13.112395802746784,12.489708266537187,20.153717457022008,0.004968702923950558,0.10370962898399957,0.2828555330967356,2.6841181505749425,0.32833044582383103,0.28468082356119484,0.9513804275049792,0.07468194330303526,0.048124271365957226,1.065932429724535,471,0.073456,0.045454,0.043497,2891,9.067342,10.5228485,0,0.899,1.0,8782.0,0.006925,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T13:07:29.845862+00:00
resnet_c2f_a_f2_c4_variant_negative,C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,191.77105711298645,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.4150366231504615,0.33173561615271674,0.2838375999560964,0.9274127191005795,0.24941307009039357,16.113533198808362,14.979489210657938,28.93319399387217,0.006429323441797362,0.09746066367839457,0.3110443825932723,3.6179155054521086,0.4007377798616777,0.3464163788128472,0.9407854384979593,0.09660989261886287,0.06539332657114197,1.1096870293868142,471,0.095378,0.062434,0.055476,2891,8.789683,10.130213000000001,0,0.899,1.0,11490.0,0.007608,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.log,2026-08-23T13:10:42.548254+00:00
resnet_c2f_b_f2_c4_global_best,C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,178.3735960079939,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.3671790171027617,0.2897012949182539,0.23859475037984781,0.8147019382320078,0.225596077809959,14.459892604588951,13.515737574322786,25.566520000044342,0.0054085808970431625,0.08526905965723944,0.29338224574677363,3.2449633597041836,0.35345054241573065,0.3032582834969427,0.9455213192019307,0.08789561439503597,0.06100434900668087,1.0938639933497196,471,0.085797,0.057383,0.048641,2891,8.816435,10.2026585,0,0.9,1.0,11520.0,0.006947,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.log,2026-08-23T13:13:41.843789+00:00
resnet_c2f_a_f6_c5_positive_synergy,C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,"resnet:c2f:A:fine29,33,52:coarse108,121","[29, 33, 52, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,182.817937668995,0,,,1311868263.1855,2891,2221,2893,0.9993086761147598,0.5941395116965533,0.4856445127088894,0.37287478106267596,1.268973786948957,0.34227352605009365,21.459408449474463,19.998559818668788,33.014714413084285,0.008182416454755639,0.23291194392699655,0.3067291628073899,4.096080783715552,0.5675347139186676,0.4987550306486077,0.9046630041015998,0.12116130518584446,0.06742463981455263,1.121854588557623,469,0.121336,0.064445,0.083928,2891,3.582442,4.1944415,0,0.904,1.0,4466.0,0.022613,12,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr2_desk_clean/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.log,2026-08-23T13:16:45.605909+00:00
