rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,resnet_conv1_direct_f1_d15_d20_d26_d34,"resnet:direct:conv1:15,20,26,34",Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,0,0.9993086761147598,4.531000000000001,7.4173,4.490799999999999,34.25429141786944,27.603986685406852,71.54124478950985,0.5086113103737007,10.93068686172681,0.2824099132659004,2.6519458001267684,28.765520537300038,0.9521568088716843,4.846026918966025,1.063336160418096
2,resnet_c2f_b_f1_c4_negative_high_parent,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121",C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,0,0.9993086761147598,4.5454,7.345599999999999,4.3497,34.00418244354154,27.29816354819034,71.51759261364228,0.49687029239505576,10.370962898399958,0.2828555330967356,2.6841181505749425,28.468082356119485,0.9513804275049792,4.812427136595723,1.065932429724535
3,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9993086761147598,4.5511,6.397500000000001,3.4282,27.516441199109572,21.809546286466468,55.90646506283336,0.41981507999316126,7.386521106832757,0.2802275576261876,2.6273207501582614,22.46634379094751,0.9525341574241812,4.637347025448997,1.0421124436441591
4,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"resnet:direct:conv1:23,24,26,51,63","Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.",0,0.9993086761147598,5.617500000000001,8.4544,4.9819,36.54946634667298,28.94633749406041,80.62215995858296,0.5481364353835516,8.82254898643544,0.293372810828918,3.2264589506524493,30.260328419178002,0.9467939324976128,5.982664126455221,1.094698218782679
5,resnet_c2f_b_f2_c4_global_best,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121",C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9993086761147598,5.738300000000001,8.579699999999999,4.8641,36.717901710276166,28.970129491825393,81.47019382320077,0.5408580897043163,8.526905965723945,0.29338224574677363,3.2449633597041836,30.325828349694273,0.9455213192019307,6.100434900668087,1.0938639933497196
6,resnet_conv1_direct_f6_d29_d33_d52,"resnet:direct:conv1:29,33,52","Direct fine parent F6, included because it has the largest observed C2F gain with C5.",0,0.9993086761147598,5.96,11.8487,8.6289,60.10065518123088,49.55089100482487,126.75324836305192,0.8496465000298584,25.721520401819358,0.29728964949280684,3.5419727419093734,50.669382140661845,0.901000127332067,6.367594404168115,1.116281457772623
7,resnet_c2f_a_f2_c4_variant_negative,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121",C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,0,0.9993086761147598,6.2434,9.5378,5.5476,41.50366231504615,33.17356161527167,92.74127191005796,0.6429323441797362,9.746066367839457,0.3110443825932723,3.6179155054521086,34.64163788128472,0.9407854384979593,6.539332657114197,1.1096870293868142
8,resnet_c2f_a_f6_c5_positive_synergy,"resnet:c2f:A:fine29,33,52:coarse108,121",C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,0,0.9993086761147598,6.444500000000001,12.1336,8.392800000000001,59.413951169655334,48.564451270888945,126.8973786948957,0.8182416454755639,23.291194392699655,0.3067291628073899,4.096080783715552,49.87550306486077,0.9046630041015998,6.742463981455263,1.121854588557623
9,resnet_layer2_direct_c4_d67_d108_d121,"resnet:direct:layer2:67,108,121","Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.",0,0.9993086761147598,16.1158,24.0644,14.763499999999999,85.51380999459302,72.98863748877066,176.75974720978903,1.3619993779222965,32.27734657783788,0.4419635726196023,10.259822015602111,75.0387479967321,0.9065716784910391,16.125748941593997,1.338417296273946
10,resnet_layer2_direct_c5_d108_d121,"resnet:direct:layer2:108,121","Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.",0,0.9993086761147598,17.2523,23.819000000000003,12.4831,79.75636480136858,67.65673207818975,175.2888148711625,1.2946065725025424,26.799592388496844,0.43005322833063137,8.701790777990297,69.51137163811231,0.907090722136052,17.297483872441887,1.2872719329921118
