label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,PASS,Completed the full matched RGB-D sequence,126.23865916999057,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1488101535953744,0.1265469768586033,0.10251513383288213,0.3120720085618377,0.07829638855673382,3.7784930467035975,3.6112193813719786,6.169949841551525,0.004459206344006864,0.02500894570356463,0.23201206977730313,0.9953779989675656,0.1453670336720365,0.12579232186885983,0.9847937043456251,0.12908400371352136,0.11261833753242227,0.9887860688945337,255,0.129084,0.112618,0.007064,2486,1.802263,2.518714,0,0.854,0.994,7958.0,0.00329,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/gray_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/gray_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/gray_baseline/replicate_0.log,2026-08-23T14:11:32.325024+00:00
resnet_layer2_direct_c4_d67_d108_d121,"Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.","resnet:direct:layer2:67,108,121","[67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,142.4188386980095,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,1.014517901083656,0.8009604797259497,0.47566831100743634,2.4239500531871268,0.6226627349828827,27.181814157401533,24.936784356597922,44.58430828298096,0.009271049532554546,0.03327320212575602,0.3421627756828281,1.3161383286442905,0.8992885790843038,0.7826274886115674,0.7984429240590168,0.7857606367069857,0.6840998727942229,0.8415065424301906,232,0.785761,0.6841,0.029945,2486,4.1305565,4.83706325,0,0.841,0.994,3192.0,0.005655,229,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_layer2_direct_c4_d67_d108_d121/replicate_0.log,2026-08-23T14:13:55.489993+00:00
resnet_layer2_direct_c5_d108_d121,"Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.","resnet:direct:layer2:108,121","[108, 121]",0,PASS,Completed the full matched RGB-D sequence,144.29614500596654,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.9311911687132493,0.7309251351248403,0.44561902261820885,2.207268246887596,0.5769449189760503,24.294881361858643,22.198894909647034,38.00346061581055,0.009599826477728762,0.04482956699945722,0.35206960758164213,1.343636830400176,0.8237263057978271,0.7102764720409215,0.813554352444882,0.7183886046941184,0.6192430371126852,0.8510754830244023,235,0.718389,0.619243,0.027061,2486,2.81851,3.834,0,0.852,0.995,4533.0,0.006388,231,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_layer2_direct_c5_d108_d121/replicate_0.log,2026-08-23T14:16:20.533771+00:00
resnet_conv1_direct_f1_d15_d20_d26_d34,Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,"resnet:direct:conv1:15,20,26,34","[15, 20, 26, 34]",0,PASS,Completed the full matched RGB-D sequence,137.45833375601796,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.1654428869310594,0.1359671612225691,0.08688230473312401,0.363575805945403,0.09425645816154561,4.523949372232522,4.241011888805808,7.484800521049618,0.004673998973382031,0.0260756799709092,0.23083627320444228,0.9386279956089667,0.16209163460276263,0.1365396476338734,0.984170648993962,0.14265755933958713,0.1211386439945671,0.9880526389124686,249,0.142658,0.121139,0.007238,2486,9.062154,10.775761,0,0.855,0.993,13700.0,0.005479,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f1_d15_d20_d26_d34/replicate_0.log,2026-08-23T14:18:38.739362+00:00
resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.","resnet:direct:conv1:23,24,26,51,63","[23, 24, 26, 51, 63]",0,PASS,Completed the full matched RGB-D sequence,131.92332810896914,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.16564085483588256,0.1354175801659107,0.1001891048778341,0.359499583051685,0.09538853061438292,4.432400237702141,4.181947469621053,6.87546069364642,0.005214105322414241,0.028175195171700175,0.2329674504909009,0.969520665319721,0.1609515293508106,0.13542354961684178,0.9813565286498115,0.14129836251905234,0.11942474565744701,0.9855146236886368,249,0.141298,0.119425,0.007232,2486,10.1146025,11.84799,0,0.855,0.993,14190.0,0.005733,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f2_d23_d24_d26_d51_d63/replicate_0.log,2026-08-23T14:20:51.423967+00:00
resnet_conv1_direct_f6_d29_d33_d52,"Direct fine parent F6, included because it has the largest observed C2F gain with C5.","resnet:direct:conv1:29,33,52","[29, 33, 52]",0,PASS,Completed the full matched RGB-D sequence,128.19188181002392,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.22353057885573666,0.1802997585054897,0.10297871264718762,0.45798552492544586,0.13212841014120616,6.112311249069339,5.714982694424426,9.253263259063658,0.004753561084591371,0.02614789716613734,0.23617576865230405,1.0490946921457878,0.21753599942588125,0.18109050753618847,0.9755860813567762,0.19060581318910008,0.15881673183638645,0.9813941008132501,250,0.190606,0.158817,0.008065,2486,3.9764705,4.79462225,0,0.853,0.993,6196.0,0.00346,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_conv1_direct_f6_d29_d33_d52/replicate_0.log,2026-08-23T14:23:00.376403+00:00
resnet_c2f_b_f1_c4_negative_high_parent,C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121","[15, 20, 26, 34, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,151.84891347802477,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.17368010572464354,0.14275512192705775,0.09432816917041553,0.3855830177164338,0.09892297148849821,4.697570564881894,4.410543663775227,7.790562003493858,0.0046758830267372275,0.025874088385688727,0.23156883804102227,0.9560486943296551,0.16972035340533959,0.1431522723533007,0.9824079482754038,0.14923566122816115,0.12690213653488067,0.9865477976798731,249,0.149236,0.126902,0.007394,2486,9.056791,10.7652865,0,0.855,0.994,13650.0,0.005023,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_b_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T14:25:32.966857+00:00
resnet_c2f_a_f2_c4_variant_negative,C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,157.88186476001283,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.3449958587295138,0.27902320486878435,0.18919034757639283,0.7211013599926178,0.20289946694180114,8.777782594709935,8.116661405174652,12.951275280912675,0.005546657054282256,0.024569174910125956,0.2430700175141049,1.153695819819181,0.32748720587413044,0.2771137142703413,0.9494983103975997,0.28942157577175415,0.245677062192561,0.9593840578754236,246,0.289422,0.245677,0.009993,2486,10.056997500000001,11.75488875,0,0.855,0.993,13720.0,0.007708,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_f2_c4_variant_negative/replicate_0.log,2026-08-23T14:28:11.602170+00:00
resnet_c2f_b_f2_c4_global_best,C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121","[23, 24, 26, 51, 63, 67, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,146.53347508597653,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.17351849052399387,0.14240807891682825,0.10424708833439822,0.3736269183423109,0.09913932425099418,4.700630376558341,4.418972616302806,7.178179533814132,0.005212923217352458,0.025888496648612612,0.23315332258159482,0.9683087797764394,0.16821465023627874,0.1421855521181447,0.9797457447596779,0.14766107964548922,0.12531886228372832,0.9843716131453302,249,0.147661,0.125319,0.007187,2486,10.133234999999999,11.87255825,0,0.855,0.993,14090.0,0.00562,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_b_f2_c4_global_best/replicate_0.log,2026-08-23T14:30:38.884695+00:00
resnet_c2f_a_f6_c5_positive_synergy,C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,"resnet:c2f:A:fine29,33,52:coarse108,121","[29, 33, 52, 108, 121]",0,PASS,Completed the full matched RGB-D sequence,152.07800238300115,0,,,1341848067.8628,2486,2486,2488,0.9991961414790996,0.2640107077244638,0.2124490120609793,0.12480956324638143,0.5501223319705711,0.15673886265851908,7.0723370844955955,6.572388161197441,10.730571949765041,0.004853669100534893,0.025497558165235114,0.2371426078817678,1.0048732782946563,0.2553497293118961,0.21293613510184256,0.9683260921515071,0.22336092883491104,0.1870766031901639,0.9754046284152669,251,0.223361,0.187077,0.008601,2486,3.983195,4.815623,0,0.848,0.993,6428.0,0.012881,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/resnet/per_dataset/fr3_long_office_household_clean/artifacts/resnet_c2f_a_f6_c5_positive_synergy/replicate_0.log,2026-08-23T14:33:11.697270+00:00
