rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9991961414790996,11.2618,12.9084,0.7064,14.88101535953744,12.65469768586033,31.20720085618377,0.4459206344006864,2.500894570356463,0.23201206977730313,0.9953779989675656,12.579232186885983,0.9847937043456251,11.261833753242227,0.9887860688945337
2,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,"resnet:direct:conv1:23,24,26,51,63","Direct fine parent F2, used by both A/B schedule tests of the global C2F pair.",0,0.9991961414790996,11.9425,14.129800000000001,0.7232,16.564085483588258,13.541758016591071,35.9499583051685,0.5214105322414241,2.8175195171700174,0.2329674504909009,0.969520665319721,13.542354961684177,0.9813565286498115,11.942474565744702,0.9855146236886368
3,resnet_conv1_direct_f1_d15_d20_d26_d34,"resnet:direct:conv1:15,20,26,34",Direct fine parent F1: global direct Conv1 optimum on fr1/desk_lightswitch.,0,0.9991961414790996,12.1139,14.2658,0.7238,16.54428869310594,13.596716122256911,36.3575805945403,0.4673998973382031,2.60756799709092,0.23083627320444228,0.9386279956089667,13.653964763387341,0.984170648993962,12.11386439945671,0.9880526389124686
4,resnet_c2f_b_f2_c4_global_best,"resnet:c2f:B:fine23,24,26,51,63:coarse67,108,121",C2F-B global ResNet C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9991961414790996,12.531900000000002,14.766099999999998,0.7187,17.351849052399388,14.240807891682824,37.362691834231086,0.5212923217352458,2.5888496648612613,0.23315332258159482,0.9683087797764394,14.21855521181447,0.9797457447596779,12.531886228372832,0.9843716131453302
5,resnet_c2f_b_f1_c4_negative_high_parent,"resnet:c2f:B:fine15,20,26,34:coarse67,108,121",C2F-B negative high-parent control: worse than direct global Conv1 optimum F1 on fr1 lightswitch.,0,0.9991961414790996,12.690199999999999,14.9236,0.7394000000000001,17.368010572464353,14.275512192705776,38.55830177164338,0.46758830267372276,2.587408838568873,0.23156883804102227,0.9560486943296551,14.315227235330068,0.9824079482754038,12.690213653488067,0.9865477976798731
6,resnet_conv1_direct_f6_d29_d33_d52,"resnet:direct:conv1:29,33,52","Direct fine parent F6, included because it has the largest observed C2F gain with C5.",0,0.9991961414790996,15.881700000000002,19.0606,0.8064999999999999,22.353057885573666,18.029975850548972,45.79855249254459,0.4753561084591371,2.614789716613734,0.23617576865230405,1.0490946921457878,18.109050753618845,0.9755860813567762,15.881673183638645,0.9813941008132501
7,resnet_c2f_a_f6_c5_positive_synergy,"resnet:c2f:A:fine29,33,52:coarse108,121",C2F-A positive synergy case: 32.9% lower fr1-lightswitch ATE than direct F6.,0,0.9991961414790996,18.7077,22.336100000000002,0.8601,26.401070772446378,21.24490120609793,55.012233197057114,0.48536691005348925,2.5497558165235112,0.2371426078817678,1.0048732782946563,21.293613510184255,0.9683260921515071,18.70766031901639,0.9754046284152669
8,resnet_c2f_a_f2_c4_variant_negative,"resnet:c2f:A:fine23,24,26,51,63:coarse67,108,121",C2F-A schedule control: slightly worse than direct F2 on fr1 lightswitch.,0,0.9991961414790996,24.567700000000002,28.9422,0.9993,34.499585872951386,27.902320486878434,72.11013599926179,0.5546657054282256,2.4569174910125957,0.2430700175141049,1.153695819819181,27.71137142703413,0.9494983103975997,24.5677062192561,0.9593840578754236
9,resnet_layer2_direct_c5_d108_d121,"resnet:direct:layer2:108,121","Direct coarse parent C5, selected because it produces the strongest C2F synergy with F6.",0,0.9991961414790996,61.9243,71.83890000000001,2.7061,93.11911687132492,73.09251351248403,220.72682468875962,0.9599826477728761,4.4829566999457215,0.35206960758164213,1.343636830400176,71.02764720409215,0.813554352444882,61.92430371126852,0.8510754830244023
10,resnet_layer2_direct_c4_d67_d108_d121,"resnet:direct:layer2:67,108,121","Direct coarse parent C4, selected because it is the coarse component of the global C2F optimum.",0,0.9991961414790996,68.41000000000001,78.57610000000001,2.9945,101.4517901083656,80.09604797259497,242.39500531871266,0.9271049532554545,3.327320212575602,0.3421627756828281,1.3161383286442905,78.26274886115674,0.7984429240590168,68.4099872794223,0.8415065424301906
