label,candidate_key,mode,variant,configuration,role,source_fr1_lightswitch_ate_mean_cm,fr1_desk_clean__status,fr1_desk_clean__ate_mean_cm,fr1_desk_clean__rank,fr1_desk_lightswitch__status,fr1_desk_lightswitch__ate_mean_cm,fr1_desk_lightswitch__rank,fr1_desk_flashlight__status,fr1_desk_flashlight__ate_mean_cm,fr1_desk_flashlight__rank,fr2_desk_clean__status,fr2_desk_clean__ate_mean_cm,fr2_desk_clean__rank,fr2_desk_lightswitch__status,fr2_desk_lightswitch__ate_mean_cm,fr2_desk_lightswitch__rank,fr2_desk_flashlight__status,fr2_desk_flashlight__ate_mean_cm,fr2_desk_flashlight__rank,fr3_long_office_household_clean__status,fr3_long_office_household_clean__ate_mean_cm,fr3_long_office_household_clean__rank,fr3_long_office_household_lightswitch__status,fr3_long_office_household_lightswitch__ate_mean_cm,fr3_long_office_household_lightswitch__rank,fr3_long_office_household_flashlight__status,fr3_long_office_household_flashlight__ate_mean_cm,fr3_long_office_household_flashlight__rank
gray_baseline,gray,gray,,gray,Photometric grayscale baseline; no learned tracking features.,,PASS,7.3847,4,FAIL_TRACKING_NAN,,,PASS,9.3834,7,PASS,4.5511,8,PASS,8.4609,9,PASS,4.6496,8,PASS,11.2618,8,FAIL_TRACKING_NAN,,,PASS,10.594199999999999,8
unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30",direct,,"direct enc1[d0,d5,d6,d18,d30]","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",7.6408,PASS,8.1456,6,PASS,7.6408000000000005,9,PASS,9.2241,6,PASS,4.984,10,PASS,5.683400000000001,6,PASS,5.0815,10,PASS,13.2091,10,PASS,11.2919,4,PASS,13.594899999999999,10
unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30",direct,,"direct enc1[d0,d5,d6,d17,d18,d30]","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",6.9553,PASS,13.694799999999999,10,PASS,6.9553,7,PASS,17.6194,10,PASS,4.6297,9,PASS,5.3374,5,PASS,4.9033,9,PASS,12.7167,9,PASS,11.3039,5,PASS,12.976299999999998,9
unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",direct,,"direct enc0[d2,d3,d7,d12,d13,d14]",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,5.9208,PASS,9.8457,8,PASS,5.9208,2,PASS,9.7913,8,PASS,3.4966999999999997,7,PASS,7.0608,8,PASS,3.5597999999999996,7,PASS,10.2805,6,PASS,12.951699999999999,8,PASS,10.0373,3
unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",direct,,"direct enc0[d3,d7,d12]",Direct fine parent F2: the three-channel near-optimum.,6.0004,PASS,11.4312,9,PASS,6.0004,3,PASS,8.1473,4,PASS,3.0303,2,PASS,6.8461,7,PASS,3.0736,1,PASS,10.4039,7,PASS,13.842699999999999,9,PASS,10.469299999999999,7
unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13",direct,,"direct enc0[d2,d3,d7,d12,d13]","Direct fine parent F5, included because it has the clearest positive C2F synergy.",7.0959,PASS,7.388699999999999,5,PASS,7.095899999999999,8,PASS,10.5885,9,PASS,3.3883000000000005,6,PASS,11.8873,10,PASS,3.4693,6,PASS,10.0238,2,PASS,12.651000000000002,7,PASS,9.7461,1
unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",c2f,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13,d14]; coarse enc1[d0,d5,d6,d18,d30]",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,6.5324,PASS,6.499199999999999,1,PASS,6.532399999999999,6,PASS,8.0548,2,PASS,3.3661999999999996,5,PASS,4.3113,3,PASS,3.4537,5,PASS,10.0249,3,PASS,9.1046,1,PASS,10.0469,4
unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",c2f,A,"C2F-A; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d18,d30]",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,5.8765,PASS,6.858599999999999,2,PASS,5.8765,1,PASS,7.9201999999999995,1,PASS,3.0273000000000003,1,PASS,3.8587999999999996,1,PASS,3.0919,3,PASS,10.1614,5,PASS,9.6332,2,PASS,10.337,6
unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",c2f,A,"C2F-A; fine enc0[d2,d3,d7,d12,d13]; coarse enc1[d0,d5,d6,d18,d30]",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,6.1874,PASS,7.236199999999999,3,PASS,6.1874,4,PASS,8.0831,3,PASS,3.3151,4,PASS,3.9342,2,PASS,3.3230000000000004,4,PASS,9.6901,1,PASS,10.2286,3,PASS,10.0308,2
unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30",c2f,B,"C2F-B; fine enc0[d3,d7,d12]; coarse enc1[d0,d5,d6,d17,d18,d30]","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",6.3454,PASS,8.313600000000001,7,PASS,6.3454,5,PASS,8.3586,5,PASS,3.0422000000000002,3,PASS,4.3206,4,PASS,3.0738000000000003,2,PASS,10.1477,4,PASS,11.9981,6,PASS,10.078,5
