label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,PASS,Completed the full matched RGB-D sequence,44.234534531016834,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1215545342403328,0.11476238775136349,0.12106541385158039,0.18120850616900863,0.040063688696748055,8.032845281744422,7.825840377402345,11.476266039586791,0.008174082630743986,0.036253795953370506,0.512093859521422,1.9672819967498894,0.09768173281723744,0.08588617602077821,1.0912595653028874,0.08597466685556185,0.07381853304879879,1.097656870332593,432,0.085987,0.073847,0.009692,571,1.802476,2.7181495,0,0.87,0.992,9604.0,0.001051,0,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/gray_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/gray_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/gray_baseline/replicate_0.log,2026-08-23T09:27:50.621267+00:00
unet_enc1_direct_c4_d00_d05_d06_d18_d30,"Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.","unet:direct:enc1:0,5,6,18,30","[0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,49.90337212700979,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11887200450610505,0.11261418470620277,0.11930363255802644,0.20138048400224148,0.03806046319025441,7.977434028014852,7.589548207297139,12.044670494301029,0.008973378397831477,0.07149112744159924,0.7191684269694791,9.50541735967938,0.09487558541994306,0.08578600842644679,1.090224725510659,0.09000456228978285,0.08155257705366237,1.0934642214166252,428,0.089912,0.081456,0.010783,571,11.12286,16.1185475,0,0.893,0.993,120300.0,0.017557,22,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.log,2026-08-23T09:28:41.175619+00:00
unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.","unet:direct:enc1:0,5,6,17,18,30","[0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.12718231001054,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.16762169409435781,0.15683958859377756,0.14594671810288096,0.3525025532391857,0.059147069080361596,8.926114234128784,8.685729931798837,13.146465144788044,0.009463523094222756,0.0919085088746889,0.7233713914361929,9.626232741434963,0.15712261522264814,0.1403171283272543,1.0731815878186444,0.15417336050966227,0.1369107686370341,1.0812861239664298,427,0.154159,0.136948,0.011255,571,14.471186,20.003656499999998,0,0.893,0.993,133700.0,0.025682,28,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.log,2026-08-23T09:29:31.945991+00:00
unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,"unet:direct:enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,44.46612121901126,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11983209964658162,0.11229492389524087,0.10676932273486552,0.19942925056445565,0.04182800704157835,7.707927316583764,7.0114878702032986,12.374021978794437,0.01079723064030089,0.17379924152279652,0.5747421463395407,6.8428475513732385,0.10756605516785991,0.09623815804750947,1.065113896724223,0.11041503108917905,0.09867290469481625,1.0638996084064767,427,0.110219,0.098457,0.012797,571,8.784326,10.221742500000001,0,0.898,0.992,41100.0,0.004929,8,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-23T09:30:17.053569+00:00
unet_enc0_direct_f2_d03_d07_d12,Direct fine parent F2: the three-channel near-optimum.,"unet:direct:enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,43.95313089599949,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.14136961414707652,0.13210862889643404,0.1266542645647931,0.2917597496263541,0.05032571882444962,7.993343093143839,7.77823961807508,11.964796164636347,0.008956846641682774,0.09247971243026659,0.6560682264588276,10.329065347527125,0.13278402161053376,0.11815767439085836,1.059757326087172,0.1289710700585612,0.11423514402326042,1.0661183075555285,429,0.129,0.114312,0.0105,571,4.445487,5.0683115,0,0.87,0.992,49090.0,0.0041,8,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.log,2026-08-23T09:31:01.651606+00:00
unet_enc0_direct_f5_d02_d03_d07_d12_d13,"Direct fine parent F5, included because it has the clearest positive C2F synergy.","unet:direct:enc0:2,3,7,12,13","[2, 3, 7, 12, 13]",0,PASS,Completed the full matched RGB-D sequence,44.47155082199606,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10526510136023091,0.09970775570881728,0.1048840670118322,0.18547630290045455,0.03375062985916715,7.076912522338476,6.753823899478223,11.124144518409938,0.009426240967982473,0.10295769602188044,0.70483952380091,10.281715828151633,0.08275048238446159,0.07684011392994258,1.0811679373002248,0.0795229630381428,0.07394629052607529,1.085198187425723,427,0.079467,0.073887,0.011358,571,7.717355,8.907745,0,0.898,0.992,65270.0,0.005424,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.log,2026-08-23T09:31:46.780296+00:00
unet_c2f_a_f1_c4_negative_high_parent,C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.13848793201032,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09617553555860096,0.0917650152034695,0.09693105331343692,0.15502433303101792,0.028790894822681875,7.436079408261247,6.940665472315515,11.799551854605133,0.00938853589289939,0.10137045285661567,0.6976534694075015,8.593232966150206,0.07382158349267161,0.06748279375729421,1.0765016772919762,0.07082684014588901,0.06508328194724974,1.0791538167058359,427,0.070749,0.064992,0.011273,571,8.791515,10.232193,0,0.895,0.993,85250.0,0.008404,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T09:32:35.571909+00:00
unet_c2f_a_f2_c4_global_best,C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30","[3, 7, 12, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.268677179992665,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09915563174208973,0.09417293986822085,0.09681326771621598,0.17889925529681236,0.03103702148643409,7.384541507681384,6.972507998062672,11.514890434106967,0.008955639904616172,0.07714776819130885,0.7196722798485286,9.67254269481774,0.07828114340541503,0.07112042794297979,1.0754901559200531,0.07545348104207364,0.06867887759967818,1.078090310698984,428,0.075373,0.068586,0.01066,571,4.439812,5.0822590000000005,0,0.894,0.993,58410.0,0.008129,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.log,2026-08-23T09:33:24.499760+00:00
unet_c2f_a_f5_c4_positive_synergy,C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30","[2, 3, 7, 12, 13, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.633770865009865,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10242060534932214,0.09691382086221254,0.0965267979728832,0.18922844753879128,0.03313143108905156,7.4195602252018125,7.055808670534121,11.459321280826487,0.009202313451431122,0.06598493902621322,0.7364161157458865,9.814569890756204,0.08358585419293979,0.07465282745095453,1.0733114888496467,0.08082880840962907,0.07246242298172981,1.076260468670313,427,0.080749,0.072362,0.01096,571,7.712548,8.9008465,0,0.895,0.993,87350.0,0.005961,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.log,2026-08-23T09:34:13.782330+00:00
unet_c2f_b_f2_c2_variant_contrast,"C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.","unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,46.71463238701108,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11164341489832708,0.10529147214745378,0.10418227889866595,0.21524085931470446,0.037120856444618364,7.223464312679679,6.925212606541648,11.161347463431511,0.009122287861294855,0.09167047826246562,0.7019617377076928,9.902778996326923,0.09405706771632451,0.08552383743333465,1.0746839194969307,0.0912683934017542,0.083186002901968,1.0786579796207894,428,0.091221,0.083136,0.010865,571,4.44535,5.078715,0,0.897,0.992,54410.0,0.003396,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_clean/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.log,2026-08-23T09:35:01.140767+00:00
