label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,PASS,Completed the full matched RGB-D sequence,44.37511940501281,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.13657726688509358,0.13013498485907443,0.13975417892316963,0.19588606735933453,0.041451604860735444,9.269501374579109,8.995919576180304,13.335508319399926,0.008419884358880261,0.0360734207675484,0.5250550566966425,1.9609986574218887,0.10903834807934228,0.10136399679523744,1.105240505956981,0.1009237041435541,0.09384204058608629,1.110113782056816,432,0.100908,0.093834,0.010208,571,1.808053,2.712426,0,0.869,0.992,10780.0,0.004929,1,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/gray_baseline/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/gray_baseline/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/gray_baseline/replicate_0.log,2026-08-23T09:43:32.836577+00:00
unet_enc1_direct_c4_d00_d05_d06_d18_d30,"Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.","unet:direct:enc1:0,5,6,18,30","[0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.0645828669949,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12867470454269625,0.12264546098945911,0.13113069285282236,0.2166454883343482,0.03892647540984465,8.08189387219603,7.6723698644304665,11.86514882679293,0.00875011611365615,0.0717857204447925,0.697701127310139,9.530696575577783,0.10390105293602028,0.09616291177926338,1.0962725067237156,0.09950982892903779,0.0923081687693175,1.1000382694987239,428,0.099437,0.092241,0.010509,571,11.261932,16.344718,0,0.893,0.993,127400.0,0.026693,30,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.log,2026-08-23T09:44:23.547536+00:00
unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.","unet:direct:enc1:0,5,6,17,18,30","[0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.86651842700667,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.20491527310357835,0.189279075337792,0.17047827387853054,0.44319287840759564,0.07850924015926115,10.527097593308394,10.092899314835874,15.740625385285515,0.01019479281427283,0.08990265676172099,0.7846998682992257,9.573359268090826,0.20013370415521756,0.17824750969777198,1.0547880035459518,0.19834345321388736,0.176130487945587,1.0635170869651336,427,0.198328,0.176194,0.011936,571,14.712733,21.037421000000002,0,0.914,0.992,166600.0,0.019563,36,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.log,2026-08-23T09:45:15.063692+00:00
unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,"unet:direct:enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,45.07655133999651,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12100178361514881,0.11666360174521305,0.12173733348893184,0.1887071933506206,0.03210974409554865,8.004209599920967,7.506767912806757,11.870811312054364,0.013383325714804946,0.234267977333312,0.7090470060872004,10.818565703949446,0.1036163280736441,0.09567389982695976,1.0779281927019575,0.1062862760833357,0.09803887457156214,1.0782272272496494,427,0.106174,0.097913,0.016363,571,8.949043,10.482293,0,0.898,0.993,65480.0,0.005073,8,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-23T09:46:00.787373+00:00
unet_enc0_direct_f2_d03_d07_d12,Direct fine parent F2: the three-channel near-optimum.,"unet:direct:enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,44.3384346649982,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10822484822384308,0.10374147685559067,0.1041892551953285,0.18853856594295423,0.030827321532932724,7.085057657959044,6.689955632769745,11.106291343161192,0.00971227406223716,0.09285440992966144,0.7032796636476544,10.402840270353698,0.0889470559864481,0.08285178873221964,1.0766468645897087,0.08710465003362909,0.0815513112302135,1.0796002814164372,429,0.087029,0.081473,0.01164,571,4.52067,5.2313445000000005,0,0.897,0.992,49590.0,0.00375,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.log,2026-08-23T09:46:45.776015+00:00
unet_enc0_direct_f5_d02_d03_d07_d12_d13,"Direct fine parent F5, included because it has the clearest positive C2F synergy.","unet:direct:enc0:2,3,7,12,13","[2, 3, 7, 12, 13]",0,PASS,Completed the full matched RGB-D sequence,44.897548498993274,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12715319402832387,0.11841831749441774,0.11210112671175437,0.20734508240755287,0.04631454235330253,8.179610969930831,7.568524480874702,12.497821734777716,0.011842878670540848,0.2070147302310495,0.566201068786933,6.441864005737687,0.11511633469714942,0.1024616060865226,1.0667563947798686,0.11901451412094326,0.10608379343240688,1.0650123013819066,427,0.118824,0.105885,0.014114,571,7.734509,9.132313,0,0.898,0.993,42690.0,0.006705,6,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.log,2026-08-23T09:47:31.323070+00:00
unet_c2f_a_f1_c4_negative_high_parent,C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.71228576800786,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11012871378635043,0.10414799984669233,0.10735417767493012,0.19833024960654186,0.035798431923329634,7.342605735799177,6.990074656080875,11.09200207032976,0.008950848890185324,0.08402485982682575,0.6965103215118293,9.329896921955628,0.08936866809007432,0.08272831464101693,1.0802806876427338,0.08691112358119385,0.08060636915525596,1.0839982920250606,427,0.086856,0.080548,0.010706,571,8.953942,10.478189,0,0.895,0.993,89350.0,0.004783,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T09:48:20.689410+00:00
unet_c2f_a_f2_c4_global_best,C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30","[3, 7, 12, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.890270326985046,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.1085022623543317,0.10232272434485326,0.10452796367682228,0.2029466157557231,0.03609433499394885,7.318624946469952,6.97746781939941,11.108175835827701,0.008709780583850673,0.0701861898472862,0.7018640483827243,9.705646346065294,0.08874548988093375,0.08141673058127354,1.0776808130139288,0.08625611931599036,0.07926894137463937,1.0811222609217976,428,0.086192,0.079202,0.010331,571,4.531396,5.2599045,0,0.894,0.993,58680.0,0.008129,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.log,2026-08-23T09:49:10.225564+00:00
unet_c2f_a_f5_c4_positive_synergy,C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30","[2, 3, 7, 12, 13, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.84361588800675,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11063829213443499,0.10432068786933592,0.10562253593680543,0.20213051666591247,0.0368514011795097,7.45479652455106,7.117273602039077,11.23773736888747,0.008706014813868986,0.06857618968882544,0.7035730685113177,9.686166594312166,0.09031281885684388,0.08260389272298885,1.0796903245985787,0.08834176817608423,0.08091280721331803,1.0829355208064677,427,0.08827,0.080831,0.010348,571,7.733713,9.133537,0,0.895,0.993,94600.0,0.012485,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.log,2026-08-23T09:49:59.716199+00:00
unet_c2f_b_f2_c2_variant_contrast,"C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.","unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,47.01544289497542,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11059843074168627,0.10621887083631631,0.10699731154701593,0.2028224714753406,0.030815002203172487,6.967601434691849,6.627882854723928,10.968490002282595,0.009622990988193856,0.09990068406793938,0.6962815865258359,9.701124363178288,0.09410444576183336,0.08667565038293064,1.0719698859746851,0.09027232103322612,0.08358045816158881,1.0761439560487482,428,0.090267,0.083586,0.011518,571,4.519753,5.255959,0,0.874,0.992,54410.0,0.003774,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_flashlight/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.log,2026-08-23T09:50:47.415163+00:00
