label,role,candidate_key,channels_json,replicate,status,reason,elapsed_seconds,exit_code,failure_timestamp,failure_frame_index,last_timestamp,trajectory_poses,associated_poses,expected_matched_frames,coverage_ratio,se3_ate_rmse_m,se3_ate_mean_m,se3_ate_median_m,se3_ate_max_m,se3_ate_std_m,rotation_ape_rmse_deg,rotation_ape_mean_deg,rotation_ape_max_deg,translation_rpe_rmse_m,translation_rpe_max_m,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_rmse_m,allframe_sim3_mean_m,allframe_sim3_scale,keyframe_sim3_rmse_m,keyframe_sim3_mean_m,keyframe_sim3_scale,keyframe_associated_poses,historical_evo_ape_rmse_m,historical_evo_ape_mean_m,historical_evo_rpe_rmse_m,diagnostic_frames,photo_mse_median,photo_mse_p95,photo_mse_nonfinite_count,valid_ratio_min,valid_ratio_median,h_cond_max,delta_norm_max,crazy_affine_count,trajectory_path,keyframe_trajectory_path,log_path,created_at
gray_baseline,Photometric grayscale baseline; no learned tracking features.,gray,,0,FAIL_TRACKING_NAN,Tracking emitted non-finite affine/pose diagnostics,20.28184076398611,-15,1305031462.4276,249,,,,573,,,,,,,,,,,,,,,,,,,,,,,,248,1.756223,1404.877905399999,1,0.0,0.993,1246000.0,0.014408,52,,,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/gray_baseline/replicate_0.log,2026-08-23T09:35:21.697307+00:00
unet_enc1_direct_c4_d00_d05_d06_d18_d30,"Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.","unet:direct:enc1:0,5,6,18,30","[0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,51.75826314999722,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.12670755025658795,0.11962821774829238,0.12650251405895516,0.20766498219014917,0.04175994265313232,9.399238324515158,8.30106688550811,16.295831964577648,0.010072186022796002,0.08023855167264174,0.8163480125847722,9.3511864565293,0.09519368823890335,0.08730313551392534,1.1069721197970053,0.0834539514902718,0.07643216595085174,1.113187040430258,431,0.083417,0.076408,0.013711,571,11.685208,375.8873595,0,0.893,0.993,828400.0,0.023392,47,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc1_direct_c4_d00_d05_d06_d18_d30/replicate_0.log,2026-08-23T09:36:14.110996+00:00
unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.","unet:direct:enc1:0,5,6,17,18,30","[0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,51.955620914988685,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.11824288465216659,0.11107792042130887,0.10905111143120583,0.18852725251571975,0.04053486605063526,10.132724600682094,8.869289758036704,15.920690164185586,0.01016813892844974,0.10315589294841752,0.7991341777150397,9.606846972454047,0.08672622099407316,0.07534445857967163,1.1022728748901671,0.07767380625804456,0.0696973770758195,1.1067954915416445,430,0.077536,0.069553,0.013857,571,15.084415,431.8799745,0,0.893,0.993,6019000.0,0.022439,54,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30/replicate_0.log,2026-08-23T09:37:06.719397+00:00
unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,"unet:direct:enc0:2,3,7,12,13,14","[2, 3, 7, 12, 13, 14]",0,PASS,Completed the full matched RGB-D sequence,45.276109366997844,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10134148428395612,0.09695135802809891,0.09616570023685944,0.17535767364389945,0.029504755775683088,7.084381841076872,6.730074101791274,10.781860911569082,0.00858763379785899,0.03782081096333694,0.5797250638508179,6.255272716841811,0.06719066007535628,0.06256357010573997,1.0957749597773676,0.06415824364529799,0.05936392097286242,1.0973007488832296,430,0.064001,0.059208,0.010943,571,9.070444,56.796276,0,0.899,0.993,70150.0,0.005348,10,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14/replicate_0.log,2026-08-23T09:37:52.637324+00:00
unet_enc0_direct_f2_d03_d07_d12,Direct fine parent F2: the three-channel near-optimum.,"unet:direct:enc0:3,7,12","[3, 7, 12]",0,PASS,Completed the full matched RGB-D sequence,45.509337178984424,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09326600329356742,0.08797280937982409,0.08534297821731512,0.16408201537241354,0.030973087998726577,7.117200215105091,6.439193318376405,11.454680426205497,0.011031877772606707,0.10688265635997747,0.7579433269246888,8.313029796965509,0.07201878304508959,0.06465242496840973,1.0733121565929014,0.06576394037299164,0.0601298591014434,1.0750598090523062,432,0.065652,0.060004,0.01487,571,4.615495,58.715185000000005,0,0.897,0.993,51830.0,0.006103,13,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f2_d03_d07_d12/replicate_0.log,2026-08-23T09:38:38.804558+00:00
unet_enc0_direct_f5_d02_d03_d07_d12_d13,"Direct fine parent F5, included because it has the clearest positive C2F synergy.","unet:direct:enc0:2,3,7,12,13","[2, 3, 7, 12, 13]",0,PASS,Completed the full matched RGB-D sequence,45.60176079699886,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10971022211768017,0.1042263395172495,0.10672585255882289,0.19641063545205312,0.03425205085751445,7.992697625098998,7.505007081514951,12.115921130204574,0.010247739057551894,0.10227325790420778,0.7974576871211516,10.274739263194908,0.0841201912527,0.07519765701912084,1.0884688962001532,0.07873271932863606,0.07105605307065348,1.0893199743233433,431,0.078647,0.070959,0.013664,571,7.972407,46.036865500000005,0,0.898,0.993,70840.0,0.004302,19,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_enc0_direct_f5_d02_d03_d07_d12_d13/replicate_0.log,2026-08-23T09:39:25.051589+00:00
unet_c2f_a_f1_c4_negative_high_parent,C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30","[2, 3, 7, 12, 13, 14, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.369232789002126,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10436208301367932,0.09889002021775517,0.10297601500978192,0.17800064633205875,0.033349786690263304,8.818685754123091,7.700262076201603,14.022964672743491,0.00945654200991132,0.07158608920275927,0.8019830444976215,9.743403840566634,0.07600741718995285,0.06962706233909907,1.0898714916605903,0.07086207431043101,0.06550577208496776,1.0934612677018594,429,0.070697,0.065324,0.012727,571,9.110768,55.902587499999996,0,0.895,0.993,96900.0,0.048768,19,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f1_c4_negative_high_parent/replicate_0.log,2026-08-23T09:40:16.069376+00:00
unet_c2f_a_f2_c4_global_best,C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30","[3, 7, 12, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.481802985974355,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10083529141956475,0.09541625389088998,0.09606070056046319,0.16050686355487412,0.032611263224502196,8.921101321365606,7.799388704401507,14.927986296836622,0.009781991067923039,0.07467637328642682,0.8088578805156228,9.682362279465002,0.07166208647338713,0.06418656292327247,1.0890421575164084,0.06443713856659766,0.05890626065683651,1.0927963308945405,430,0.064309,0.058765,0.013099,571,4.618502,57.2213515,0,0.894,0.993,50350.0,0.021585,19,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f2_c4_global_best/replicate_0.log,2026-08-23T09:41:07.198584+00:00
unet_c2f_a_f5_c4_positive_synergy,C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30","[2, 3, 7, 12, 13, 0, 5, 6, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,50.38944753599935,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.10161167674515909,0.09666545137386949,0.09781397498974917,0.17801966274552086,0.03131650302394532,9.03405494181565,7.8534067533974525,14.454295182539918,0.009486793515981098,0.08462040524354268,0.7458663881588324,9.343093286447811,0.07133646846566657,0.06424965799937181,1.090986082300356,0.06822587622425118,0.062074537704064375,1.093453503898468,429,0.068056,0.061874,0.012523,571,7.998435,47.555132,0,0.894,0.993,76200.0,0.004802,19,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_a_f5_c4_positive_synergy/replicate_0.log,2026-08-23T09:41:58.256192+00:00
unet_c2f_b_f2_c2_variant_contrast,"C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.","unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","[3, 7, 12, 0, 5, 6, 17, 18, 30]",0,PASS,Completed the full matched RGB-D sequence,48.66020121797919,0,,,1305031473.1961,571,571,573,0.9965095986038395,0.09730687842727807,0.09050371469537515,0.08954470643125473,0.16670486291355396,0.03574501665406259,6.968251810050249,6.433182312345934,10.62065638614858,0.010564655899039667,0.1058959626490502,0.8392377075502477,9.9244548345871,0.07670390801873492,0.07076332672198103,1.0741665684632185,0.0685163716822384,0.06348372791779769,1.0774246897761537,431,0.068473,0.063454,0.014006,571,4.617132,60.41769600000001,0,0.899,0.993,48390.0,0.00504,16,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.all_frames.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.keyframes.tum.txt,/home/melody/code/individual_project/channel_selection_results/step_q_c2f_multi_dataset_evaluation/unet/per_dataset/fr1_desk_lightswitch/artifacts/unet_c2f_b_f2_c2_variant_contrast/replicate_0.log,2026-08-23T09:42:47.578397+00:00
