rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9993086761147598,3.0273000000000003,5.2406,3.1954999999999996,28.180401039465465,22.584889348079123,59.09730551569563,0.4464491682679806,8.786252792046266,0.27625310418990134,2.053467863082187,23.088584092213715,0.9483000259712131,3.221216008640151,1.0220765043188396
2,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",Direct fine parent F2: the three-channel near-optimum.,0,0.9993086761147598,3.0303,5.0365,2.7988,25.989702489921672,20.386808865943035,54.09442344937352,0.3991662366994638,6.584881479252587,0.2745425722649001,2.040719205780215,20.869520664899746,0.9488958554403892,3.2285896148444264,1.0199235134555331
3,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",0,0.9993086761147598,3.0422000000000002,5.0556,2.8583999999999996,26.1204336708568,20.55152455939045,54.36035910581345,0.40310713609661897,6.834512866474688,0.27457176520756194,2.008716375963677,21.045477936720953,0.949214589280035,3.2417268160577453,1.020213087286593
4,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,0,0.9993086761147598,3.3151,5.2545,2.9701999999999997,26.917989833354035,21.352301496285016,56.24582341146645,0.4252864586083576,7.790969018840439,0.27667963081125063,2.1070059943746404,21.867595342701712,0.9488157951339994,3.532578125891195,1.0246112700080652
5,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,0,0.9993086761147598,3.3661999999999996,5.5636,3.3757,28.787020626309378,23.059888613714186,59.728743363615536,0.4497703676040888,9.152015917169148,0.2764241696049638,2.1942953724392638,23.62796723426213,0.9478307635540347,3.5860577764029435,1.0266404693473021
6,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13","Direct fine parent F5, included because it has the clearest positive C2F synergy.",0,0.9993086761147598,3.3883000000000005,5.2442,2.8914,25.74401874565383,20.31018329581157,52.75046769881383,0.4020328466359138,7.3643017364435766,0.2757004414867251,2.149066651454169,20.74836650118732,0.9495675769129145,3.585923137034462,1.0224055940340375
7,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,0,0.9993086761147598,3.4966999999999997,5.5313,3.1569,27.554054765042952,21.939699790391952,56.645807936767554,0.4297447068537141,8.381992834454605,0.27751367394148496,2.295531498492187,22.463266167560462,0.9484382709740224,3.684983545644046,1.025976486678667
8,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9993086761147598,4.5511,6.397500000000001,3.4282,27.516441199109572,21.809546286466468,55.90646506283336,0.41981507999316126,7.386521106832757,0.2802275576261876,2.6273207501582614,22.46634379094751,0.9525341574241812,4.637347025448997,1.0421124436441591
9,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",0,0.9993086761147598,4.6297,7.7332,5.2417,38.971503459783065,31.691008381262375,85.08085225626792,0.5847456368888676,14.889937677428092,0.2802869386552876,2.1586341385287913,32.41683265152912,0.9368429933109914,4.8991335033862065,1.071719377219522
10,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",0,0.9993086761147598,4.984,8.3669,5.7719,41.386665024452,33.85692553541998,89.77283853277314,0.6337468841156428,17.029271849534418,0.2831340954692756,2.580933665352814,34.77631986667578,0.9378939744879653,5.317416541894623,1.0728316233634552
