rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",Direct fine parent F2: the three-channel near-optimum.,0,0.9993086761147598,3.0736,5.1974,2.9188,26.683809911169774,20.93409672949654,55.697771048360735,0.40821366653503965,6.818745917833155,0.27528429140855887,2.076352396271558,21.46020867195273,0.9483485162829938,3.276318977363115,1.024486672002017
2,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",0,0.9993086761147598,3.0738000000000003,5.2113,2.9524000000000004,26.550406339589166,20.849640184078645,55.65633549533332,0.4059549528768432,6.889742441258679,0.2746777962231518,2.047176631409965,21.35481542303081,0.9485492168758184,3.2754775408206176,1.024523645916749
3,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9993086761147598,3.0919,5.4901,3.3792999999999997,28.886828873434396,23.0139728858286,60.51735925064741,0.4557607801309385,8.951780312021388,0.27878121404823725,2.115082374486102,23.579919055323384,0.9472701169440776,3.2915392997176753,1.0264013627953656
4,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,0,0.9993086761147598,3.3230000000000004,5.5733999999999995,3.4112999999999998,29.043833349081805,23.36087921911946,60.77679887071572,0.46657300284986436,9.878653475034959,0.2768372738534629,2.0919892958958166,23.893604895919584,0.9477997794321933,3.5376515115223337,1.0271931876931617
5,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,0,0.9993086761147598,3.4537,5.8378,3.6199000000000003,30.350214980594565,24.46831755870704,63.709878115325594,0.46626164790374525,9.706689776052752,0.2777870136543413,2.303069954344124,25.01244103421376,0.9460890892706268,3.6736459965288786,1.0321738272101704
6,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13","Direct fine parent F5, included because it has the clearest positive C2F synergy.",0,0.9993086761147598,3.4693,5.4757,3.052,26.824157729083204,21.159799788354476,55.559113467418285,0.4193088387646521,7.413063979859129,0.2775414311988855,2.206455465257286,21.633019705965193,0.948153156173033,3.6702931246696555,1.028049996529323
7,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,0,0.9993086761147598,3.5597999999999996,5.7524,3.3295,28.521376517564423,22.66654482462613,59.167280794099455,0.4376575992053982,8.349010753655259,0.27805447883932466,2.2892196579370006,23.227154239114,0.9473758120967306,3.772572674942342,1.032279237911083
8,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9993086761147598,4.6496,7.1207,4.1326,32.609861135125264,25.73494714033454,66.64465264052785,0.4805224133360961,9.294145745069478,0.2861062356221022,2.7524635114547538,26.599611501769026,0.9441218657047247,4.81817700211009,1.0563429408771907
9,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",0,0.9993086761147598,4.9033,8.2622,5.6281,40.86420320855386,33.291622129097256,89.07217058361975,0.6092867192138813,15.73251329871996,0.28186301121341756,2.3071255289433434,34.065642213607646,0.9350890707271189,5.169865411910068,1.0805681440048949
10,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",0,0.9993086761147598,5.0815,8.6153,5.9793,42.19309470208764,34.56119729583787,91.62491800227247,0.6533478845638765,17.55292822371126,0.2846838365286819,2.6216987807335865,35.500614482165865,0.9379347793495748,5.37426549288739,1.0801217368270806
