rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9993086761147598,3.8587999999999996,6.9182,4.5759,39.4007263087688,34.491982860107,81.51883797105593,0.7123659001598617,19.387210464884124,0.28602861885217495,2.3895402659537233,34.77103942676639,0.9470713626535733,4.089819223812867,1.0414325280317756
2,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,0,0.9993086761147598,3.9342,6.5161,3.9249,32.44522643273757,26.211697209189825,68.22013048961057,0.5138355832764885,10.892402361544194,0.2830130669652889,2.696144882827986,27.060580301914282,0.9462781038766536,4.172882961229043,1.0412765310948264
3,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,0,0.9993086761147598,4.3113,6.9559999999999995,4.1231,34.08521932024122,27.585215899396243,71.27108537750811,0.5327573078672089,11.604088383301042,0.28319412366870167,2.959755547629469,28.51411810680471,0.9449443879328184,4.566787244933138,1.042821405946781
4,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",0,0.9993086761147598,4.3206,6.923500000000001,3.8844999999999996,32.993390451880195,26.50448382338212,70.01590398358442,0.49979159962913217,8.643995743788743,0.28256852716104397,2.869464109589961,27.453449746642278,0.9458116826384608,4.540904030369852,1.0496312694853351
5,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",0,0.9993086761147598,5.3374,9.9465,7.4948,54.43086528857408,48.053635621650045,112.99538526775319,0.9612854775886734,29.26348704254149,0.29416793245058204,2.5109481582837856,48.35609281058306,0.9287200711879495,5.644566927693069,1.082953049058607
6,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",0,0.9993086761147598,5.683400000000001,9.6652,6.8661,47.17453685856394,39.23271835128583,102.90465387743366,0.7571268586367705,20.18652944120298,0.29129949309596176,3.2727436264176633,40.23941008055264,0.9335500258104289,6.059288879528121,1.0878671436359515
7,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",Direct fine parent F2: the three-channel near-optimum.,0,0.9993086761147598,6.8461,9.2539,3.9771,37.16763057086268,30.301790061603572,82.53830465068359,0.8669315615181673,23.192579743953964,0.35248988334728165,8.234451550339314,31.70563506535748,0.9488205313618978,6.964146263182968,1.0402408910219367
8,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,0,0.9993086761147598,7.0608,9.8019,4.909800000000001,42.11541511598729,34.04303246103122,88.06282167625152,0.9368483718917214,22.298027691478538,0.4081945477695929,10.235225967391742,35.594190567210674,0.9374276475152898,7.192698762074157,1.0400393744797838
9,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9993086761147598,8.4609,13.244800000000001,9.3482,69.82177098414944,57.095577608845595,153.4274190943984,2.5463947213599702,91.08169802883748,0.8241842297942744,19.735492925973844,50.37657701083818,0.8033283278451209,8.6207050465885,1.0674618131290716
10,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13","Direct fine parent F5, included because it has the clearest positive C2F synergy.",0,0.9993086761147598,11.8873,13.7026,3.8817999999999997,33.63123752616083,28.07339722714282,81.38729234296217,1.1765481998716343,30.280252633728548,0.40038494970228555,6.484612818168209,29.204412259990065,0.9644703004374501,11.89545171888722,1.0013632346222
