rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,0,0.9991961414790996,9.6901,11.299199999999999,0.695,13.033520050664585,10.847526074746481,27.92439022930622,0.4639804972789405,2.5004503276427803,0.23043022308523753,0.8988463799453001,10.85866225418388,0.9872422050761265,9.690063471018375,0.9904368612102591
2,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13","Direct fine parent F5, included because it has the clearest positive C2F synergy.",0,0.9991961414790996,10.0238,11.625399999999999,0.6895,13.361778388587142,11.21992964708226,28.11721270032228,0.46008072914805204,2.555230311538191,0.23075049327651762,0.925965468932496,11.202673871189686,0.9863747181382198,10.023765233264447,0.9898092648480564
3,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,0,0.9991961414790996,10.0249,11.7303,0.676,13.551649438956018,11.247444094625173,28.58846290523366,0.4614837557198324,2.504259436858275,0.2305958797880143,0.9430550940712603,11.254957845305158,0.986511443456928,10.0248965572909,0.9898745145225132
4,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",0,0.9991961414790996,10.1477,11.955,0.6908,13.868080236271151,11.521926452174638,28.21277605604128,0.4604371507654908,2.546597290815799,0.231399295811846,0.9680843523250959,11.517878066628482,0.9857442931771053,10.147741562643443,0.989336173943296
5,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9991961414790996,10.1614,11.935,0.7041000000000001,13.769793610236198,11.417975491491568,28.967118260896445,0.46501337441893376,2.5579532500498567,0.2304114078027688,0.9416311266608469,11.424828796386763,0.9856527969811358,10.161385309757762,0.9888649944814784
6,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,0,0.9991961414790996,10.2805,11.9713,0.6966,13.79788678927813,11.535951820980081,29.007723446336282,0.46003302245723865,2.5599668378557308,0.23218227922073945,0.9487893598700915,11.501915795720818,0.98551725890611,10.280506740390377,0.9890381924970733
7,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",Direct fine parent F2: the three-channel near-optimum.,0,0.9991961414790996,10.4039,12.2536,0.6998,14.173954472371364,11.757177782166858,28.7405329817425,0.461744744650974,2.5794738992994746,0.2314684186671877,0.9778699848045489,11.755621163741042,0.9852750815409816,10.403912084421766,0.9887355353912991
8,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9991961414790996,11.2618,12.9084,0.7064,14.88101535953744,12.65469768586033,31.20720085618377,0.4459206344006864,2.500894570356463,0.23201206977730313,0.9953779989675656,12.579232186885983,0.9847937043456251,11.261833753242227,0.9887860688945337
9,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",0,0.9991961414790996,12.7167,14.8343,0.7279,17.174611412327312,14.27412785446204,37.07075412004074,0.4863658725085593,2.7795297391336162,0.23006745857990452,1.0254006927405068,14.32247927250405,0.9848453665530748,12.716712969536777,0.9895216852762898
10,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",0,0.9991961414790996,13.2091,15.663499999999999,0.7428,18.30507939648068,14.916215226242835,39.7880644996512,0.4861845801470764,2.8091685573288947,0.23019908125014782,1.0348203439088783,15.0103676592071,0.9825916179752001,13.209111378739408,0.9873657391821099
