rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_enc0_direct_f5_d02_d03_d07_d12_d13,"unet:direct:enc0:2,3,7,12,13","Direct fine parent F5, included because it has the clearest positive C2F synergy.",0,0.9991961414790996,9.7461,11.196299999999999,0.698,12.814396369843154,10.8315990016131,26.926724308533394,0.4616172535601171,2.4603198402725077,0.23198240564435146,0.9505041998386818,10.814536244878397,0.9872081979636618,9.746138823636228,0.9904921542394077
2,unet_c2f_a_f5_c4_positive_synergy,"unet:c2f:A:fine2,3,7,12,13:coarse0,5,6,18,30",C2F-A positive synergy case: 12.8% lower fr1-lightswitch ATE than direct F5.,0,0.9991961414790996,10.0308,11.6347,0.707,13.382714439746218,11.207150199730862,28.300083870624025,0.4655163022740972,2.3321018108743043,0.23062618748312255,0.9189497456147211,11.229458734229967,0.9873924563495968,10.0307932689967,0.9908791240225763
3,unet_enc0_direct_f1_d02_d03_d07_d12_d13_d14,"unet:direct:enc0:2,3,7,12,13,14",Direct fine parent F1: global direct U-Net optimum on fr1/desk_lightswitch.,0,0.9991961414790996,10.0373,11.6031,0.6844,13.30894082013256,11.202607737010805,27.50346283286466,0.45928900558667163,2.47623356188573,0.2321377588216331,0.933994549425096,11.179034433598677,0.9867479955307323,10.03730577049118,0.9903316717801331
4,unet_c2f_a_f1_c4_negative_high_parent,"unet:c2f:A:fine2,3,7,12,13,14:coarse0,5,6,18,30",C2F-A negative control: on fr1 lightswitch it is worse than the globally best direct fine parent F1.,0,0.9991961414790996,10.0469,11.7462,0.6751,13.56637524539186,11.27580343915945,28.349244829258474,0.4612969187304726,2.351425968579403,0.23048892471803947,0.9276419504549429,11.303758141155683,0.9871828151766687,10.04685747623251,0.9906589051656174
5,unet_c2f_b_f2_c2_variant_contrast,"unet:c2f:B:fine3,7,12:coarse0,5,6,17,18,30","C2F-B schedule contrast: on fr1 lightswitch it is worse than direct F2, despite the same fine scale family.",0,0.9991961414790996,10.078,11.8666,0.7021000000000001,13.772506038932548,11.431955397763272,28.182951437241915,0.46292332379060835,2.4510402994098275,0.23170228131548795,0.9394032097821564,11.431746333128736,0.9860049912546918,10.078046049612094,0.9895593922570972
6,unet_c2f_a_f2_c4_global_best,"unet:c2f:A:fine3,7,12:coarse0,5,6,18,30",C2F-A global U-Net C2F optimum on fr1 lightswitch; compare against both direct parents.,0,0.9991961414790996,10.337,12.1821,0.7144,14.109234538912165,11.652132566172689,29.91411099768121,0.4659244185471161,2.395059335497154,0.2300244811182065,0.9340013758988254,11.679847805506839,0.9864902508273196,10.337015353309535,0.9899304693921459
7,unet_enc0_direct_f2_d03_d07_d12,"unet:direct:enc0:3,7,12",Direct fine parent F2: the three-channel near-optimum.,0,0.9991961414790996,10.469299999999999,12.2971,0.7187,14.226296702889416,11.831846175978342,29.00625470064824,0.4632802963026931,2.4902199259703437,0.23149190826855,0.947849270437334,11.836146528771085,0.9857422043046165,10.469302220694017,0.9893276335740491
8,gray_baseline,gray,Photometric grayscale baseline; no learned tracking features.,0,0.9991961414790996,10.594199999999999,12.183399999999999,0.7648,13.934537085279866,11.795247565800494,29.315032870739948,0.4575096896276293,2.406250843479665,0.2354766602783226,1.0373538357875811,11.791422133013322,0.9877637470950404,10.594200833230019,0.9915604018124133
9,unet_enc1_direct_c2_d00_d05_d06_d17_d18_d30,"unet:direct:enc1:0,5,6,17,18,30","Direct coarse parent C2, needed to interpret the C2F-B schedule contrast.",0,0.9991961414790996,12.976299999999998,15.051800000000002,0.7571,17.294937085347012,14.452175511436744,37.18513814830007,0.48961708190091524,2.4900665816580023,0.23103721961389695,0.9310515014087353,14.525918102122015,0.9859672126986078,12.976314578732461,0.990613964307911
10,unet_enc1_direct_c4_d00_d05_d06_d18_d30,"unet:direct:enc1:0,5,6,18,30","Direct coarse parent C4, selected because it participates in the strongest U-Net C2F results.",0,0.9991961414790996,13.594899999999999,16.0447,0.7623,18.73133229163883,15.388644760115627,40.585248588855485,0.4906445715523927,2.7378866060170317,0.22997441715762248,1.0067142341978874,15.493402029807868,0.9830700080856115,13.594940831315878,0.988471234351024
